"party","C"
"djurvälfärdsersättningar","1.0"
"sprudla","1.0"
"stad","1.0"
"småföretagande","1.0"
"ingår","5.0"
"tjänstemän","1.0"
"reglerna","2.0"
"småavgifter","1.0"
"stolar","1.0"
"rättssäker","1.0"
"40","3.0"
"dyr","1.0"
"inbjudningar","1.0"
"klimatet","1.0"
"felaktigheter","1.0"
"följande","1.0"
"bara","62.0"
"talar","23.0"
"talat","7.0"
"46","1.0"
"statusen","1.0"
"helsingborg","1.0"
"transportinfrastrukturen","2.0"
"isär","1.0"
"verksamma","1.0"
"frejdiga","1.0"
"urminnes","3.0"
"dadgostar","2.0"
"kvinnor","1.0"
"helhet","1.0"
"centerpartist","1.0"
"skattefråga","1.0"
"slags","3.0"
"engagemanget","1.0"
"lyckades","1.0"
"lasta","1.0"
"barn","2.0"
"gemensam","4.0"
"flygverksamhet","1.0"
"teknologi","3.0"
"attefalls","1.0"
"påstå","4.0"
"50","2.0"
"utsläppen","2.0"
"55","1.0"
"omröstningar","1.0"
"innehåller","4.0"
"försvåra","3.0"
"utlåtanden","1.0"
"använda","21.0"
"specialisering","1.0"
"mängden","5.0"
"pågår","10.0"
"tömma","1.0"
"innehållet","1.0"
"använde","1.0"
"längre","18.0"
"kryphål","2.0"
"vårdgivarna","1.0"
"tecken","2.0"
"kemikalielagstiftning","1.0"
"4g","1.0"
"näringsverksamhet","2.0"
"bostadssökande","2.0"
"främjande","1.0"
"60","3.0"
"artrikedomen","1.0"
"kände","1.0"
"medborgare","3.0"
"seminarium","1.0"
"63","1.0"
"enhetsregering","2.0"
"välfärd","1.0"
"byggföretag","2.0"
"internet","5.0"
"frejdigt","1.0"
"65","2.0"
"retoriska","1.0"
"studierna","1.0"
"bekymmer","3.0"
"refererar","1.0"
"hittills","1.0"
"finansminister","2.0"
"bruk","1.0"
"gjorts","9.0"
"olika","68.0"
"meddelade","1.0"
"bitter","2.0"
"processen?","1.0"
"näringarna","7.0"
"klok","1.0"
"ledande","3.0"
"nära","6.0"
"matematik","1.0"
"intresse","1.0"
"stödja","2.0"
"70","4.0"
"åtgärda","1.0"
"transportkostnaderna","1.0"
"integrationen","1.0"
"gehör","3.0"
"74","6.0"
"kontrollproblem","1.0"
"finns","192.0"
"hörnstenar","1.0"
"75","1.0"
"högexploaterade","1.0"
"kommissionär","1.0"
"fusket","1.0"
"tillväxtfrågor","2.0"
"mars","2.0"
"dörrar","1.0"
"agera","3.0"
"anklaga","1.0"
"rysk","3.0"
"kammare","4.0"
"regionalpolitik","2.0"
"vargpolitiken","1.0"
"samexistera","1.0"
"fortfarande","12.0"
"intresserade","1.0"
"steg","9.0"
"80","2.0"
"landsbygdsdepartementet","2.0"
"82","1.0"
"riktigt","11.0"
"sten","2.0"
"jobbskapande","1.0"
"mark","13.0"
"jaktens","1.0"
"friluftsvärden","1.0"
"87","1.0"
"omorganisation","1.0"
"avtrappning","1.0"
"kostnaden","5.0"
"sällan","3.0"
"förbereder","2.0"
"nedsidor","1.0"
"upplåtelseformer","1.0"
"flertal","1.0"
"ca 1 procent","1.0"
"föreslås","4.0"
"föremål","2.0"
"norrbotniabanan","10.0"
"byggas:","1.0"
"förebyggande","1.0"
"tufft","4.0"
"konsumenten","2.0"
"föreslår","1.0"
"retoriken","4.0"
"kostnader","17.0"
"konsumenter","2.0"
"tillgänglig","2.0"
"seriöst","1.0"
"loss","1.0"
"dessvärre","2.0"
"titel","1.0"
"mot","42.0"
"rättssäkerhet","3.0"
"90","2.0"
"vad","118.0"
"budgethantering","1.0"
"tuffa","1.0"
"automatiskt","1.0"
"ifrågasatts","1.0"
"93","1.0"
"ledamoten","8.0"
"95","2.0"
"samhällsaktörer","2.0"
"behjälpliga","1.0"
"mats","4.0"
"val","1.0"
"folkhälsoinstitutets","1.0"
"verksamhet","21.0"
"detaljplaner","6.0"
"var","101.0"
"beror","5.0"
"inkomsterna","1.0"
"huvudsak","2.0"
"skriva","2.0"
"lättvindigt","1.0"
"denna","40.0"
"staten","17.0"
"finna","1.0"
"vantrivs","1.0"
"företaget","4.0"
"släcker","2.0"
"företagen","17.0"
"gammalt","3.0"
"ungefärlig","1.0"
"rinkeby","1.0"
"samtalsuppteckningar","2.0"
"centerpartiet","18.0"
"flyttat","2.0"
"flyttar","7.0"
"möjligheterna","13.0"
"jobbökningen","1.0"
"utbildningsminister","1.0"
"bryr","2.0"
"föra","3.0"
"tillägga","1.0"
"djur?","1.0"
"skott","1.0"
"tensta","1.0"
"djur.","1.0"
"lägsta","1.0"
"djur-","2.0"
"samrådsunderlag","1.0"
"3 000","1.0"
"fossiloberoende","1.0"
"lova","1.0"
"kommunpolitiker","1.0"
"uppteckningar","1.0"
"marknadsanpassade","1.0"
"utrivning","1.0"
"europa","4.0"
"utöka","2.0"
"dialogmöten","1.0"
"utvecklingsområde","2.0"
"ingenting","6.0"
"beskatta","1.0"
"skyddsvärden","1.0"
"aldrig","2.0"
"lyssnat","4.0"
"insatserna","2.0"
"planprocessen","1.0"
"lyssnar","3.0"
"medlen","1.0"
"sakerna","1.0"
"andrahandsuthyrning","1.0"
"kompensation","2.0"
"bebygga","1.0"
"förlägga","1.0"
"prioriteringar","1.0"
"skickades","1.0"
"avslutande","2.0"
"bäddar","1.0"
"närmast","1.0"
"plötsligt","5.0"
"finansdepartementet","1.0"
"vidlyftiga","1.0"
"lokalkontor","1.0"
"200 000","1.0"
"tomas","1.0"
"ved","1.0"
"spela","1.0"
"industrins","2.0"
"landsbygdsdepartementets","1.0"
"israeliska","3.0"
"verktygslåda","1.0"
"frusit","1.0"
"lastbil","1.0"
"ordentlig","4.0"
"vem","3.0"
"blockskiljande","1.0"
"förr","1.0"
"förs","1.0"
"säkerligen","1.0"
"vet","32.0"
"klusterbildningar","2.0"
"anledning","8.0"
"prissättningen","1.0"
"före","4.0"
"minskade","2.0"
"bytte","3.0"
"småskalig","2.0"
"informerad","1.0"
"närmare","4.0"
"riksdagsbeslutet","1.0"
"exportåtgärd","1.0"
"tömts","1.0"
"stod","2.0"
"avsevärt","1.0"
"funktionell","1.0"
"undergräva","1.0"
"åkerinäringen","1.0"
"alliansens","2.0"
"kontoren","1.0"
"mervärde","1.0"
"fått","29.0"
"bästa","7.0"
"demokrati","1.0"
"hennes","1.0"
"hållbarhet","1.0"
"brandskum","3.0"
"begärt","6.0"
"fosfor","1.0"
"dammar","1.0"
"infrastrukturprojekt","3.0"
"friluftslivet","1.0"
"bostadsmarknaderna","1.0"
"handelsgödselskattens","1.0"
"100 000","1.0"
"greens","1.0"
"vårdgivare","1.0"
"uppbyggandet","1.0"
"anders","14.0"
"helhetsansvar","1.0"
"omsorg","5.0"
"frågan:","3.0"
"tydligaste","1.0"
"begära","3.0"
"stimulanser","1.0"
"satsar","3.0"
"saktfärdigheten","1.0"
"satsas","2.0"
"förvaltning?","1.0"
"skickade","1.0"
"funktionen","1.0"
"byggas","4.0"
"funktioner","1.0"
"notan","1.0"
"sättas","3.0"
"osäkerhet","3.0"
"eu:s","4.0"
"tillkomsten","1.0"
"investeringsmedel","1.0"
"myndighetsundersökningar","1.0"
"fridolin","1.0"
"slag","2.0"
"enström","1.0"
"förutsättningslös","1.0"
"medskick","1.0"
"transitland","1.0"
"via","7.0"
"vid","32.0"
"råd","2.0"
"2020?","1.0"
"officiell","1.0"
"tyckte","3.0"
"diskutera","14.0"
"egentliga","3.0"
"säkerhetskrav","2.0"
"jag:","4.0"
"servicecenter","1.0"
"högskoleorter","1.0"
"energimix","1.0"
"åstadkommer","1.0"
"vis","1.0"
"någonstans","1.0"
"åtskilliga","2.0"
"viktigt?","1.0"
"verkställas?","1.0"
"vittnar","1.0"
"innan","12.0"
"fortsättningsvis","2.0"
"ämnen","26.0"
"visst","1.0"
"stor","43.0"
"drivna","1.0"
"enskilde","3.0"
"landsbygdsdepartement","2.0"
"försökte","2.0"
"ämnet","1.0"
"grävt","1.0"
"formuleringen","1.0"
"finansiering","3.0"
"auktoritet","1.0"
"enskilda","17.0"
"kraftkälla","1.0"
"adsl-utbyggnaden","1.0"
"begåvat","1.0"
"debatten","20.0"
"hälsoeffekter","2.0"
"häpnadsväckande","1.0"
"kommit:","1.0"
"debatter","1.0"
"privata","13.0"
"sällskapshunden","1.0"
"större","21.0"
"hittat","2.0"
"vanligheterna","1.0"
"snabbare","1.0"
"hittar","3.0"
"genomföra","3.0"
"beträffande","1.0"
"tenderar","1.0"
"neda","2.0"
"ändamål.","1.0"
"spritt","1.0"
"utredningar","9.0"
"tillvägagångssättet","1.0"
"extravalet","1.0"
"rundtur","1.0"
"dalälven","4.0"
"attityd","1.0"
"ledning?","1.0"
"vattensjuka","1.0"
"otrygghet","2.0"
"jordbrukspolitik?","1.0"
"tagna","1.0"
"propagandakrigföring","1.0"
"väg?","1.0"
"generell","1.0"
"stund","1.0"
"infrastrukturbygge","1.0"
"spelar","1.0"
"södermanland","1.0"
"missnöje","1.0"
"tillhör","2.0"
"missnöjd","1.0"
"barnens","1.0"
"störst","3.0"
"övernattningsplatser","1.0"
"angelägna","1.0"
"tvekan","1.0"
"någonting","14.0"
"eurovinjett","1.0"
"transportberoende","1.0"
"tillgodose","1.0"
"sätter","2.0"
"miljövinster","1.0"
"volvo","2.0"
"sättet","12.0"
"kritiskt","1.0"
"fortsätter","5.0"
"påbörjat","1.0"
"tvungen","1.0"
"därpå","1.0"
"havs-","1.0"
"värdet","3.0"
"togs","8.0"
"arrendepriserna","2.0"
"shejkerna","1.0"
"värden","11.0"
"bemötas","1.0"
"frukter","2.0"
"fridens","1.0"
"frukten","1.0"
"<em>melodifestivalen</em><em>","1.0"
"borde","14.0"
"åkare","5.0"
"kostnaderna?","1.0"
"minister","12.0"
"övertolkar","2.0"
"rubbning","1.0"
"bemöta:","1.0"
"effekt","8.0"
"väga","2.0"
"sanera","3.0"
"flytta","11.0"
"ämnar","2.0"
"kritiska","2.0"
"cancerframkallande","3.0"
"rapporter","3.0"
"deltagit","2.0"
"28 augusti","1.0"
"förändringar?","1.0"
"rapporten","1.0"
"länderna","2.0"
"björcks","1.0"
"trafiksäkerhet","1.0"
"detalj","1.0"
"komma","32.0"
"öka","17.0"
"jakt","5.0"
"trafikverkets","1.0"
"stränderna","2.0"
"strand","1.0"
"tagit","9.0"
"medan","4.0"
"ena","4.0"
"vissa","4.0"
"buller","2.0"
"lastvagnar","2.0"
"hävdat","2.0"
"bryter","2.0"
"avgiftsbelagd","1.0"
"hävdar","1.0"
"framgent","1.0"
"attacker","2.0"
"åtgärdar","1.0"
"ens","5.0"
"kunskap","3.0"
"dagliga","1.0"
"progressiva","1.0"
"åtgärdas","1.0"
"finansierade","1.0"
"vinner","2.0"
"400 miljoner","1.0"
"åka","5.0"
"vikar","2.0"
"gick","5.0"
"fåren","1.0"
"smyga","1.0"
"stiftat","1.0"
"upphov","1.0"
"bedömningar","2.0"
"kommentarer","1.0"
"hamnar","5.0"
"kommentaren","1.0"
"styr","1.0"
"åkt","1.0"
"vurm","1.0"
"trafiken","1.0"
"hamnat","1.0"
"förefaller","1.0"
"vägarna","2.0"
"världsunik","1.0"
"upplevelser","1.0"
"samfällt","2.0"
"produktionen","6.0"
"ockupationsmakten","1.0"
"adsl-abonnemang","1.0"
"§ 7)","1.0"
"tillgång","9.0"
"näringslivsklimat","1.0"
"statsledningen","1.0"
"bebyggda","1.0"
"levande","2.0"
"timmerbilarna","1.0"
"driver","4.0"
"andel","2.0"
"bolånetaket","1.0"
"invid","1.0"
"därom","2.0"
"1 600","1.0"
"valet","1.0"
"finnas","13.0"
"roller","2.0"
"vestlund","5.0"
"konkreta","10.0"
"markering","6.0"
"vidsynt","1.0"
"spetsen","1.0"
"följdfråga:","1.0"
"forskare","4.0"
"slutanförande","1.0"
"nöja","2.0"
"finansiera","6.0"
"överflyttning","6.0"
"beräkningar","2.0"
"säger:","2.0"
"yrkesverksamma","1.0"
"östersund","6.0"
"telekom","1.0"
"persson","1.0"
"era","2.0"
"kemikalieinspektionen","2.0"
"mängder","1.0"
"lägenheter","2.0"
"arbetssätten","1.0"
"värmande","1.0"
"medel","4.0"
"förnekas","1.0"
"näringsliv","3.0"
"teknikskifte","4.0"
"aspekter","1.0"
"stegvis","1.0"
"studentbostäder","2.0"
"ert","3.0"
"brytas","1.0"
"acceptabelt","1.0"
"trettiotal","2.0"
"känt","2.0"
"digitala","1.0"
"justera","2.0"
"välfärdsvärden","1.0"
"eisenhower","2.0"
"regleringsbrevet","1.0"
"tolv","2.0"
"generationen","1.0"
"generationer","1.0"
"naturligtvis","11.0"
"prisnivån","1.0"
"åkermarker","1.0"
"orterna","1.0"
"debatterna","1.0"
"medge","1.0"
"eldsjälar","1.0"
"honom","2.0"
"arbetsmarknadsministerns","1.0"
"grupp","5.0"
"kännedom","2.0"
"ned","37.0"
"tvungna","2.0"
"bedömningen","1.0"
"sedermera","1.0"
"pekat","2.0"
"pekas","1.0"
"nej","4.0"
"brevlådan","1.0"
"insikt","1.0"
"motsvarar","4.0"
"borgvik","1.0"
"volym","3.0"
"finansiell","2.0"
"ner","1.0"
"bostad","6.0"
"förödande","3.0"
"regioners","2.0"
"pekar","6.0"
"new","1.0"
"sädesfälten","1.0"
"ett","354.0"
"hälsokostnader","1.0"
"åtgärd","2.0"
"ensidiga","1.0"
"finansministern","9.0"
"öre","1.0"
"hyrorna","2.0"
"bredbandstillgången","1.0"
"linje","3.0"
"gummihjulstransporter","2.0"
"växtnäring","1.0"
"sidor","1.0"
"småkommuner","1.0"
"svenska","65.0"
"tons","4.0"
"arbetsmarknadsminister","3.0"
"nöjd","5.0"
"finner","1.0"
"drivit","1.0"
"principfast","3.0"
"uppgifterna","2.0"
"aktiv","4.0"
"grund","26.0"
"klump","1.0"
"blomstermåla","1.0"
"koncentrationen","4.0"
"förvånande","3.0"
"tydliggöra","1.0"
"it-ministerns","1.0"
"djurhållare","1.0"
"forma","1.0"
"öppnas","1.0"
"valde","2.0"
"öppnar","1.0"
"regioner?","1.0"
"regeringsbeslutet","2.0"
"öst","1.0"
"korrekta","1.0"
"ansvaret","5.0"
"värd","1.0"
"svenskt","4.0"
"gävleborg:","1.0"
"översynen","2.0"
"felstavat","1.0"
"bostadsmarknaden","4.0"
"samhällets","1.0"
"problembilden","1.0"
"ålägga","1.0"
"specifik","1.0"
"års","4.0"
"klimatpåverkan","2.0"
"metoder","7.0"
"havet","1.0"
"strategi","8.0"
"rolls","1.0"
"ewa","3.0"
"försvåras.","1.0"
"lägen?","1.0"
"åsa","8.0"
"kustkommun","1.0"
"grums","1.0"
"valda","1.0"
"polisens","1.0"
"överträffa","1.0"
"arbetssökande","2.0"
"koncentrationer","1.0"
"klistra","1.0"
"ledamöter","5.0"
"teracom","2.0"
"summor","1.0"
"svamp","1.0"
"fäbodbruket","1.0"
"bygg-","1.0"
"privatpersoner","1.0"
"deklarerade","1.0"
"fullt","7.0"
"fullo","1.0"
"effektiv","1.0"
"kvarstår","3.0"
"nio","2.0"
"byggnadsnämnd","1.0"
"nere","1.0"
"småorterna","1.0"
"betesdjur","1.0"
"kompetens","3.0"
"merparten","2.0"
"kompetent","1.0"
"utbildningar","2.0"
"röd","2.0"
"regelverken?","1.0"
"resonemanget","1.0"
"industriområde","2.0"
"bekämpningsmedelsförbud","1.0"
"noggrann","1.0"
"modell","1.0"
"omlokalisering","1.0"
"kommunicera","1.0"
"vårdenhet","1.0"
"befintliga","4.0"
"noggrant","2.0"
"rör","1.0"
"samlade","4.0"
"ursäkt","1.0"
"luftsledningsprojekt","1.0"
"tydligen","1.0"
"väst","1.0"
"echa","2.0"
"skånska","1.0"
"talarna","1.0"
"skapa","8.0"
"tapetrullar","1.0"
"koppla","2.0"
"snabbfotat","1.0"
"metalls","2.0"
"byggs","9.0"
"befolkning?","1.0"
"utmaningar","1.0"
"avstånden","2.0"
"gods-","1.0"
"elström","1.0"
"tillåter","2.0"
"tillåtet","2.0"
"utvecklingsmöjligheter","1.0"
"mandatperioden","1.0"
"numera","5.0"
"bygga","16.0"
"länstransportplan","1.0"
"förgröningsåtgärderna","1.0"
"djurskyddskontrollen","1.0"
"arbeta","7.0"
"satsning","2.0"
"netl","1.0"
"småningom","1.0"
"vattenverksamhetsutredningen","1.0"
"arbete","16.0"
"hanteras","3.0"
"samordna","4.0"
"svar?","1.0"
"frakta","1.0"
"hanterat","1.0"
"vanlig","1.0"
"införseln","5.0"
"hanterar","4.0"
"betala","16.0"
"utbildningen","1.0"
"händer","10.0"
"gram","1.0"
"arbetsmarknad","6.0"
"näringsdepartement","1.0"
"palestinska","7.0"
"tydligare","6.0"
"kontakten","1.0"
"kommande","5.0"
"svar:","1.0"
"statssekreterargrupp","1.0"
"månadslön","1.0"
"informationstekniska","1.0"
"erfarenhet","6.0"
"igen","1.0"
"anslagsbehovet","1.0"
"betalt","1.0"
"sannolikhet","1.0"
"stigit","1.0"
"balans","1.0"
"överdrift","1.0"
"sprids","1.0"
"grad","2.0"
"arbetstillfällena","1.0"
"förstör","1.0"
"lagrådet","1.0"
"rörliga","1.0"
"infrastruktur","5.0"
"administration","2.0"
"regionordförande","1.0"
"upprepade","1.0"
"miljöprövningar","1.0"
"uppmärksammar","2.0"
"slut","1.0"
"slutsatsen","2.0"
"uppmärksammas","1.0"
"hälsosynpunkt","1.0"
"miljöer","4.0"
"teknikutvecklingen","1.0"
"regelkrångel","1.0"
"personalen","1.0"
"slutsatser","3.0"
"allmännyttan","1.0"
"djurlivet","1.0"
"angripits","2.0"
"länsstyrelsen","11.0"
"investering","2.0"
"kundkontakter","1.0"
"regelträsk","1.0"
"infrastruktursatsningar","1.0"
"rimligt","4.0"
"samtal","3.0"
"hoppats","1.0"
"förorenat","1.0"
"medelstora","1.0"
"vargarna","1.0"
"stigande","1.0"
"växa","3.0"
"kontrakten","1.0"
"landsbygdsministern:","1.0"
"brunkol","1.0"
"bruttovikten","3.0"
"vägtransporterna","1.0"
"jobba","7.0"
"lärarna","1.0"
"skala","1.0"
"lyhördhet","2.0"
"undrar","12.0"
"vattenkraften?","1.0"
"nått","2.0"
"blind","1.0"
"presentera","2.0"
"reagerat","1.0"
"nog","8.0"
"rimliga","2.0"
"gröda","2.0"
"reagerar","1.0"
"skall","2.0"
"framöver","8.0"
"samhällsskydd","1.0"
"direktverkande","1.0"
"central","1.0"
"organisations","1.0"
"jordbruk","2.0"
"säkras","1.0"
"täckt","1.0"
"bedömning","5.0"
"lindahl","1.0"
"fungerande","5.0"
"rada","1.0"
"bostadsbyggande","3.0"
"interpellerat","1.0"
"återstoden","1.0"
"länsstyrelses","1.0"
"trycket","4.0"
"visar","13.0"
"länsstyrelser","12.0"
"kraftöverföringen","1.0"
"visat","2.0"
"green","5.0"
"bucht","5.0"
"kostnadshöjningar","2.0"
"planerade","1.0"
"avvägningen","2.0"
"daglig","1.0"
"resultat","7.0"
"medierna","2.0"
"försöken","1.0"
"kunna","84.0"
"kvar","14.0"
"försöker","12.0"
"restriktioner","1.0"
"armens","1.0"
"område","18.0"
"glesbygden","1.0"
"brösttoner","1.0"
"ekosystem","1.0"
"betrakta","2.0"
"israel","2.0"
"underlag","7.0"
"risk","2.0"
"infördes","2.0"
"kringgå","1.0"
"beskrivit","1.0"
"förkorta","1.0"
"nationalpark","1.0"
"<em>en</em>","2.0"
"modest","1.0"
"torsby","2.0"
"kostnaderna","7.0"
"därför","60.0"
"samla","1.0"
"långt","15.0"
"efterfrågat","1.0"
"efterfrågas","2.0"
"plan","2.0"
"lokalisera","1.0"
"örat","2.0"
"finns?","2.0"
"planering","4.0"
"lyft","2.0"
"fullgott","1.0"
"livet","1.0"
"lagliga","1.0"
"infrastruktursatsningen","1.0"
"resten","1.0"
"bekymmersamt","1.0"
"samma","33.0"
"samme","1.0"
"talarstolen","4.0"
"skapats","2.0"
"kulturutbudet","1.0"
"inrätta","1.0"
"debatterar","2.0"
"ungar","1.0"
"blundar","1.0"
"varierat","1.0"
"positiv","5.0"
"bort?","1.0"
"transportnätet","1.0"
"sägs","2.0"
"dessutom","18.0"
"\*","44.0"
"gränsorter","1.0"
"samsyn","3.0"
"klassisk","1.0"
"överklaganden","7.0"
"rovdjurspolitik","6.0"
"modern","3.0"
"lokalplanet","2.0"
"innerst","1.0"
"sörmland","1.0"
"nu?","1.0"
"taget","4.0"
"utläsa","1.0"
"säga","33.0"
"förgröningen","1.0"
"uppväxande","1.0"
"åtgärden","2.0"
"minoritetsregeringens","3.0"
"borta","1.0"
"resande","1.0"
"åtgärder","19.0"
"prognostiserade","1.0"
"ineffektiv","1.0"
"kraftnät/staten","1.0"
"långa","4.0"
"klimat-","2.0"
"läste","3.0"
"yngre","1.0"
"oklarheter","2.0"
"bohlin","1.0"
"snedvrider","1.0"
"lagstiftningen","12.0"
"genomslag","1.0"
"eu-förordning","1.0"
"räcker","2.0"
"skrivelsen","1.0"
"långsiktigheten","1.0"
"svara","2.0"
"</em>ge","1.0"
"belgien","2.0"
"bättre","23.0"
"fel","5.0"
"intäkt","1.0"
"problemområden","1.0"
"fem","2.0"
"råvaror","1.0"
"angripa","1.0"
"effekten","4.0"
"engagemang","1.0"
"effekter","8.0"
"svars","1.0"
"skyndsamt","2.0"
"beskriver","1.0"
"beskrivet","2.0"
"omsorgsföretag","1.0"
"riksintresseutredning","1.0"
"kraftnäts","1.0"
"samhällsförändringar","1.0"
"kostnadsargumenten","1.0"
"swedavia","2.0"
"notera","3.0"
"volymer","1.0"
"statsrådet?","1.0"
"duschblandare","1.0"
"utsätts","3.0"
"snacka","1.0"
"sund","1.0"
"kontrollavgifterna","1.0"
"ahlgren","3.0"
"styrningen","1.0"
"funderar","1.0"
"licensjakt","1.0"
"alltmer","1.0"
"omfatta","1.0"
"inläggen","1.0"
"marken","1.0"
"uppstår","1.0"
"påtagligt","5.0"
"inlägget","1.0"
"elen","2.0"
"mineralgödselkväve","1.0"
"skolans","1.0"
"byråkrati","1.0"
"småortssverige","2.0"
"gårdsstödet","2.0"
"samverkan","3.0"
"processa","1.0"
"dödades","1.0"
"barnfamiljer","2.0"
"andra","80.0"
"halland","4.0"
"avsikt","3.0"
"fördjupa","1.0"
"skatt","13.0"
"inriktningsbeslut","1.0"
"fortsätta?","1.0"
"såg","3.0"
"ram?","1.0"
"jerusalem","3.0"
"situationen","6.0"
"talade","1.0"
"kalla","6.0"
"framtiden","6.0"
"situationer","3.0"
"skogsbranschen","1.0"
"betvivlar","1.0"
"åternationaliserande","1.0"
"växtkraften","1.0"
"slutgiltiga","1.0"
"kvarnar","2.0"
"efterfrågan","1.0"
"efterfrågar","6.0"
"göteborg","6.0"
"implementera","1.0"
"arbetsmarknaden","12.0"
"ämne","4.0"
"hänvisade","2.0"
"hur?","1.0"
"statsrådets","6.0"
"himla","1.0"
"servicepunkter","2.0"
"rakt","1.0"
"jämför","4.0"
"raka","1.0"
"parametrar","1.0"
"bär","1.0"
"ordentligt","5.0"
"administrativa","2.0"
"djurhållningen","2.0"
"50 000","2.0"
"slagit","1.0"
"nya","39.0"
"tvärvillkorskontroller","1.0"
"svårigheten","1.0"
"sidan","2.0"
"konkurrenskraftigt","1.0"
"dålig","3.0"
"upprörs","1.0"
"nuvarande","23.0"
"ekologiska","1.0"
"norrbotniabanan?","1.0"
"utomlands","2.0"
"lockar","1.0"
"angripas","1.0"
"insatser","14.0"
"upptäckte","2.0"
"kanaler","1.0"
"attefallshus","1.0"
"1 ½","1.0"
"kanske","45.0"
"fix","1.0"
"skolpolitiska","1.0"
"lugna","1.0"
"övertolka","1.0"
"bedrivande","2.0"
"vargen","9.0"
"människor","76.0"
"snedfördelat","1.0"
"försäkringskassan","1.0"
"tålamod","2.0"
"attrahera","1.0"
"skogsvaruindustri","1.0"
"af","1.0"
"hållbart","1.0"
"modernisera","3.0"
"ifrån","7.0"
"styrmedel","1.0"
"an","2.0"
"former","2.0"
"naturvärden","1.0"
"följer","1.0"
"omgivningen","2.0"
"genomsnittliga","1.0"
"uppskattningsvis","1.0"
"fokuseras","1.0"
"hållbara","2.0"
"således","1.0"
"ukraina","2.0"
"skogar","1.0"
"av","455.0"
"fortsatt","7.0"
"jakthundar","1.0"
"folk","8.0"
"bevarandestatus","2.0"
"hemkommun","2.0"
"vattenmyndigheten","1.0"
"direkt","17.0"
"fisket","1.0"
"framtiden?","2.0"
"uppstått","1.0"
"parallella","1.0"
"be","9.0"
"platser","3.0"
"förstärkningarna","1.0"
"eventuell","1.0"
"enkäter","1.0"
"interpellationer","44.0"
"bördan","1.0"
"adsl-stationer","4.0"
"skadorna","1.0"
"bo","8.0"
"årsomsättning","1.0"
"underbyggda","1.0"
"fisken","1.0"
"förtvivlan","1.0"
"även","46.0"
"konsensus","2.0"
"interpellationen","16.0"
"götaland","11.0"
"bullerutsatta","2.0"
"kompetensförsörjning","3.0"
"gällde","3.0"
"ca","5.0"
"fortsättningen","1.0"
"justitieministern","1.0"
"norrbotten","4.0"
"decenniet","1.0"
"utrikesminister","1.0"
"decennier","2.0"
"danmark","3.0"
"tidvisa","2.0"
"enormt","2.0"
"nämndes","1.0"
"lundström","1.0"
"förstår","14.0"
"vargstammen","2.0"
"ställningstagande","2.0"
"hänt","4.0"
"våga","1.0"
"förstås","1.0"
"antog","2.0"
"intrånget","1.0"
"utöver","2.0"
"kilometer","5.0"
"norrbotniabanestandard","1.0"
"quadracom","1.0"
"skylla","1.0"
"enorma","4.0"
"godstransporterna","1.0"
"de","417.0"
"startats","2.0"
"miljon","1.0"
"djurproducenter","4.0"
"differentierad","1.0"
"omstridda","1.0"
"dn","2.0"
"förbättras?","1.0"
"skogen","9.0"
"snittåldern","2.0"
"minuspost","1.0"
"regeringsrepresentanter","1.0"
"planeringstakt","1.0"
"du","14.0"
"validera","1.0"
"innehållslösa","1.0"
"ungefär","16.0"
"garnisonsnedläggning","1.0"
"fastna","1.0"
"upplever","8.0"
"förutsättning","3.0"
"elsektorn","1.0"
"samlad","2.0"
"intressant","23.0"
"snara","1.0"
"gaser","1.0"
"snart","6.0"
"vems","1.0"
"plats?","1.0"
"ek","1.0"
"samlat","1.0"
"el","3.0"
"en","605.0"
"centralt","3.0"
"hitta","12.0"
"kalibreringsövningar","1.0"
"europeisk","2.0"
"er","5.0"
"upprepa","2.0"
"eu","11.0"
"dike","1.0"
"önskan","1.0"
"ändring","1.0"
"förenkla","3.0"
"svika","1.0"
"drift-","1.0"
"läckaget","1.0"
"vargar","11.0"
"centrala","1.0"
"här?","1.0"
"lokatt","1.0"
"väljer","12.0"
"vattenkraftverken","1.0"
"felaktigt","2.0"
"skillnaderna","1.0"
"fn","2.0"
"baltiska","5.0"
"vårens","1.0"
"besprutningen","1.0"
"önskar","6.0"
"önskat","2.0"
"inblandning","2.0"
"uttrycker","2.0"
"försvarsvän","1.0"
"dina","1.0"
"jägare","2.0"
"koncentrera","2.0"
"felaktiga","1.0"
"sittande","2.0"
"ge","20.0"
"förra","13.0"
"kommunikation","3.0"
"vistas","3.0"
"plog","1.0"
"sverigekarta","1.0"
"stelbent","1.0"
"nordiska","1.0"
"bti?","1.0"
"dröja","4.0"
"straffbeskatta","1.0"
"förmåga","2.0"
"tillträdde","2.0"
"valpkullar","1.0"
"form","21.0"
"befolkning","1.0"
"genom","27.0"
"500","4.0"
"rekryterar","1.0"
"ha","83.0"
"förse","5.0"
"fort","6.0"
"kringarrangemang","1.0"
"kollektivtrafikens","1.0"
"samhällsekonomin","1.0"
"socialdemokraterna","12.0"
"limbo","1.0"
"viktigaste","3.0"
"då","73.0"
"artikeln","2.0"
"oerhört","25.0"
"besvärande","2.0"
"gläder","2.0"
"först","10.0"
"vet?","1.0"
"drar","1.0"
"bedriva","8.0"
"och","1147.0"
"förhindra","1.0"
"perfluoroktansulfonat","1.0"
"hävd","4.0"
