"party","MP"
"tillfället","9.0"
"bonden","1.0"
"morgon","4.0"
"avelsdjur","1.0"
"påskina","1.0"
"hastighet","3.0"
"påverkats","1.0"
"nutid","1.0"
"budgetpropositionen","21.0"
"utreda","9.0"
"propp","1.0"
"budgetpropositioner","1.0"
"rimligtvis","1.0"
"ombildningar","1.0"
"ännu","32.0"
"beviljas","1.0"
"beviljat","1.0"
"drabbade","3.0"
"koordinerar","1.0"
"beviljar","1.0"
"storstäderna","2.0"
"besöka","3.0"
"förordar","1.0"
"bostads-","2.0"
"palestinastrategin","1.0"
"politiskt","11.0"
"stödjande","2.0"
"relationerna","1.0"
"gef","1.0"
"vållar","1.0"
"politiska","37.0"
"stänga","4.0"
"besökt","3.0"
"grundhyra","1.0"
"balansgång","2.0"
"transportsätt","2.0"
"förskolepedagogiken","7.0"
"ges","25.0"
"höghastighetsbredband","1.0"
"planeringsansvar","2.0"
"ger","62.0"
"skuldsatta","1.0"
"stödnivåer","1.0"
"skiftande","2.0"
"kunnat","9.0"
"angelägen","8.0"
"diskrepans","1.0"
"continued","1.0"
"organisering","5.0"
"tamboskapen","1.0"
"ihop","20.0"
"behövt","3.0"
"behövs","49.0"
"göteborgs-posten","1.0"
"helt","78.0"
"angeläget","5.0"
"handlägga","2.0"
"ab:s","1.0"
"helhetstänk","1.0"
"förtydliga","6.0"
"bostadsplaneringskommittén","2.0"
"startade","1.0"
"sverige?","1.0"
"speciellt","7.0"
"behöva","26.0"
"tät","2.0"
"salen","1.0"
"ödesfrågor:","1.0"
"vägen","13.0"
"självklar","2.0"
"sveriges","70.0"
"förhandlingsman","1.0"
"väger","4.0"
"miljöambitioner","1.0"
"sjukhuspersonalens","1.0"
"tåg","6.0"
"tillfällig","3.0"
"speciella","1.0"
"tål","3.0"
"skämmas","1.0"
"förnyelse","1.0"
"handläggningen","1.0"
"sångenreviret","2.0"
"handlingsplan","3.0"
"biståndsministrarna","2.0"
"hälsoområden","1.0"
"hälsoområdet","3.0"
"proceduren","1.0"
"specialpedagogisk","3.0"
"sent","8.0"
"sena","3.0"
"bostadsmarknadsregion","1.0"
"förfäder","1.0"
"försvarar","3.0"
"bebyggelse","5.0"
"konflikt","10.0"
"skaffa","2.0"
"deltagandet","2.0"
"sakfråga","1.0"
"myntkabinettet","1.0"
"lastbilen","2.0"
"realekonomiska","1.0"
"järnvägstransporterna","2.0"
"skick","2.0"
"avstå","4.0"
"miljöpåverkan","6.0"
"sänkte","1.0"
"sänkta","1.0"
"gummihjul","3.0"
"lagstiftaren","1.0"
"killars","1.0"
"lönebildningen","1.0"
"herr","226.0"
"erbjudits","1.0"
"bestraffad","1.0"
"konfliktdrabbade","1.0"
"påbörja","1.0"
"lokala","36.0"
"station","1.0"
"växer","5.0"
"miljöbalken","7.0"
"generera","1.0"
"konstitutionsutskottets","1.0"
"närstående","1.0"
"trafik","8.0"
"flytt","1.0"
"utövar","1.0"
"follow","1.0"
"kommunicerar","1.0"
"djuromsorgsprogrammet","2.0"
"möjlighet","77.0"
"upphävas","2.0"
"djurlagstiftning","2.0"
"pengarna","10.0"
"hemmet","1.0"
"perioden","6.0"
"lokalt","10.0"
"budskap","2.0"
"debattsida","1.0"
"uppger","1.0"
"biologiska","14.0"
"konsekventa","1.0"
"buds","2.0"
"hets","2.0"
"nyordning","1.0"
"decenniers","1.0"
"fastställa","1.0"
"avgränsad","1.0"
"jobbat","5.0"
"siffror","13.0"
"myndighetsföreskrifter","1.0"
"jobbar","21.0"
"dagen","1.0"
"tillåtits","1.0"
"regelförenklingar","12.0"
"genomsyrar","2.0"
"pigmenten","4.0"
"kallar","4.0"
"matlagning","1.0"
"kallas","8.0"
"kallat","1.0"
"sändebud","1.0"
"torpet","1.0"
"bekräftar","1.0"
"introducera","3.0"
"koppling","3.0"
"erhållit","1.0"
"mucf","4.0"
"obligatoriskt","1.0"
"bredbandskartläggning","1.0"
"nedåt","1.0"
"församlingen","1.0"
"transportsnålare","1.0"
"yttersta","4.0"
"stadsmiljöer","2.0"
"regionen","5.0"
"kulturer","2.0"
"reducera","1.0"
"ersättningar","1.0"
"ansvar","105.0"
"allemansrätt","2.0"
"villkor","14.0"
"cso-er","1.0"
"lektionssituationerna","1.0"
"försvarets","1.0"
"uppsala","10.0"
"förnedrande","1.0"
"dessa","154.0"
"bidraget","2.0"
"omprövas","1.0"
"helene","3.0"
"obligatoriska","6.0"
"talmanspresidiet","1.0"
"bidragen","2.0"
"kontext","1.0"
"sett","46.0"
"jobbade","1.0"
"inflytandet","2.0"
"skoldebatten","1.0"
"myggkoncentrationen","1.0"
"5 000","1.0"
"marknadskrafter","1.0"
"mänsklig","1.0"
"överskott","3.0"
"fastställs","1.0"
"illustration","1.0"
"regioner","6.0"
"god","38.0"
"pisa-undersökningen","1.0"
"agerande","2.0"
"standard","3.0"
"lade","10.0"
"utför","2.0"
"jobben","2.0"
"hoc-lösningar","1.0"
"ramdirektivet","1.0"
"vaksamma","1.0"
"definiera","2.0"
"vidta","35.0"
"sälja","2.0"
"byggbolag","1.0"
"institution","1.0"
"verklig","1.0"
"rubriker","1.0"
"ambition","12.0"
"förändras","2.0"
"dagar","3.0"
"fiskefrågor","1.0"
"palestinier","1.0"
"europachef","1.0"
"ekonomi","6.0"
"förtätas","1.0"
"jobbet","2.0"
"stödinsatser","1.0"
"emot","44.0"
"manifestation","1.0"
"kombination","3.0"
"förändrad","4.0"
"fiske","1.0"
"laddinfrastruktur","3.0"
"beredningar","1.0"
"european","1.0"
"planekonomi","2.0"
"statsråden","1.0"
"aktiva","6.0"
"överinvesterat","1.0"
"slutits","1.0"
"rubriken","3.0"
"lokförare","1.0"
"slott","1.0"
"60-","1.0"
"inrättades","2.0"
"erhåller","1.0"
"fastlandet","1.0"
"600","1.0"
"fakta","2.0"
"bidragsvillkor","1.0"
"eu-perspektiv","1.0"
"kommunikationer","2.0"
"bränsleförbrukning","3.0"
"motstånd","1.0"
"gemenskap","3.0"
"aktivt","34.0"
"självständighet","2.0"
"geografiska","1.0"
"spridas","4.0"
"riksdagens","18.0"
"regional","14.0"
"färgpigment","1.0"
"hyran?","2.0"
"utsläpp?","1.0"
"bidrag","12.0"
"preliminära","1.0"
"utrustning","1.0"
"spårtrafiken","1.0"
"statsrådet","20.0"
"likaväl","1.0"
"mobila","7.0"
"stabiliteten","1.0"
"förtjänstfulla","1.0"
"framkommit","2.0"
"socialt","5.0"
"gavis","1.0"
"utvecklingsfonden","10.0"
"humanitärt","6.0"
"regeringsförklaring","3.0"
"unika","4.0"
"omvärld","1.0"
"kadmiumfärger","1.0"
"industry.","1.0"
"problematisera","2.0"
"vidimera","1.0"
"kartläggning","1.0"
"sverigebygge","2.0"
"lag-","1.0"
"överensstämmer","2.0"
"friskoleaktörerna","1.0"
"krävas","2.0"
"sociala","7.0"
"tungmetallerna","1.0"
"förtjänstfullt","3.0"
"skattemedel","6.0"
"strandskyddsbestämmelser","1.0"
"säljs","1.0"
"föreningar","1.0"
"mobilt","3.0"
"unikt","3.0"
"alltför","11.0"
"angreppssätt","1.0"
"skolinspektionens","7.0"
"hyresgästers","1.0"
"köper","4.0"
"löften","2.0"
"skolutvecklingens","1.0"
"handläggare","1.0"
"dagens","18.0"
"branschorganisationer","1.0"
"nedsättningarna","1.0"
"återkoppla","1.0"
"förtrycket","1.0"
"ratificering","1.0"
"lagt","8.0"
"dialogerna","1.0"
"jaktbeslutet","1.0"
"samordnare","9.0"
"fastighetsägarnas","1.0"
"remissvar","5.0"
"ägnade","1.0"
"skärgårdar","1.0"
"stammar","2.0"
"samordnaren","6.0"
"flygplatserna","4.0"
"stödpengar","1.0"
"fiber","2.0"
"nyetableringar","1.0"
"byggprocesserna","4.0"
"hänsyn","17.0"
"självfallet","1.0"
"sundhet","1.0"
"värdegrundsperspektiv","1.0"
"warborn","3.0"
"hemmets","1.0"
"pratas","2.0"
"reaktortyp","2.0"
"pratar","3.0"
"rådgivning","1.0"
"riksdagsledamöter","9.0"
"ekomarknaden","1.0"
"gud","1.0"
"stängning","2.0"
"pratat","2.0"
"användandet","2.0"
"laga","1.0"
"beredningen","12.0"
"presstödssystemet","2.0"
"miljöbeslut","1.0"
"säkerhetssystemen","1.0"
"läkemedelssidan","1.0"
"instans","1.0"
"brådska","1.0"
"samordnarens","2.0"
"representanter","8.0"
"tillsätta","9.0"
"kommer","451.0"
"resurseffektivt","1.0"
"lahti","1.0"
"balanseras","1.0"
"balanserat","1.0"
"gavel","2.0"
"lärarlöner","5.0"
"mötts","1.0"
"skapandet","1.0"
"fossilfria","1.0"
"klimatförändringar","5.0"
"hunnit","4.0"
"tillsätts","2.0"
"inbrott","1.0"
"faktiskt","52.0"
"fyller","4.0"
"stryka","1.0"
"mötte","1.0"
"skolföretag","1.0"
"utgår","6.0"
"fungerat?","1.0"
"faktiska","4.0"
"patriarkal","3.0"
"stycken","1.0"
"cop 15","1.0"
"anställa","4.0"
"nyhetsrapporteringen","1.0"
"explosiv","2.0"
"interpellanterna","9.0"
"avfallshantering","1.0"
"ihjäl","1.0"
"djur","9.0"
"djup","3.0"
"skuldsättning","8.0"
"presstöd","2.0"
"arbetades","1.0"
"överlämnats","2.0"
"förtryck","2.0"
"värdefull","2.0"
"femtio","1.0"
"incidentrapportering","1.0"
"partiklar","1.0"
"trovärdighet","2.0"
"skärgården","4.0"
"godkände","1.0"
"färdigberett","2.0"
"godkända","1.0"
"basis","1.0"
"statsbyggande","3.0"
"domstolarna","1.0"
"förvaltningsplaner","1.0"
"statsministern","4.0"
"förvaltningen","2.0"
"klimatförändringarna","4.0"
"värderingar","6.0"
"massa","3.0"
"avtalsvillkor","3.0"
"urval","5.0"
"partnerorganisationer","1.0"
"förhålla","1.0"
"kommunens","2.0"
"besitter","2.0"
"kunskapsinhämtning","1.0"
"skattepengarna","4.0"
"informations-","1.0"
"universell","1.0"
"energimarknaden","3.0"
"obehindrat","1.0"
"eurätten","1.0"
"oroade","1.0"
"oklart","2.0"
"märkbart","1.0"
"koll","1.0"
"extra","19.0"
"arbetsmöjligheter","1.0"
"leder","23.0"
"land","42.0"
"byggnadsverkens","1.0"
"bostadsfrågan","2.0"
"varningar","2.0"
"samrådsmöjligheter","1.0"
"lärarlegitimationsreformen","1.0"
"motståndskraft","1.0"
"öppenhet","3.0"
"bostadspolitiska","1.0"
"staterna","1.0"
"ekoägg","1.0"
"qarlssons","1.0"
"särkrav","1.0"
"ledde","4.0"
"fyllas","1.0"
"90-talet","1.0"
"tids","1.0"
"året","15.0"
"exceptionell","2.0"
"ställningstaganden","1.0"
"fördjupad","3.0"
"resandemönster","1.0"
"aron","4.0"
"ställningstagandet","2.0"
"åren","35.0"
"pratade","4.0"
"väljarnas","1.0"
"lapp","1.0"
"art-","2.0"
"våtmarksarbete","1.0"
"infrastrukturplan","1.0"
"450 miljoner","1.0"
"täckning","2.0"
"verksamheten","25.0"
"stadgande","1.0"
"allvarlig","5.0"
"verksamheter","20.0"
"landsbygdsutvecklingsområden","1.0"
"arabförbundet","1.0"
"bonus-malus-systemet","2.0"
"vidga","1.0"
"bröstet","3.0"
"förutsättningen","3.0"
"drift","6.0"
"kommuner","49.0"
"slogs","1.0"
"avsedda","6.0"
"pigment","1.0"
"kommunen","19.0"
"akustikkonsulter","1.0"
"rådet","6.0"
"trappar","2.0"
"kemikalieregleringen","2.0"
"samarbetsländerna","1.0"
"ansvarsbelopp","2.0"
"svenskar","2.0"
"vattenresurser","1.0"
"varsamt","1.0"
"stadshus","1.0"
"ibland","23.0"
"permanenta","2.0"
"avverkat","1.0"
"omställningstryck","1.0"
"lars","17.0"
"flygplatsernas","1.0"
"statsbidraget","1.0"
"konsekvensen","4.0"
"upptäcker","2.0"
"arkitektur","1.0"
"mötena","1.0"
"kärnkraftreaktorer","1.0"
"färdiga","2.0"
"spärrar","1.0"
"konsekvenser","12.0"
"tätort","2.0"
"värdegrundsarbete","1.0"
"larmnumret","1.0"
"avverkas","1.0"
"planprocess","1.0"
"färdigt","1.0"
"etnografiska","1.0"
"planeringsförutsättningar","1.0"
"missgynnas","1.0"
"miljarder","29.0"
"religion","5.0"
"lärarkåren","1.0"
"svåraste","2.0"
"inkomstbortfall","1.0"
"anställningar","1.0"
"torka","1.0"
"arbetsföra","1.0"
"årtiondena","2.0"
"eu-rätt","1.0"
"till","1275.0"
"knappt","3.0"
"förutsättningar","56.0"
"nystart","1.0"
"presstödssystem","1.0"
"outnyttjade","1.0"
"identifierar","1.0"
"identifieras","1.0"
"regeringsinnehavet","1.0"
"identifierat","4.0"
"spektrum","2.0"
"torde","1.0"
"incidenter","1.0"
"försäkringsdelen","1.0"
"industrin","1.0"
"kort","16.0"
"han","30.0"
"helhetsmönstret","1.0"
"industris","1.0"
"har","1585.0"
"objektiva","1.0"
"kulturbudget","1.0"
"vore","22.0"
"hälsa","9.0"
"bidrog","1.0"
"hav","1.0"
"premieras","3.0"
"prövas","1.0"
"intressanta","5.0"
"prövar","2.0"
"garanti","2.0"
"menas","2.0"
"menar","21.0"
"parlament","3.0"
"järnvägssystemet","1.0"
"mötas","5.0"
"strandlägen","1.0"
"grundkonflikten","1.0"
"enat","1.0"
"genomförandemöjligheter","1.0"
"arbetsställen","2.0"
"15,5","1.0"
"socialdemokraternas","1.0"
"formade","1.0"
"chans","2.0"
"medvetna","2.0"
"läsförståelsen","1.0"
"förstagångsbesökare","2.0"
"borttagandet","1.0"
"enda","10.0"
"kommit","28.0"
"råder","16.0"
"kärnkraftssektorn","1.0"
"stängas","3.0"
"flickor","8.0"
"traineetjänster","3.0"
"ndf:s","2.0"
"projekten","1.0"
"ting","2.0"
"seklet","1.0"
"spärren","1.0"
"förutom","5.0"
"rådde","2.0"
"abonnenterna","1.0"
"klimatförhandlingar","1.0"
"industri-","1.0"
"nyare","1.0"
"290 000","1.0"
"rättigheterna","1.0"
"debattörens","1.0"
"korset/röda","1.0"
"vinster","4.0"
"hiv/aids","1.0"
"skolflickors","1.0"
"granskning","18.0"
"hotade","1.0"
"förhandlingar","1.0"
"namnlistor","1.0"
"alice","1.0"
"normaliseras","2.0"
"jämställdhetspolicy","1.0"
"snedvridande","1.0"
"sårbarhetsanalys","1.0"
"hel","4.0"
"stationer","4.0"
"hem","1.0"
"känsliga","4.0"
"prata","1.0"
"additionell","1.0"
"inspel","3.0"
"svårare","8.0"
"slopa","1.0"
"floran","1.0"
"möten","3.0"
"tullas","1.0"
"frågorna","54.0"
"möter","8.0"
"oskar","1.0"
"svårast","1.0"
"omprövning","3.0"
"mötet","14.0"
"stadsutvecklingshänseende","1.0"
"skjutas","1.0"
"vetenskapsrådet","1.0"
"libanon","6.0"
"prioriteten","1.0"
"miljöbilsdefinitioner","1.0"
"rättslig","1.0"
"kultursamverkansmodellen","6.0"
"elnät","1.0"
"översättningen","1.0"
"eu-gemensamma","1.0"
"bidrar","17.0"
"sprider","1.0"
"miljöbilsdefinitionen","1.0"
"friluftsorganisationer","2.0"
"karlskrona","2.0"
"parterna","12.0"
"uttalande","2.0"
"smart","5.0"
"samarbeta","2.0"
"ogillas","1.0"
"förutse","1.0"
"framkommer","1.0"
"undersökas","1.0"
"sjunkit","1.0"
"utveckling","50.0"
"samarbete","20.0"
"stänger","2.0"
"befolkar","1.0"
"kräver","13.0"
"godkänns","1.0"
"genomsnittlig","1.0"
"poliser","2.0"
"framkomligheten","1.0"
"polisen","6.0"
"2020-målen","1.0"
"klimatinvesteringsprogrammet","1.0"
"regeringens","92.0"
"pbl-området","1.0"
"bredare","7.0"
"kapital","5.0"
"analysfunktionerna","1.0"
"it-infrastruktur","1.0"
"skakig","1.0"
"skollag","5.0"
"godkänna","2.0"
"där","345.0"
"subsidies","1.0"
"kommun","14.0"
"ottosons","1.0"
"spekulationer","2.0"
"religioner","1.0"
"ministerns","4.0"
"antagits","2.0"
"föreningsfriheten","2.0"
"skolutvecklingsprogram","9.0"
"klimatforskning","1.0"
"2 100","1.0"
"störningarna","1.0"
"stambanor","1.0"
"uppföljningsrapport","2.0"
"hit","4.0"
"kostade","1.0"
"tillstånd","21.0"
"praktisk","1.0"
"hiv","2.0"
"överlämnade","1.0"
"feministisk","1.0"
"rovdjursförvaltningsområdet","1.0"
"stabilitetsrådet","3.0"
"gjordes","6.0"
"potential","9.0"
"fjärde","2.0"
"medfinansiering","7.0"
"kronofogden","7.0"
"kommunal","5.0"
"bruka","1.0"
"godkänts","1.0"
"enig","1.0"
"bergström","1.0"
"historieböckerna?","1.0"
"okej","1.0"
"bedömare","1.0"
"antisemitism","2.0"
"vuxna","1.0"
"bolag","4.0"
"åtgärdsprogram","9.0"
"euratomfördraget","1.0"
"desto","1.0"
"trafiksäkerhetschef","1.0"
"männen","1.0"
"byggreglerna","4.0"
"medvetet","2.0"
"kampen","1.0"
"allmänheten","2.0"
"medveten","13.0"
"kvalitativ","1.0"
"utformning","7.0"
"sätet?","1.0"
"tidigt","19.0"
"länder","54.0"
"eventuellt","4.0"
"motverkat","1.0"
"sjunker","1.0"
"synnerligen","1.0"
"dimension","2.0"
"neddragningar","1.0"
"föresätter","1.0"
"känslig","3.0"
"gles-","1.0"
"attribut","1.0"
"kalmar","1.0"
"chef","2.0"
"alternativa","6.0"
"kapitel","2.0"
"klimatvänliga","1.0"
"yttäckning","2.0"
"samfinansiering","1.0"
"vägslitaget","1.0"
"basfärdigheterna","2.0"
"åskådningar","1.0"
"alternativt","1.0"
"tidiga","15.0"
"resurser","14.0"
"offentlighetsprincip","1.0"
"stadsutvecklingen","2.0"
"närmaste","5.0"
"stimulans","1.0"
"friluftsturismen","1.0"
"orsakar","1.0"
"lättare","6.0"
"noterar","9.0"
"helhetsgrepp","2.0"
"skicka","3.0"
"noteras","1.0"
"framställning","1.0"
"detaljer","3.0"
"7-9","4.0"
"krångligt","1.0"
"bostadsministrar","1.0"
"otrolig","2.0"
"kompetenta","8.0"
"gängse","1.0"
"allvarliga","7.0"
"hattar","1.0"
"energiproducent","1.0"
"sedvanlig","2.0"
"förlängningen","3.0"
"olyckliga","1.0"
"konkurrensfördel","4.0"
"billigare","1.0"
"avsedd","1.0"
"hoc","2.0"
"samhällsutveckling","1.0"
"c-lägen","2.0"
"väller","1.0"
"organ","2.0"
"annan","57.0"
"sustainable","2.0"
"hon","36.0"
"resultaten","5.0"
"kommunikationsansvar","2.0"
"hot","6.0"
"avtalsrörelsen","1.0"
"hos","45.0"
"olyckligt","5.0"
"betydande","5.0"
"resultatet","5.0"
"giftfri","3.0"
"fritidspedagoger","1.0"
"tidningen","1.0"
"respektive","8.0"
"miljövänlig","2.0"
"fragmentisering","1.0"
"</em>av","1.0"
"effektivitet","3.0"
"på-och-av-fråga","1.0"
"indikerar","1.0"
"annat","156.0"
"vitsippsbuketter","1.0"
"uppmärksammade","1.0"
"också","487.0"
"flyttade","1.0"
"kallade","27.0"
"kuststräckor","1.0"
"energiföretag","1.0"
"grundpelare","1.0"
"världens","4.0"
"samhällskostnader","1.0"
"siffra","2.0"
"framhöll","1.0"
"tryggheten","1.0"
"antiziganism","1.0"
"allianspartiernas","2.0"
"80-procentig","1.0"
"vattendragen","2.0"
"livskraftiga","2.0"
"årtal","1.0"
"återreglering","1.0"
"borgerliga","10.0"
"dubbla","1.0"
"utgiftsområde","5.0"
"barns","7.0"
"frustrerade","1.0"
"byggnation","1.0"
"granskningen","2.0"
"ense","1.0"
"innebar","5.0"
"väcktes","1.0"
"skyddsjakten","3.0"
"åsidosätts","1.0"
"nödsystem","1.0"
"killar","1.0"
"utveckling?","1.0"
"tusen","1.0"
"arkeologiska","6.0"
"övertygelse","2.0"
"yta","2.0"
"principbeslut","1.0"
"eftertraktad","2.0"
"regnskog","1.0"
"strategierna","4.0"
"ersättas","1.0"
"renoveringar","2.0"
"akuta","1.0"
"vision","1.0"
"riazats","1.0"
"verksamhetens","1.0"
"belasta","1.0"
"rosencrantz","4.0"
"utvecklingsperspektiv","1.0"
"bestämmelserna","2.0"
"förvisso","4.0"
"läsa-skriva-räkna-garanti","12.0"
"petersson","3.0"
"rikspolitiken","1.0"
"livskraftigt","1.0"
"interagerar","1.0"
"skiljelinjerna","1.0"
"renodlad","1.0"
"genomförandearbetet","3.0"
"kulturfältet","1.0"
"strandremsorna","1.0"
"sanktionsmöjligheter","5.0"
"skoldebatt","1.0"
"tidningar","5.0"
"lastbilstransporterna","4.0"
"dominerar","1.0"
"tolkning","2.0"
"infrastrukturen","3.0"
"miljömålsberedningens","8.0"
"skickas","2.0"
"skickar","1.0"
"skickat","3.0"
"trafikledning","1.0"
"skogsägare","4.0"
"bland","128.0"
"intäkterna","1.0"
"maria","11.0"
"tillverka","1.0"
"existerar","1.0"
"poängterades","2.0"
"samlingen","6.0"
"friluftsmiljö","1.0"
"jämn","1.0"
"lysande","1.0"
"mejl","1.0"
"kärnkraftsindustrin","1.0"
"experter","3.0"
"besittningsskydd","2.0"
"demokratisering","3.0"
"aktuell","5.0"
"sammanfaller","1.0"
"trodde","5.0"
"reglernas","1.0"
"ökande","4.0"
"föranlett","3.0"
"justeringar","1.0"
"olyckorna","2.0"
"genomdrevs","1.0"
"president","2.0"
"reformarbetet","1.0"
"givarna","2.0"
"hur","312.0"
"gentemot","3.0"
"svartvitt:","1.0"
"hus","4.0"
"sdg-agendan","1.0"
"kollektivavtalsmässiga","1.0"
"interpellationsdebatter","3.0"
"kommunaliseringen","4.0"
"granskningar","4.0"
"interpellationsdebatten","6.0"
"strikt","1.0"
"kläm","1.0"
"action","1.0"
"klär","1.0"
"individens","1.0"
"konsumentinformation","1.0"
"exploaterad","1.0"
"påtryckning","1.0"
"riktvärdena","1.0"
"ekosystemtjänster","1.0"
"(pts)","1.0"
"vågskålar","2.0"
"mark-","7.0"
"vänsterpartiet","14.0"
"exploateras","1.0"
"speglas","1.0"
"asks","1.0"
"poetisk","1.0"
"renskötare","1.0"
"uppenbarligen","11.0"
"aberdeen","1.0"
"gärna","26.0"
"mark?","1.0"
"barn-","5.0"
"viktiga","73.0"
"integritetsskydd","1.0"
"rasismens","1.0"
"tillskapats","1.0"
"befintlig","2.0"
"patenträttigheterna","3.0"
"flesta","12.0"
"firar","1.0"
"klimatavtal","2.0"
"skillnaden","3.0"
"klimatfinansieringen","1.0"
"utvecklingscykel","1.0"
"konstellationer","2.0"
"samhällsekonomi","1.0"
"brytning","1.0"
"skillnader","5.0"
"osäkerheten","2.0"
"grundbult","1.0"
"nyss","3.0"
"följd","9.0"
"handskas","1.0"
"viktigt","151.0"
"följa","41.0"
"justitiedepartementet","3.0"
"dagarna","2.0"
"dammarna","1.0"
"följt","1.0"
"post-2015","2.0"
"lämnades","2.0"
"tydlig:","1.0"
"besöker","1.0"
"habitatdirektivet","2.0"
"skiften","1.0"
"undersökning","3.0"
"väg</em>?","1.0"
"besöket","1.0"
"belopp","3.0"
"hyr","2.0"
"individuell","1.0"
"forskarbilden","1.0"
"småföretag","2.0"
"värnar","7.0"
"vetenskapen","2.0"
"städer","15.0"
"specialpedagogiskt","2.0"
"tillsynen","3.0"
"utbildningsinsats","3.0"
"lagts","5.0"
"umeå","2.0"
"radio","1.0"
"yttranden?","1.0"
"rot-avdraget","1.0"
"centraliseras","1.0"
"berg","7.0"
"kulturinslag","1.0"
"klimatprojekt","1.0"
"försöka","29.0"
"internationell","6.0"
"orsaker","1.0"
"tillsynsansvaret","1.0"
"international","1.0"
"orsaken","2.0"
"regelverket","12.0"
"närområdena","1.0"
"prenumeranter","1.0"
"undervisningsgrupperna","1.0"
"individers","1.0"
"idéer","11.0"
"bengtsson","3.0"
"utsträckning","6.0"
"historieämnet","4.0"
"nybyggnationen","1.0"
"försökt","7.0"
"genomförandeunderskottet","2.0"
"sustainability","1.0"
"letar","1.0"
"friends","1.0"
"samhällsorienterande","1.0"
"regelförenklingarna","1.0"
"professor","1.0"
"deras","30.0"
"samband","21.0"
"nytt","16.0"
"läslyftet","1.0"
"finanskrisen","2.0"
"dubbel","1.0"
"brottades","1.0"
"regelverken","2.0"
"respektlöst","1.0"
"sådana","41.0"
"yttrandens","1.0"
"fram","163.0"
"mest","25.0"
"best","1.0"
"slopas","1.0"
"vägslitageavgift","1.0"
"sådant","34.0"
"ansvarsområdena","1.0"
"säkra","9.0"
"museimyndigheter","1.0"
"biståndsnivå","1.0"
"beta","1.0"
"ögonen","5.0"
"finansieringen","8.0"
"principbeslutet","1.0"
"självständiga","2.0"
"genuint","1.0"
"bero","1.0"
"fundera","3.0"
"processindustrin","1.0"
"mera","1.0"
"2009/10:155","1.0"
"kulturarvet","2.0"
"uttala","5.0"
"lärarens","3.0"
"brokig","1.0"
"miljöpartiets","3.0"
"liksom","25.0"
"hyresgäster</em>","1.0"
"sst:s","1.0"
"bromsar","1.0"
"andrahandsuthyrningen","1.0"
"inlägg","23.0"
"medfinansieringen","2.0"
"skadeståndsansvar","1.0"
"frigör","3.0"
"tyskland","8.0"
"rovdjursförvaltningen","4.0"
"brandmän","1.0"
"överklaga","1.0"
"regeringsförklaringen","7.0"
"basen","1.0"
"intention","1.0"
"konflikterna","4.0"
"omställningsstöd","1.0"
"koldioxidutsläpp","2.0"
"kristallkulan","2.0"
"runda","1.0"
"olikheten","1.0"
"</em><em>-</em><em>","1.0"
"utökat","4.0"
"klimatdebatt","1.0"
"mängd","2.0"
"aftonbladet","2.0"
"sammanfattningen","1.0"
"kompetenser","3.0"
"missförstånd","4.0"
"byggnad","1.0"
"ekomat","1.0"
"mottagarna","1.0"
"byggmarknaden","2.0"
"konsumentombudsmannen","2.0"
"utökad","1.0"
"ocker","1.0"
"biståndsbudgeten","2.0"
"sorgligt","2.0"
"medelhög","1.0"
"fred","6.0"
"ändringar","12.0"
"produktionsenheter","1.0"
"equality","1.0"
"flyttats","2.0"
"morgon?","1.0"
"sågverk","1.0"
"egenskaper","2.0"
"monotona","1.0"
"drygt","7.0"
"fullaste","1.0"
"långtradare","1.0"
"oerhörda","1.0"
"överprövningen","1.0"
"dryga","1.0"
"slöts","1.0"
"rektorn","1.0"
"lovande","1.0"
"står","76.0"
"kompetensen","8.0"
"övergödning","1.0"
"tidpunkt","2.0"
"uppfylla","7.0"
"läromedlet","1.0"
"regelbundet","3.0"
"resenärer","1.0"
"acceptera","5.0"
"dubbelspår","2.0"
"strypa","1.0"
"tillsättandet","1.0"
"perfekt","2.0"
"strandskyddsreglerna","6.0"
"oecd-dac","1.0"
"energiåtgång","2.0"
"stockholmspolitikerna","1.0"
"tillgodogjort","1.0"
"tydliga","26.0"
"teknikcenter","1.0"
"bidragsförordningar","1.0"
"fortsätta","49.0"
"industriländers","1.0"
"satsningarna","4.0"
"förorenade","1.0"
"bröt","1.0"
"utformades","3.0"
"målsättningar","1.0"
"lokalsamhällen","1.0"
"kärnkraftsolyckan","2.0"
"lokalsamhället","2.0"
"tydligt","49.0"
"problematiskt","4.0"
"rättighetsperspektivet","1.0"
"teknisk","3.0"
"kritisk","4.0"
"siffran","3.0"
"fungerade","1.0"
"lätta","7.0"
"uppfylls","1.0"
"riket","1.0"
"uppfyllt","1.0"
"trålar","1.0"
"fotbollsproffs","1.0"
"regeringskansliets","1.0"
"palestina","23.0"
"sammanträdet","1.0"
"överhängande","1.0"
"energisystemet","1.0"
"kärnkraftsenergin","1.0"
"lustig","1.0"
"vital","1.0"
"80-talet","1.0"
"asfalt","3.0"
"åtminstone","13.0"
"gjord","3.0"
"temperaturökning","1.0"
"påbörjades","2.0"
"regeringsnivå","2.0"
"försvarsmaktens","5.0"
"ligger","66.0"
"tröskeln","5.0"
"händelser","3.0"
"samordnade","4.0"
"förstnämnda","1.0"
"signalpolitik","1.0"
"händelsen","1.0"
"ställning","11.0"
"fria","2.0"
"familjeband","1.0"
"järnvägssträckor","1.0"
"ändringen","1.0"
"kränkningar","1.0"
