"party","V"
"klimatmål","4.0"
"stup","1.0"
"mediernas","1.0"
"konsumentskyddsområdet","1.0"
"bokstavligt","1.0"
"beslutades","1.0"
"onsdagens","1.0"
"försvarsbudgeten","1.0"
"värden","3.0"
"passivitet","1.0"
"cakes","1.0"
"testa","2.0"
"avstannar","2.0"
"reproduktiv","3.0"
"minister","15.0"
"utbetalning","1.0"
"försvarsdepartementet","2.0"
"effekt","5.0"
"väga","3.0"
"bekostnad","5.0"
"flytta","7.0"
"anställning?","1.0"
"nazism","1.0"
"uppfatta","1.0"
"4,7","1.0"
"kvinnoorganisationer","1.0"
"tvåstatslösning?","1.0"
"verksamhetsföremål","1.0"
"marknadsmisslyckandena","1.0"
"inblandade","2.0"
"lättillgängliga","1.0"
"lockande","1.0"
"trafikverkets","2.0"
"stränderna","1.0"
"tagit","21.0"
"vop","2.0"
"förfinas","1.0"
"ena","7.0"
"utbildningsministern","14.0"
"4-5","1.0"
"vissa","17.0"
"buller","2.0"
"brukare","3.0"
"bryter","2.0"
"turen","1.0"
"skiljedomstolar","1.0"
"sprututbytesverksamheter","1.0"
"epicentrum","1.0"
"ens","16.0"
"djurskyddet","2.0"
"nämnderna","6.0"
"linda","2.0"
"forum","1.0"
"stiftar","1.0"
"dagliga","1.0"
"progressiva","1.0"
"åtgärdas","1.0"
"forskningsmedel","6.0"
"tidning","2.0"
"jättelikt","1.0"
"sjukförsäkring","2.0"
"hemmaplan","4.0"
"sms-anställningar","1.0"
"förseningar","1.0"
"högtidliga","1.0"
"styr","4.0"
"tvingats","1.0"
"regionens","1.0"
"eph","1.0"
"ockupationsmakten","2.0"
"programmen","1.0"
"programmet","1.0"
"omhändertagen","1.0"
"levande","2.0"
"nicaragua","1.0"
"sexualbrott","2.0"
"damberg?","1.0"
"regelverkets","1.0"
"värdering","1.0"
"damberg:","2.0"
"personalbrist","1.0"
"drabbats","4.0"
"stämningarna","1.0"
"valet","11.0"
"graven","3.0"
"återbetalning","1.0"
"nej?","1.0"
"tisdagar","1.0"
"klimatutsläppen","1.0"
"byggdes","1.0"
"lo-grupperna","1.0"
"funktionsnedsättning","2.0"
"biljettpriserna","1.0"
"tillåtna","1.0"
"drunkna","1.0"
"cell","1.0"
"säger:","5.0"
"bansträckningen","3.0"
"lägenheten","3.0"
"era","1.0"
"löpande","2.0"
"mängder","5.0"
"lägenheter","2.0"
"ansvarar","2.0"
"extremerna","1.0"
"gatan","1.0"
"kulturpolitik","1.0"
"smidigt","1.0"
"trettiotal","1.0"
"känt","5.0"
"sysselsättningsgraden","1.0"
"ursprungligen","2.0"
"uteblir","1.0"
"slutanvändarintyget","1.0"
"parterna;","1.0"
"heidi","1.0"
"känd","1.0"
"leverera","3.0"
"neka","3.0"
"regelverket?","1.0"
"nattetid","1.0"
"orterna","1.0"
"andrahandshyror","1.0"
"klotter","1.0"
"debatterna","1.0"
"g77","1.0"
"påtryckningsmedel","1.0"
"spice","1.0"
"förordnande","1.0"
"operationens","1.0"
"grupp","16.0"
"innovationsministern","2.0"
"trial","1.0"
"pekat","2.0"
"tvångsutvisningar","1.0"
"433","1.0"
"mansdominerad","1.0"
"controllers","1.0"
"bostad","3.0"
"förödande","3.0"
"akalla","7.0"
"pekar","8.0"
"ett","628.0"
"avgöra","2.0"
"motorvägar","1.0"
"hyrorna","2.0"
"dyra","5.0"
"bieffekter","1.0"
"eritrea","1.0"
"linje","9.0"
"intervjuaren","1.0"
"gått?","1.0"
"sidor","4.0"
"pensionssystem","3.0"
"resebyråer","1.0"
"dyrt","3.0"
"kärnuppgiften","1.0"
"uppgifterna","4.0"
"arbetaryrken","1.0"
"aktiv","4.0"
"grund","35.0"
"rättsstater","6.0"
"försvarsministerns","1.0"
"värt","2.0"
"utredningstiden","2.0"
"forma","1.0"
"lånefällan","1.0"
"tillåts?","1.0"
"valde","7.0"
"räckte","1.0"
"regeringsbeslutet","1.0"
"ägarstrukturen","1.0"
"inverkan","2.0"
"spänningar","1.0"
"upphandlar:","1.0"
"underbud","1.0"
"ansvaret","6.0"
"trävaruindustri","1.0"
"inkomstgrupper","2.0"
"bostadsmarknaden","2.0"
"talartiden","1.0"
"socialpolitik","2.0"
"strategi","4.0"
"grums","2.0"
"valda","1.0"
"kollat","1.0"
"polisens","1.0"
"bevakning","2.0"
"kustbevakning","1.0"
"kära","1.0"
"ledamöter","3.0"
"långsamma","2.0"
"arbetsmarknadsinsatser","1.0"
"summor","2.0"
"överflyttats","1.0"
"betesförhållanden","1.0"
"raska","1.0"
"fredsprocessen","1.0"
"yrkeskategorier","1.0"
"effektiv","2.0"
"kvarstår","4.0"
"nere","2.0"
"northland","5.0"
"ägardirektivet","1.0"
"energifördraget","1.0"
"civila","6.0"
"åberopa","1.0"
"säkerhetshot","1.0"
"tuffast","1.0"
"samtycke","5.0"
"storstad","2.0"
"pensionärerna","1.0"
"sacharovpriset","1.0"
"rör","6.0"
"miljöpolitiken","2.0"
"motorvägen","1.0"
"regeringens?","1.0"
"ockupationen","2.0"
"hemliga","3.0"
"stämma","11.0"
"kustjärnvägen","1.0"
"staplingen","1.0"
"byggt","3.0"
"byggs","6.0"
"befolkning?","1.0"
"förskolan","1.0"
"yrken","5.0"
"holländska","2.0"
"försöka?","1.0"
"utmaningar","11.0"
"friska","1.0"
"reklam","1.0"
"490","2.0"
"tillåter","2.0"
"sprida","4.0"
"byggd","2.0"
"tjänade","1.0"
"bygga","29.0"
"arbeta","17.0"
"skärpa","3.0"
"palestinskt","1.0"
"arbete","42.0"
"centret","1.0"
"omsorgen","1.0"
"hanteras","1.0"
"försvarsbeslut","1.0"
"hanterat","1.0"
"lagfördes","1.0"
"hanterar","1.0"
"betala","38.0"
"utbildningen","1.0"
"arbetsmarknad","3.0"
"händer","19.0"
"palestinska","21.0"
"kontakter","3.0"
"grundlig","3.0"
"grisuppfödare","1.0"
"tydligare","15.0"
"vallöftet","1.0"
"palestinske","1.0"
"turkiet","1.0"
"klassamhälle","1.0"
"kollektivavtal?","1.0"
"tuffare","1.0"
"igen","22.0"
"betalt","1.0"
"rättsenheten","1.0"
"förlåten","1.0"
"balans","3.0"
"grad","5.0"
"viset","2.0"
"insats","3.0"
"skogsbränder","3.0"
"fällande","2.0"
"högljudda","1.0"
"administration","2.0"
"enheter","3.0"
"upprepade","3.0"
"rot-avdrag","1.0"
"uppmärksammas","1.0"
"ingenstans","1.0"
"personalen","5.0"
"årsbasis?","1.0"
"allmännyttan","2.0"
"förbindelserna","1.0"
"länsstyrelsen","6.0"
"understödja","1.0"
"samtal","3.0"
"förvarats","1.0"
"lingvistiska","1.0"
"ombesörja","1.0"
"massbilism","1.0"
"kontrakten","2.0"
"brunkol","6.0"
"omkullkasta","1.0"
"förorter","1.0"
"närboende","2.0"
"kontraktet","1.0"
"undrar","27.0"
"hyresvärdarna","2.0"
"täcka","1.0"
"reagerat","2.0"
"reagerar","1.0"
"avsattes","1.0"
"utmaningen","1.0"
"djuruppfödning?","1.0"
"central","4.0"
"jordbruk","1.0"
"säkras","1.0"
"bedömning","5.0"
"timmars","1.0"
"smutsar","2.0"
"visar","34.0"
"green","3.0"
"visat","2.0"
"ekoturismen","1.0"
"daglig","1.0"
"försöken","1.0"
"försöker","17.0"
"glesbygden","4.0"
"bolivia","3.0"
"ekosystem","2.0"
"israel","10.0"
"försöket","1.0"
"kontaktat","2.0"
"1 500","1.0"
"självmorden","1.0"
"brunkolskraftverken","1.0"
"pricken","1.0"
"infördes","1.0"
"debatterat","4.0"
"sidas","2.0"
"kringgå","1.0"
"bostäderna","1.0"
"förkorta","1.0"
"filippinerna","2.0"
"samhällsorganisationer","1.0"
"plundringar","1.0"
"därför","129.0"
"far","3.0"
"samla","2.0"
"härhemma","2.0"
"frodas","1.0"
"plan","5.0"
"gruvpolitik","1.0"
"främjar","1.0"
"stämde","1.0"
"arbetarna","1.0"
"upprepas.","1.0"
"varigenom","1.0"
"planering","2.0"
"lagliga","2.0"
"sjökvists","1.0"
"sänkningar","1.0"
"uppsättning","2.0"
"resten","6.0"
"bekymmersamt","2.0"
"samma","45.0"
"jordbruksminister","1.0"
"kontroversiell","1.0"
"skapats","1.0"
"lagligt","3.0"
"debatterar","3.0"
"ungar","1.0"
"bevakningsverksamhet","1.0"
"positiv","8.0"
"hamnade","3.0"
"frisläppta","1.0"
"kompetensbrist","1.0"
"elda","1.0"
"dessutom","16.0"
"\*","84.0"
"samsyn","6.0"
"räntorna","1.0"
"understryker","1.0"
"pris</em>","2.0"
"taget","11.0"
"berlin","2.0"
"åtgärden","1.0"
"påtala","3.0"
"ignorerar","1.0"
"prissättning:","1.0"
"åtgärder","32.0"
"obalans","1.0"
"klimat-","16.0"
"läste","7.0"
"genomslag","1.0"
"räcker","15.0"
"arrest","2.0"
"österrike","4.0"
"belgien","3.0"
"fel","22.0"
"avstamp","2.0"
"fem","4.0"
"effekten","1.0"
"försvarsområdet","1.0"
"högskolepolitik","1.0"
"måndagar","1.0"
"effekter","2.0"
"ändamål","1.0"
"sunt","1.0"
"tjänstemännen","1.0"
"notera","1.0"
"moderaterna","9.0"
"utsätts","1.0"
"så?","1.0"
"oaktsamhet","1.0"
"sund","2.0"
"summerar","1.0"
"importerade","1.0"
"funderat","1.0"
"funderar","2.0"
"instämmer;","1.0"
"elev","1.0"
"forskningsresultat","1.0"
"uppstår","1.0"
"who","1.0"
"deltidsarbete","1.0"
"statsbidrag","5.0"
"försörjer","1.0"
"ungdomsorganisationer","3.0"
"straff","2.0"
"arbetsvillkor","7.0"
"knapp","1.0"
"exportvärde","1.0"
"tillåtas","1.0"
"halland","1.0"
"konkurrensvillkor","1.0"
"inriktningsbeslut","1.0"
"såg","7.0"
"situationen","16.0"
"dig;","1.0"
"dig:","1.0"
"situationer","4.0"
"energikälla","1.0"
"kalla","1.0"
"betvivlar","1.0"
"utvecklingssamarbete","8.0"
"skuldfälla","2.0"
"gator","1.0"
"administrativt","1.0"
"göteborg","10.0"
"arbetsmarknaden","23.0"
"uselt","3.0"
"huvuddelen","1.0"
"hänvisade","1.0"
"hur?","1.0"
"arbetsmarknader","2.0"
"rakt","1.0"
"jämför","3.0"
"forskningsansökningarna","1.0"
"raka","1.0"
"ändrats","1.0"
"lärdomar","3.0"
"bär","6.0"
"administrativa","1.0"
"underpriser","2.0"
"1325","1.0"
"avtalets","1.0"
"sidan","14.0"
"patriarkala","1.0"
"lekman","1.0"
"20 procent","1.0"
"fin","1.0"
"1 ½","1.0"
"båt","1.0"
"surt","1.0"
"kanske","67.0"
"pension","5.0"
"verifieras","1.0"
"geografisk","1.0"
"uppgett","2.0"
"hamas","3.0"
"förfina","2.0"
"grov","2.0"
"försäkringskassan","13.0"
"hållbart","1.0"
"panik","2.0"
"trakasseras","1.0"
"ifrån","11.0"
"tillse","1.0"
"territoriets","1.0"
"former","12.0"
"räddningsarbete","1.0"
"parallellt","1.0"
"formen","1.0"
"hållbara","2.0"
"av","662.0"
"eu-rätten","2.0"
"folk","7.0"
"vårdförbundet","1.0"
"finansieringsfrågan","1.0"
"inkomstnivå","1.0"
"förutsäga","1.0"
"uppstått","1.0"
"framtiden?","2.0"
"parallella","1.0"
"platser","7.0"
"be","3.0"
"framtiden;","1.0"
"dragit","2.0"
"gruvdrift","1.0"
"prova","1.0"
"interpellationer","84.0"
"fattakollen","1.0"
"bo","11.0"
"marknadspris?","1.0"
"migrationsministerns","1.0"
"uttryckas","1.0"
"interpellationen","7.0"
"skatteåterbäringen","1.0"
"järnvägstransporter","1.0"
"ca","3.0"
"fortsättningen","1.0"
"norrbotten","7.0"
"enormt","3.0"
"danmark","1.0"
"lundström","2.0"
"naivt","1.0"
"ställningstagande","3.0"
"våga","4.0"
"fly","2.0"
"partner","4.0"
"restriktionstillståndet","1.0"
"utöver","2.0"
"enorma","2.0"
"de","775.0"
"förtjusta","1.0"
"förtas","1.0"
"fmv","3.0"
"oegentligheter","1.0"
"asylprövningar","1.0"
"du","81.0"
"rigiditet","1.0"
"kriminalvårdens","3.0"
"ungefär","27.0"
"fastna","1.0"
"förutsättning","2.0"
"snart","14.0"
"inriktningar","1.0"
"ej","1.0"
"tryckte","1.0"
"el","1.0"
"en","1051.0"
"centralt","5.0"
"hitta","11.0"
"er","9.0"
"upprepa","2.0"
"dödsorsaker","1.0"
"eu","39.0"
"önskan","1.0"
"produktivitet","1.0"
"papper","1.0"
"tvivel","1.0"
"skattepolitik","2.0"
"försämrats","3.0"
"tillvaro","1.0"
"svika","1.0"
"anställningsform?","1.0"
"centrala","3.0"
"expertvittnen","2.0"
"deltid","1.0"
"h-","1.0"
"folkhälsofråga","1.0"
"for","2.0"
"ödesfråga","1.0"
"fn","10.0"
"politikerna","1.0"
"fot","3.0"
"flykt","3.0"
"önskar","5.0"
"önskat","1.0"
"bosättarprodukter","4.0"
"uttrycket","2.0"
"hälsotillstånd","1.0"
"uttrycker","1.0"
"påvisar","1.0"
"glömmer","3.0"
"dina","4.0"
"perrong","1.0"
"ge","40.0"
"våld","13.0"
"domen","9.0"
"vistas","4.0"
"kommunikation","3.0"
"nordiska","1.0"
"royaltyer","2.0"
"förmåga","3.0"
"tillträdde","1.0"
"rasistiska","6.0"
"läsa:","1.0"
"rasistiskt","2.0"
"restaurera","1.0"
"staterna?","1.0"
"form","14.0"
"kommunalskatten","1.0"
"genom","39.0"
"500","5.0"
"sms-lån","7.0"
"aboubakar","1.0"
"ha","185.0"
"kosovanska","1.0"
"fort","12.0"
"socialdemokraterna","22.0"
"undrade","1.0"
"då","160.0"
"strandängarna","1.0"
"överbelamrade","1.0"
"bedrivs","3.0"
"deltog","2.0"
"asylprövningen","1.0"
"ministrar","4.0"
"mobilen","1.0"
"gläder","7.0"
"fn-organ","1.0"
"högerregering","2.0"
"bedriva","2.0"
"hy","1.0"
"dö","5.0"
"enklaven","1.0"
"fra","2.0"
"zink","1.0"
"förhindra","10.0"
"sysselsättning","3.0"
"fri","3.0"
"ockerhyror","1.0"
"dramatiskt","1.0"
"ungdomarna","2.0"
"logiska","1.0"
"in","89.0"
"implementeras","1.0"
"häktningstiderna","1.0"
"påkostade","1.0"
"gavs","3.0"
"fru","67.0"
"köpa","6.0"
"hultqvist","2.0"
"is","1.0"
"efterfråga","1.0"
"sitt?","1.0"
"skattesänkningarna","1.0"
"funktionsvariationer","1.0"
"släktingar","1.0"
"logiskt","2.0"
"fereshteh","1.0"
"läser","4.0"
"arbetsrätt","2.0"
"ja","20.0"
"inträffar","1.0"
"bryssel","3.0"
"få","152.0"
"tjeckien","2.0"
"marginalen","2.0"
"likadan","2.0"
"jk","1.0"
"trygg","3.0"
"jo","5.0"
"andelen","3.0"
"marginaler","1.0"
"domar","5.0"
"tendens","4.0"
"ju","58.0"
"sitta","5.0"
"effektiva","1.0"
"köhler","2.0"
"värdefullt","1.0"
"endast","2.0"
"konsumentskydd","1.0"
"dubbelt","2.0"
"tittar","16.0"
"tittat","3.0"
"effektivt","3.0"
"kört","2.0"
"studera","3.0"
"ambitionerna","3.0"
"riksnivå","1.0"
"storföretag","10.0"
"visste","2.0"
"gå","63.0"
"levererade","2.0"
"patenten","1.0"
"jämföra","11.0"
"landsbygdsministerns","1.0"
"marknadsvärde","1.0"
"sålts","1.0"
"northlands","1.0"
"uppfattningen","2.0"
"vänsterpartiets","8.0"
"samhällsnyttan","2.0"
"löfte","2.0"
"normalfallet","1.0"
"vattenfall","47.0"
"halvt","2.0"
"ömsesidigt","2.0"
"anmälningar","1.0"
"sysselsatta","1.0"
"kostsamt","3.0"
"urbaniseringen","1.0"
"diskrimineringsgrund","1.0"
"snabblåneföretagen","2.0"
"underordnade","1.0"
"inledde","1.0"
"lo","4.0"
"rebellgrupper","1.0"
"spetskompetensen","1.0"
"avser","13.0"
"försvars-","2.0"
"forskarvärlden","1.0"
"värnpliktig","1.0"
"vårt","43.0"
"solitary","1.0"
"flyg-","1.0"
"rimligen","5.0"
"förstå","15.0"
"regelbrott","1.0"
"solidaritet","2.0"
"fritt","6.0"
"kosovo","3.0"
"kraftverk","1.0"
"morgan","4.0"
"utgångspunkten","6.0"
"vård","5.0"
"kött","3.0"
"tanzania","1.0"
"åstadkomma","2.0"
"byggnadsarbetarna","1.0"
"våra","42.0"
"gigantiskt","1.0"
"nationellt","6.0"
"my","1.0"
"expansion","3.0"
"ovärdigt","2.0"
"decentraliserad","1.0"
"4 500","2.0"
"inskränka","3.0"
"gaza","1.0"
"framhålls","1.0"
"beprövad","1.0"
"nationella","7.0"
"ni","44.0"
"reportage","2.0"
"hbtq-arbetet","1.0"
"nk","1.0"
"elva","1.0"
"statsbudgeten","2.0"
"glädje","1.0"
"krävt","1.0"
"datum","1.0"
"krävs","31.0"
"förbud","7.0"
"slaktar","1.0"
"uppdraget","4.0"
"avslås","4.0"
"nu","151.0"
"noggrannare","1.0"
"väktares","1.0"
"reagerade","1.0"
"enligt","24.0"
"ny","21.0"
"svenskarnas","1.0"
"bostadsköer","1.0"
"inlåst","2.0"
"dialog","7.0"
"varslat","1.0"
"kräva","18.0"
"överklagar","2.0"
"of","3.0"
"övrigt","5.0"
"stödet?","1.0"
"tjänsteår","1.0"
"djurskyddslag","8.0"
"resonera","1.0"
"om","937.0"
"on","2.0"
"undermåligt","2.0"
"svar","141.0"
"investeras","1.0"
"saknat","1.0"
"saknar","12.0"
"bestämmer","4.0"
"saknas","3.0"
"investerar","1.0"
"starka","7.0"
"mellanöstern","6.0"
"sedan;","1.0"
"politisk","8.0"
"ditt","8.0"
"miljöperspektiv","1.0"
"övriga","9.0"
"uppfattningar","2.0"
"starkt","13.0"
"krediter?","1.0"
"tryck","2.0"
"problematik","1.0"
"svag","3.0"
"förväntas","2.0"
"vägar","10.0"
"börja","24.0"
"byggandet?","1.0"
"augusti","3.0"
"vägas","2.0"
"nation","1.0"
"ordna","2.0"
"uppdrag:","1.0"
"fullgod","1.0"
"generation</em>","1.0"
"förväntan","3.0"
"förväntar","8.0"
"börje","2.0"
"enkelt","15.0"
"beskyllda","1.0"
"klander","1.0"
"utvinna","1.0"
"må","2.0"
"åttor","1.0"
"s-","1.0"
"jämlik","8.0"
"särskilda","1.0"
"betecknas","1.0"
"bör","25.0"
"likvärdighet","1.0"
"arbetsförmedlingen","4.0"
"drivit:","1.0"
"tjejjourers","1.0"
"företagare","1.0"
"tillskapat","1.0"
"form?","1.0"
"partydroger","1.0"
"utvecklingsavtalen","1.0"
"häktade","7.0"
"exakt","12.0"
"försvaret","2.0"
"medlingsinstitutets","5.0"
"statsmakten","1.0"
"fackföreningsrörelsen","3.0"
"nå","7.0"
"psykiatrisk","2.0"
"anslår","3.0"
"ro","1.0"
"anslås","1.0"
"gratis","1.0"
"charmigt","1.0"
"befogade","1.0"
"uppsagda","2.0"
"miljoner","14.0"
"frihandel","1.0"
"sa","16.0"
"byggbranschen","2.0"
"drogdebuten","1.0"
"brinnande","1.0"
"upphandling?","1.0"
"sd","1.0"
"se","126.0"
"sj","13.0"
"sl","2.0"
"spaningsverksamhet","1.0"
"helikoptrar","5.0"
"starten","2.0"
"invändningar","1.0"
"avgiften","1.0"
"rösta","5.0"
"hålla","11.0"
"lilla","6.0"
"ta","100.0"
"ända","2.0"
"efterlever","1.0"
"första","34.0"
"djurvälfärd","3.0"
"på","1064.0"
"ansvarig","3.0"
"kritiken","2.0"
"avgrundsskillnad","1.0"
"to","1.0"
"somras","2.0"
"svek","1.0"
"överens","33.0"
"norra","7.0"
"värsta","6.0"
"tv","1.0"
"sjukskrivningar","1.0"
"ramverket","2.0"
"generations","1.0"
"2 066","1.0"
"höginkomsttagare","1.0"
"verkade","1.0"
"sista","8.0"
"kollektivt","4.0"
"organisationer","18.0"
"marocko","16.0"
"sjukhuset","1.0"
"skillnad","19.0"
"storleksordning","1.0"
"organisationen","5.0"
"motiveringen","2.0"
"regleringen","1.0"
"underskattas","1.0"
"ur","19.0"
"ut","139.0"
"organisera","5.0"
"hamna","2.0"
"brottslighet","2.0"
"polisario","2.0"
"snabb","4.0"
"bostaden","1.0"
"ahmadi","1.0"
"vi","1062.0"
"golvet","1.0"
"försämrade","1.0"
"förhåller","3.0"
"rekonstruktionen","1.0"
"mediciner","2.0"
"bilateralt","3.0"
"avtal","18.0"
"140 000","1.0"
"därav","1.0"
"börda","1.0"
"så","375.0"
"problematisk","1.0"
"nyhetsbolaget","1.0"
"gap","1.0"
"utpekades","1.0"
"gav","5.0"
"stämpeln","1.0"
"recept","2.0"
"ändå","56.0"
"valrörelsen","6.0"
"övers","2.0"
"socialpolitiken","1.0"
"anmärkningsvärt","2.0"
"järnvägens","2.0"
"bilaterala","1.0"
"varslade","1.0"
"gråter","1.0"
"försvåras","1.0"
"stressande","1.0"
"startas","1.0"
"hela","86.0"
"seko","1.0"
"lastbilar","3.0"
"sekretariat","1.0"
"suggans","1.0"
"alliansperiod","1.0"
"ockupation","6.0"
"bussdepån","1.0"
"jättelika","1.0"
"kommunerna","12.0"
"samtyckeslag","1.0"
"hälsoutveckling","2.0"
"yr","1.0"
"halvmånen","1.0"
"rut-bidrag","1.0"
"tillfällen","10.0"
"skämmer","1.0"
"militant","1.0"
"människosmugglare","2.0"
"ge?","1.0"
"bestraffar","1.0"
"bestraffas","1.0"
"dominerande","1.0"
"jättekonstigt","1.0"
"morgon","1.0"
"farligaste","2.0"
"hastighet","1.0"
"ockuperades","1.0"
"påverkats","1.0"
"överskuldsättning","1.0"
"utreda","15.0"
"budgetpropositionen","3.0"
"idén","4.0"
"eu-parlamentariker","1.0"
"välståndet","1.0"
"väktararbete","1.0"
"rimligtvis","2.0"
"ombildningar","5.0"
"ännu","19.0"
"beviljas","1.0"
"drabbade","7.0"
"beviljar","1.0"
"storstäderna","2.0"
"rökning","1.0"
"politiskt","13.0"
"förhalat","1.0"
"relationerna","1.0"
"skolpolitiker","1.0"
"stänga","7.0"
"politiska","24.0"
"besökt","3.0"
"lönsamhetskravet","1.0"
"miljöförstörande","1.0"
"ges","7.0"
"ger","32.0"
"dråpslag","1.0"
"stängs","1.0"
"kunnat","9.0"
"angelägen","2.0"
"kanter","1.0"
"sålda","2.0"
"passera","1.0"
"organisering","2.0"
"ihop","15.0"
"framöver?","1.0"
"behövs","36.0"
"grannar","2.0"
"helt","102.0"
"upphäver","1.0"
"förtydliga","3.0"
"startade","1.0"
"fredskonferensen","1.0"
"sverige?","9.0"
"speciellt","2.0"
"behöva","17.0"
"marginalerna","1.0"
"vägen","12.0"
"sveriges","41.0"
"tyst","3.0"
"miljöambitioner","1.0"
"tåg","4.0"
"tillfällig","2.0"
"speciella","1.0"
"tål","1.0"
"killar?","1.0"
"befogad;","1.0"
"handlingsplan","6.0"
"tysk","1.0"
"sent","5.0"
"sänkts","1.0"
"<em>i","1.0"
"konflikt","2.0"
"upphandlingssystemet","1.0"
"johansson?","1.0"
"skick","1.0"
"sänkte","1.0"
"rulla","1.0"
"presstödets","1.0"
"bostadsområden","1.0"
"sänkta","2.0"
"2 000","1.0"
"lönebildningen","7.0"
"herr","133.0"
"security","1.0"
"motsatsställning","1.0"
"buck","1.0"
"lokala","6.0"
"id-handlingar","1.0"
"kultingarna","1.0"
"avfolkningsbygder","1.0"
"generera","1.0"
"växer","3.0"
"trafik","1.0"
"harmoniska","1.0"
"kommunicerar","1.0"
"djuromsorgsprogrammet","1.0"
"partiprogram","1.0"
"möjlighet","30.0"
"perioder","1.0"
"självcensurera","1.0"
"pengarna","11.0"
"hemmet","2.0"
"perioden","3.0"
"lokalt","3.0"
"budskap","8.0"
"uppger","2.0"
"ögonbrynen","1.0"
"bostadsområdet","3.0"
"våldtäkt","7.0"
"valuta","1.0"
"hets","1.0"
"jobbat","7.0"
"emma","2.0"
"folkrättsbrott","3.0"
"siffror","1.0"
"jobbar","20.0"
"dagen","11.0"
"vattenfyllda","1.0"
"kallar","4.0"
"kallas","7.0"
"kallat","1.0"
"socialdemokratin","2.0"
"lägenhet","5.0"
"loppet","1.0"
"bekräftar","3.0"
"decenniets","1.0"
"mucf","2.0"
"könsapartheid","1.0"
"djurskyddsområdet","1.0"
"hormonbehandlat","1.0"
"obligatoriskt","1.0"
"överhyra","1.0"
"hormonbehandlar","1.0"
"genomsyras","1.0"
"omvittnat","1.0"
"yttersta","3.0"
"regionen","2.0"
"villkor","17.0"
"arbetsrätten","6.0"
"ansvar","46.0"
"lågintensivt","1.0"
"uppsala","3.0"
"dessa","91.0"
"helena","10.0"
"marknadsföringen","1.0"
"landvinningarna","1.0"
"tacknämligt","1.0"
"sjöstedt","5.0"
"handelsanställdas","2.0"
"levererades","1.0"
"jämställdhetssträvandena","1.0"
"förluster","1.0"
"fruktansvärd","1.0"
"sett","30.0"
"jobbade","5.0"
"inflytandet","1.0"
"mänsklig","1.0"
"ambitiösare","1.0"
"varaktig","1.0"
"regioner","4.0"
"god","4.0"
"agerande","4.0"
"omkommer","1.0"
"hyresgästens","1.0"
"jättestor","1.0"
"lade","6.0"
"utfasningssiktet","1.0"
"jobben","1.0"
"flickan","3.0"
"tvåårsperiod","1.0"
"<em>snö","1.0"
"vidta","7.0"
"sälja","24.0"
"förändrar","1.0"
"dagar","7.0"
"förändras","2.0"
"ambition","4.0"
"gymnasiekompetens","1.0"
"palestinier","3.0"
"ekonomi","9.0"
"jobbet","5.0"
"emot","29.0"
"kombination","3.0"
"manifestation","1.0"
"malmkoncentrat","3.0"
"fiske","1.0"
"beredningar","1.0"
"aktiva","4.0"
"varsamheten","1.0"
"krogbesök","1.0"
"transaktivister","1.0"
"rubriken","1.0"
"kriminalpolitiska","1.0"
"näringslivsorganisation","1.0"
"bifallsfrekvensen","1.0"
"60-","1.0"
"fakta","1.0"
"kommunikationer","1.0"
"gångbar","1.0"
"motstånd","4.0"
"förrgår","2.0"
"gemenskap","3.0"
"krävde","1.0"
"aktivt","8.0"
"självständighet","5.0"
"redaktörens","1.0"
"oljebolag","1.0"
"riksdagens","5.0"
"14-15","1.0"
"regional","1.0"
"bidrag","7.0"
"fokuset","1.0"
"utrustning","1.0"
"statsrådet","98.0"
"mobila","2.0"
"kontaktledningar","1.0"
"maska","1.0"
"framkommit","2.0"
"b-lag","1.0"
"socialt","1.0"
"verksamt","1.0"
"regeringsförklaring","3.0"
"unika","4.0"
"problematisera","1.0"
"kartläggning","4.0"
"negotiations","1.0"
"restaurangmoms","1.0"
"krävas","1.0"
"sociala","7.0"
"försäkran","1.0"
"'bötning'","1.0"
"riksdagen?","1.0"
"skattemedel","3.0"
"betoning","1.0"
"säljs","2.0"
"nettoutsläpp","1.0"
"klimatförändringen","2.0"
"utbildningsplatser","1.0"
"unikt","3.0"
"uppdagade","1.0"
"alltför","3.0"
"djuruppfödning","3.0"
"ologiskt","1.0"
"amineh","2.0"
"lönegapet","1.0"
"stängts","1.0"
"värderingen","1.0"
"målgrupperna","1.0"
"köper","2.0"
"löften","2.0"
"handläggare","1.0"
"dagens","10.0"
"betalningsanmärkningar","2.0"
"förtrycket","1.0"
"omgärdat","1.0"
"statsbudgeten?","1.0"
"förtrycker","1.0"
"lagt","4.0"
"kofi","1.0"
"andrahandsettorna","1.0"
"luftlandsätts","1.0"
"räddas","1.0"
"bulc","1.0"
"räddar","1.0"
"selektiv","1.0"
"hänsyn","4.0"
"lago","1.0"
"warborn","2.0"
"pratar","17.0"
"rådgivning","1.0"
"personalomsättning","1.0"
"djurförsöken","1.0"
"riksdagsledamöter","2.0"
"skurits","2.0"
"pratat","1.0"
"laga","1.0"
"presstödssystemet","2.0"
"produkterna","1.0"
"gun","1.0"
"totalsågas","1.0"
"öst-","1.0"
"balanserad","1.0"
"instans","1.0"
"ägodel","1.0"
"representanter","4.0"
"skäl:","1.0"
"kommer","252.0"
"resurseffektivt","1.0"
"balanserar","1.0"
"medlingsinstitutet","10.0"
