"party","S"
"problematisera","1.0"
"trafikanter","1.0"
"helvete","1.0"
"lockelsen","3.0"
"utredningsbudgeten","2.0"
"krockkuddarna","3.0"
"restaurangmoms","1.0"
"60-tal","1.0"
"bisarrt","1.0"
"exportprodukter","1.0"
"grupperingar","2.0"
"avskräckande","1.0"
"våldtäkt?","1.0"
"grävande","1.0"
"betoning","2.0"
"församlingar","2.0"
"klimatförändringen","1.0"
"starka?","1.0"
"erbil","1.0"
"bisarra","2.0"
"utbildningsplatser","8.0"
"polisbeslut","1.0"
"angreppssätt","1.0"
"dotter-","1.0"
"rehabilitering?","1.0"
"rikspolischefen","1.0"
"bibehållen","1.0"
"förtrycket","4.0"
"lagt","44.0"
"förtrycker","1.0"
"räddad","1.0"
"kunskapsintensivt","1.0"
"dialogerna","1.0"
"samordnare","12.0"
"brutala","3.0"
"remissvar","8.0"
"offentliggöras","1.0"
"samordnaren","17.0"
"fastighetsunderhåll","1.0"
"missioner","1.0"
"beroendesjukdom","1.0"
"lagd","1.0"
"handelsförbindelser","2.0"
"räddat","1.0"
"registrerade","3.0"
"fiber","1.0"
"kunskapsintensiva","3.0"
"räddar","2.0"
"tobak","6.0"
"kriminalvård","2.0"
"hänsyn","51.0"
"uppklarats","1.0"
"handläggarna","2.0"
"flygsäkerhet","3.0"
"personalomsättning","2.0"
"riksdagsledamöter","11.0"
"stängning","3.0"
"gud","2.0"
"papporna","3.0"
"fungerar?","1.0"
"osse-familjen","1.0"
"laga","5.0"
"påkommen","1.0"
"produkterna","3.0"
"modernaste","1.0"
"miljövänligare","3.0"
"statsbudgetens","1.0"
"flög","1.0"
"folkrätt","2.0"
"likställer","1.0"
"representanter","11.0"
"samordnarens","4.0"
"fantasikalkyler","1.0"
"utredningsförslag","6.0"
"representanten","1.0"
"lahti","10.0"
"främjandeinsatser","1.0"
"fartygsbränsle","1.0"
"mötts","1.0"
"gymnasieexamen","2.0"
"straffrihet","1.0"
"klimatförändringar","5.0"
"2008-2010","1.0"
"studiemotiverande","1.0"
"inbrott","11.0"
"välorganiserat","1.0"
"jämställdhetspolitiskt","1.0"
"fyller","7.0"
"mötte","6.0"
"opportunities","2.0"
"luftvärnsrobotsystem","1.0"
"utgår","43.0"
"utfärdande","1.0"
"fungerat?","1.0"
"stycket","2.0"
"jämställdhetspolitiska","11.0"
"stycken","10.0"
"ägarprövningsutredningen","13.0"
"kompenserar","2.0"
"kompenseras","2.0"
"vårdcentral","2.0"
"befunnit","2.0"
"interpellanterna","20.0"
"kostnadsberäknas","1.0"
"ihjäl","2.0"
"2008-2009","3.0"
"djur","8.0"
"djup","3.0"
"utvecklingsrapporter","1.0"
"självsanering","1.0"
"förtryck","5.0"
"spekulation","1.0"
"provanställningar","3.0"
"värdeskapande","2.0"
"åkerisidan","1.0"
"partiklar","1.0"
"trovärdighet","5.0"
"kabinpersonal","2.0"
"förhöra","3.0"
"99 procenten","1.0"
"slutänden","4.0"
"fn-sanktioner","1.0"
"koldioxidskatten","1.0"
"godkände","3.0"
"<em>vi</em>","1.0"
"omorganisering","1.0"
"godkända","8.0"
"resursfördelning","1.0"
"wallenberg-institutets","1.0"
"utbildningsmiljö","1.0"
"lokalpolisområden","4.0"
"socialdemokrater","43.0"
"järnvägssektorn","1.0"
"höra:","3.0"
"återrapporterad","1.0"
"kompenserad","1.0"
"statsministern","35.0"
"snöskoterförare","1.0"
"manuell","1.0"
"jämlikhetsfråga","1.0"
"fyllda","1.0"
"gym","1.0"
"vapenexporten","2.0"
"terrorattentat","2.0"
"inhyrning","1.0"
"oklara","1.0"
"iväg","6.0"
"ärendehanteringen","1.0"
"förhålla","16.0"
"omsorgens","2.0"
"ohälsotal","1.0"
"dataspelsföretag","1.0"
"besitter","1.0"
"fältarkeologisk","1.0"
"skattepengarna","17.0"
"oreglerat","1.0"
"lundgren","7.0"
"tjeckiska","2.0"
"energimarknaden","3.0"
"servitris","1.0"
"oroade","2.0"
"rättssäkerhetskrav","1.0"
"oklart","8.0"
"energikonsumtion","1.0"
"fräck","1.0"
"isberget","1.0"
"extra","32.0"
"undervisa","1.0"
"arbetsmöjligheter","1.0"
"saknade","3.0"
"land","156.0"
"bostadsfrågan","1.0"
"fackföreningsrörelsens","2.0"
"motståndskraft","1.0"
"narkotika-","1.0"
"öppenhet","15.0"
"staterna","2.0"
"innovativ","4.0"
"stärkande","1.0"
"näthatet","1.0"
"mervärdena","4.0"
"massaindustri","1.0"
"variera","1.0"
"fyllas","1.0"
"ersättningen","7.0"
"ställningstaganden","12.0"
"försvarsanslaget","1.0"
"tydliggör","3.0"
"brukarnas","3.0"
"höras","1.0"
"skrämmer","1.0"
"årsredovisning","4.0"
"ställningstagandet","13.0"
"pratade","6.0"
"lågt?","1.0"
"linköping-malmen","1.0"
"beröringsskräck","1.0"
"territoriella","2.0"
"provanställningen","1.0"
"täckning","2.0"
"verksamheten","108.0"
"ministernivå","3.0"
"duscha","1.0"
"allvarlig","17.0"
"kanal","1.0"
"alice:","2.0"
"slående","1.0"
"verksamheter","48.0"
"banvall","1.0"
"begångna","7.0"
"polismannens","1.0"
"förtidspensioneras","2.0"
"vidga","3.0"
"förutsättningen","4.0"
"skogsbilvägars","1.0"
"drift","5.0"
"kommuner","167.0"
"avsedda","16.0"
"terroristerna","2.0"
"tillbaka?","2.0"
"vunnit","4.0"
"beslagtas","1.0"
"kommunen","25.0"
"rådet","43.0"
"trappas","1.0"
"civilanställda","23.0"
"innovationskraft","1.0"
"straffbeskattas","1.0"
"varsamt","2.0"
"upprätthållit","2.0"
"permanenta","14.0"
"väjer","1.0"
"anställningsstöd","4.0"
"larm","5.0"
"övningsköra","1.0"
"lars","27.0"
"sändas","2.0"
"socialdepartementets","1.0"
"fanatiker","1.0"
"kollektivavtalstäckningen","1.0"
"arbetsmarknadsregioner","3.0"
"förundersökningarna","1.0"
"traineejobb","13.0"
"karlssons","3.0"
"färdiga","7.0"
"handelsminister","5.0"
"fjärran","1.0"
"missgynnar","4.0"
"försakelser","1.0"
"grannlandet","1.0"
"aktörers","1.0"
"färdigt","7.0"
"förtidspensionerad","1.0"
"missgynnas","2.0"
"religion","5.0"
"diagram","1.0"
"svåraste","5.0"
"ägardirektiv","5.0"
"spekulativt","1.0"
"anställningar","26.0"
"skakat","1.0"
"skakar","2.0"
"framtagna","4.0"
"eu-rätt","1.0"
"efterlämnat","1.0"
"förutsättningar","181.0"
"proffs.","1.0"
"incidenten","2.0"
"självkritiska","1.0"
"samrådsprocess","1.0"
"incidenter","4.0"
"industrin","20.0"
"fastställda","6.0"
"han","266.0"
"arbetsmiljöverket","6.0"
"verksamhetstillstånd","1.0"
"pensioner","12.0"
"industris","2.0"
"omorganisera","1.0"
"klimatinnovationer","1.0"
"har","6560.0"
"självkritiskt","1.0"
"pensionen","17.0"
"hat","1.0"
"bedrövlig","1.0"
"bidrog","4.0"
"hav","8.0"
"anmärkningar","1.0"
"fastställde","3.0"
"trafiknykterhetskontrollanter","1.0"
"upprätthåller","4.0"
"prövas","17.0"
"fastställer","2.0"
"prövat","8.0"
"ström","1.0"
"enad","1.0"
"last","2.0"
"hela?","1.0"
"intressanta","21.0"
"prövar","7.0"
"egendom</em>","2.0"
"menat","3.0"
"menar","84.0"
"säkerhetsintressen","1.0"
"överbefälhavaren","1.0"
"plågas","1.0"
"järnvägssystemet","5.0"
"mötas","9.0"
"prisklass","1.0"
"aktier","1.0"
"järnvägssystemen","1.0"
"förskräckande","1.0"
"utvecklingsskuld","1.0"
"grundkonflikten","1.0"
"folkmord","31.0"
"prövad","3.0"
"enat","1.0"
"tillbringat","3.0"
"enas","3.0"
"pelagiska","6.0"
"220 000","1.0"
"tipsa","1.0"
"socialdemokraternas","7.0"
"känslor","2.0"
"konsultation","3.0"
"misshandel","2.0"
"nej!)","1.0"
"opererar","3.0"
"samarbetsregeringens","5.0"
"enda","74.0"
"välutbildade","1.0"
"reinvestera","1.0"
"kriminologi","1.0"
"polisverksamheten","5.0"
"råder","54.0"
"flickor","14.0"
"innovationskedjan","2.0"
"fackföreningar","7.0"
"cocktail","1.0"
"utrustningen","1.0"
"arbetsplatsnära","1.0"
"organisationsfrågan?","1.0"
"sensorer","2.0"
"förutom","14.0"
"rådde","2.0"
"kommunalekonomiskt","1.0"
"fördelningsskäl","1.0"
"kompatibel","1.0"
"luftvärdighetstillståndet","1.0"
"hitåt","1.0"
"sistone","4.0"
"uppehållsrätt","1.0"
"bolla","1.0"
"europarätten","2.0"
"vårdkostnader","1.0"
"kommunalekonomiska","2.0"
"pajala","6.0"
"väpnade","4.0"
"heltidsstuderande","3.0"
"trampa","1.0"
"granskning","21.0"
"förhandlingar","29.0"
"lärosätenas","1.0"
"rättighetsgrundsprincipen","1.0"
"upphandlande","13.0"
"korridoren","1.0"
"alice","7.0"
"överfallsvåldtäkt","1.0"
"hel","41.0"
"spridda","1.0"
"harvade","1.0"
"hem","18.0"
"stationer","2.0"
"nonchalerade","1.0"
"prata","34.0"
"maiorum","4.0"
"fiskarkåren","1.0"
"verksamhetsperspektiv","1.0"
"vinstmarginal","1.0"
"klimatoro","1.0"
"tröttnade","1.0"
"civiltvist","1.0"
"möten","16.0"
"upprätthållas","2.0"
"nätverken","1.0"
"möter","13.0"
"mötet","4.0"
"vetenskapsrådet","3.0"
"fastställas","1.0"
"beredningstidens","1.0"
"libanon","3.0"
"passenger","4.0"
"bidrar","73.0"
"<em>till</em>","1.0"
"ministerrådsmöten","3.0"
"obalans;","1.0"
"onsdag","1.0"
"nedsättande","1.0"
"tillfrisknande","1.0"
"sprider","5.0"
"föreslagits:","1.0"
"skördar","4.0"
"ungdomsarbetsgivaravgiften","3.0"
"sportskyttar","2.0"
"ungdomsarbetsgivaravgifter","1.0"
"rif-rådet","2.0"
"parterna","42.0"
"precisering","4.0"
"smart","5.0"
"grundidén","1.0"
"samarbeta","35.0"
"förutse","4.0"
"ogillar","1.0"
"behovsanalyser","1.0"
"utveckling","167.0"
"samarbete","92.0"
"utmynna","1.0"
"neddragningen","1.0"
"då:","2.0"
"regeringsståndpunkten","1.0"
"nyckeln","1.0"
"markprocess","1.0"
"primärvård","1.0"
"hannahs","3.0"
"då?","10.0"
"godkänns","1.0"
"framkomligheten","3.0"
"handfull","1.0"
"effektiviseringsvinster","2.0"
"förändringen).","1.0"
"wto-förpliktelser","2.0"
"där","1000.0"
"domslut","1.0"
"kvalitetshöjande","1.0"
"elvapunktsprogram","1.0"
"arbetsförmedling","6.0"
"telefonsamtal","1.0"
"svantesson","7.0"
"ministerns","6.0"
"lufthängd","2.0"
"dåd","1.0"
"slutförhandling","1.0"
"isp:s","2.0"
"antagits","1.0"
"överdosen","1.0"
"fiction","3.0"
"östra","9.0"
"överdoser","5.0"
"smalt","1.0"
"socialkontoret","1.0"
"axlar","1.0"
"fascinerad","1.0"
"förtidspensionerades","2.0"
"förhandlingen","5.0"
"störningarna","1.0"
"kvadratmeter","1.0"
"vidarebefordran","1.0"
"arbetslöshetsförsäkring","3.0"
"hit","22.0"
"kostade","3.0"
"tillstånd","14.0"
"praktisk","8.0"
"inriktningspropositionen","16.0"
"hiv","1.0"
"förtidspensionerna","1.0"
"överordnas","2.0"
"rovdjursförvaltningsområdet","1.0"
"isolera","1.0"
"hörnsten","1.0"
"gjordes","28.0"
"beredskapsövningar","2.0"
"jämlikhetsproblem","1.0"
"upphandlingsmyndighet","1.0"
"framtagen","1.0"
"avsättningar","1.0"
"kommunal","21.0"
"snecker","16.0"
"punkterna","2.0"
"botkyrka","1.0"
"godkänts","2.0"
"grundläggs","1.0"
"enig","13.0"
"avskräcka","1.0"
"underminera","1.0"
"resistens","1.0"
"okej","7.0"
"bedömare","7.0"
"kärnvapenparaply","1.0"
"spridit","1.0"
"aktiekapital","1.0"
"bolag","44.0"
"häktningstiden","1.0"
"männen","1.0"
"med?","1.0"
"kampen","15.0"
"skogsbrukspolitik","1.0"
"häktningstider","11.0"
"landområde","1.0"
"kooperativa","1.0"
"busstrafiken","1.0"
"skissade","1.0"
"sänder","1.0"
"skuggbudgeten","2.0"
"framtidsmöjligheter","1.0"
"alkoholproducenter","1.0"
"andetag","5.0"
"tidigt","48.0"
"framsidan","1.0"
"länder","213.0"
"befattningar","2.0"
"synnerligen","4.0"
"med:","1.0"
"opartiskhet","1.0"
"bemötande","8.0"
"neddragningar","3.0"
"tandlöst","1.0"
"känslig","5.0"
"gles-","2.0"
"brottsuppklaringen","3.0"
"brandbekämpningen","1.0"
"klagomål","1.0"
"chef","6.0"
"kalmar","1.0"
"väggar?","1.0"
"känsligt","2.0"
"anställningen","1.0"
"yttäckning","1.0"
"vårdkedjan","1.0"
"mössan","2.0"
"moskva","2.0"
"pannan","1.0"
"slutanvändaråtagande","1.0"
"formulerades","1.0"
"kvotplatser","1.0"
"informationskampanjer","1.0"
"administrera","3.0"
"tidiga","19.0"
"resurser","145.0"
"strida","5.0"
"norléns","1.0"
"kabinettssekreteraren","4.0"
"färdigställdes","1.0"
"uppbindning","1.0"
"romer","3.0"
"landskronas","1.0"
"bosättningarna","3.0"
"kravbild","1.0"
"insikten","3.0"
"gardiner","1.0"
"advance","2.0"
"stimulans","2.0"
"lastbilarnas","1.0"
"struntprat","1.0"
"utplacerade","1.0"
"lättare","33.0"
"buttert","1.0"
"neutralitetspolitiken","1.0"
"skicka","17.0"
"diverse","4.0"
"transportflyg","1.0"
"fiskekvoter","2.0"
"detaljer","7.0"
"brukare?","2.0"
"lantbruksfrågorna","1.0"
"citat","8.0"
"utbytesår","2.0"
"delförklaring","1.0"
"förhandlingsmandatet","2.0"
"solidaritetsklausul","1.0"
"oaktsam","1.0"
"sedvanlig","1.0"
"förlängningen","15.0"
"världen:","1.0"
"världen?","1.0"
"konkurrensfördel","1.0"
"avsedd","10.0"
"samhällsutveckling","2.0"
"organ","10.0"
"annan","242.0"
"hon","165.0"
"arbetsmiljöfrågor","1.0"
"invånare","17.0"
"resultaten","8.0"
"analysarbete","1.0"
"omsorgspersonalen","1.0"
"hot","40.0"
"hos","106.0"
"olyckligt","23.0"
"resultatet","61.0"
"tillfreds","2.0"
"bege","1.0"
"fritidspedagoger","2.0"
"tidningen","1.0"
"respektive","21.0"
"miljövänlig","2.0"
"låga?","1.0"
"uppehållit","1.0"
"träffades","4.0"
"välfärdsbolag","1.0"
"repeterat","1.0"
"indikerar","2.0"
"annat","492.0"
"abdu","5.0"
"paradigmskifte:","1.0"
"skattesänkningsförslagen","1.0"
"fiskerinäringen","1.0"
"flyttade","3.0"
"340-350","1.0"
"upprepades","1.0"
"sjyst","1.0"
"flyktinglägren","4.0"
"kallade","54.0"
"marginalskatterna","2.0"
"grundpelare","1.0"
"erbjöd","1.0"
"försvarsförmågan","2.0"
"arbetsförmåga","3.0"
"världens","15.0"
"samhällskostnader","2.0"
"siffra","14.0"
"nöjda?","1.0"
"fifty-fifty","1.0"
"handlingsutrymme","1.0"
"<em>rapport</em>","1.0"
"reduktion","1.0"
"ledighet","4.0"
"byggnation","1.0"
"servettskissa","1.0"
"framtidsbild","1.0"
"strån","1.0"
"primära","2.0"
"handeln","7.0"
"ense","2.0"
"världsläget","1.0"
"handels","2.0"
"innebar","16.0"
"kvalificerad","8.0"
"angrepp","7.0"
"förvissa","1.0"
"tusen","4.0"
"farleden","10.0"
"soldatboende","1.0"
"kvalificerar","1.0"
"banktjänsteman","1.0"
"ersättas","8.0"
"förhand:","1.0"
"rättspraxis","2.0"
"kvalificerat","1.0"
"vision","6.0"
"belasta","2.0"
"rosencrantz","4.0"
"bestämmelserna","5.0"
"primärnäringarnas","3.0"
"förvisso","5.0"
"anslutningspunkterna","2.0"
"petersson","6.0"
"hamnkontroll","1.0"
"uttag:","1.0"
"brottsutredning","1.0"
"asylskäl","11.0"
"företagsklimat","9.0"
"handelsfrågor","2.0"
"isoleringsbiten","1.0"
"tidningar","2.0"
"lastbilstransporterna","2.0"
"domineras","1.0"
"materielförsörjningen","1.0"
"fördelade","1.0"
"begå","9.0"
"tolkning","8.0"
"infrastrukturen","24.0"
"skickas","4.0"
"jämt","3.0"
"utbildningsbakgrund","2.0"
"skickar","6.0"
"omkull","1.0"
"skickat","6.0"
"förbundskansler","1.0"
"bland","376.0"
"förövaren","3.0"
"existerar","2.0"
"farleder","5.0"
"migrationsminister","6.0"
"yazidierna","4.0"
"idrottsrelaterad","1.0"
"biståndsandel","1.0"
"eu-sammanhang","8.0"
"jämn","8.0"
"krympt","1.0"
"språkutveckling","1.0"
"skatteklyftor","1.0"
"lagom","1.0"
"experter","3.0"
"noder","2.0"
"arbetsplanen","1.0"
"känslan","4.0"
"aktuell","5.0"
"invigt","1.0"
"sammanfaller","1.0"
"brukares","3.0"
"mördades","1.0"
"ökande","8.0"
"föranlett","1.0"
"timkostnad","1.0"
"primärt","3.0"
"president","10.0"
"valborgsmässoafton","1.0"
"reformarbetet","1.0"
"hur","1139.0"
"föräldradagarna","1.0"
"analfabetismen","1.0"
"fördubbling","2.0"
"hus","7.0"
"bosätta","1.0"
"raden","1.0"
"samhällsmodell","2.0"
"reformframsteg","1.0"
"opponera","2.0"
"förädlingsindustri","1.0"
"strikt","8.0"
"uppmanat","3.0"
"bena","2.0"
"uppmanas","1.0"
"glädjeämnen","1.0"
"uppmanar","1.0"
"storstadsregionernas","1.0"
"receptbelagda","1.0"
"individens","5.0"
"momsbeläggningen","1.0"
"radikaliseringen","1.0"
"punkterar","1.0"
"infrastrukturinvesteringar","3.0"
"lantbruksorganisationer","1.0"
"vänsterpartiet","38.0"
"järnvägssidan","1.0"
"uppenbar","2.0"
"tjusiga","2.0"
"speglas","1.0"
"slutför","1.0"
"speglar","3.0"
"grälsjukt","1.0"
"uppenbarligen","18.0"
"våldtäktsanmälningar","1.0"
"stursk","1.0"
"grejer","4.0"
"järn","3.0"
"grundfråga","1.0"
"befintlig","9.0"
"samhällsstyrning","1.0"
"kontrollmakten","2.0"
"läkemedel","9.0"
"olovligen","1.0"
"osäkerheter","2.0"
"jämställdhetspolitisk","1.0"
"trygghetsanställningar","1.0"
"osäkerheten","5.0"
"krisfonderna","1.0"
"grundbult","2.0"
"björklunds","2.0"
"diktaturer?","1.0"
"utredningskapacitet","1.0"
"justitiedepartementet","11.0"
"lagra","3.0"
"utredningsväg","1.0"
"förvånansvärt","1.0"
"lämnades","7.0"
"oaktsamhetsbrott?","1.0"
"aktörskap","1.0"
"nedtecknas","1.0"
"undersökning","6.0"
"skyddsjaktsbeslut","1.0"
"folkpartiets","3.0"
"datainspektionens","1.0"
"konstaterande","2.0"
"uppfinna","1.0"
"hyr","4.0"
"hogan","7.0"
"individuell","3.0"
"värnas","5.0"
"värnar","9.0"
"upphandlingsstödsmyndigheten","1.0"
"bakslag","2.0"
"tillsynen","8.0"
"utbildningsinsats","2.0"
"lagts","10.0"
"radio","1.0"
"individerna;","1.0"
"vapenhandel","1.0"
"död","1.0"
"dög","1.0"
"centraliseras","1.0"
"<em>konkurrenskraftsutredningen</em>","1.0"
"berg","20.0"
"mer?","1.0"
"dök","1.0"
"storasjöregionen","1.0"
"försöka","112.0"
"misslyckad","3.0"
"internationell","16.0"
"international","3.0"
"vägnar","1.0"
"slutförts","1.0"
"gymnasiernas","1.0"
"dör","5.0"
"individers","4.0"
"gotlands","4.0"
"idrottsgrenar","1.0"
"idéer","29.0"
"sådan?","1.0"
"hoppingivande","1.0"
"misslyckat","1.0"
"försökt","18.0"
"tillväxtmått","1.0"
"misslyckas","8.0"
"affärshyllorna","1.0"
"socialarbetarna","1.0"
"presskonferens","1.0"
"författare","2.0"
"urtydlig","1.0"
"arbetsmiljöarbetet?","2.0"
"alkoholsmuggling","1.0"
"present","2.0"
"högskoleutbildningarna","1.0"
"valideringsverksamheten","1.0"
"lättast","1.0"
"kraftsamla","6.0"
"begrava","4.0"
"sådana","113.0"
"fram","618.0"
"slopar","1.0"
"mest","93.0"
"dimpa","1.0"
"infrastrukturpolitik","1.0"
"anmälningsprocessen","1.0"
"slopat","1.0"
"slopas","1.0"
"vägslitageavgift","13.0"
"vårdföretagarnas","1.0"
"sådant","137.0"
"skolklasserna","1.0"
"ubåtar","1.0"
"it-frågorna","2.0"
"uppehåller","1.0"
"associationsformerna?","1.0"
"effektberäkningar","2.0"
"uppehållet","1.0"
"beta","4.0"
"ögonen","6.0"
"basjobben","1.0"
"tillämpningsfråga","1.0"
"budgethanteringen","1.0"
"centralbyrån","9.0"
"självständiga","4.0"
"infrastrukturområdet?","1.0"
"personernas","1.0"
"överväldigande","1.0"
"friskvårdsbidraget","1.0"
"bero","4.0"
"varven","1.0"
"sprututbyte","4.0"
"76 000","1.0"
"mera","9.0"
"rader","2.0"
"varvet","4.0"
"släcka","3.0"
"trygghetslarm","1.0"
"260 000","6.0"
"brukarna","10.0"
"självständigt","4.0"
"uttala","4.0"
"slopad","3.0"
"miljöpartiets","2.0"
"produktionskapacitet","2.0"
"stäv","1.0"
"kraftfull","10.0"
"tveklöst","1.0"
"bromsar","3.0"
"alkoholkonsumtionen","2.0"
"sannolik","2.0"
"lagringskapacitet","1.0"
"bränder","3.0"
"regeringsår","1.0"
"avarterna","2.0"
"icke-korrekt","1.0"
"slutändan","11.0"
"effektiviseras","6.0"
"sjukvårdslag","1.0"
"rovdjursförvaltningen","2.0"
"överklaga","9.0"
"skruvar","1.0"
"brandmän","8.0"
"regeringsförklaringen","34.0"
"bett","4.0"
"stödköp","1.0"
"effektbalans","1.0"
"konflikterna","3.0"
"kontraproduktiv","1.0"
"lagföring","2.0"
"miljökonsekvenserna","1.0"
"dokumentera","3.0"
"järnvägskilometer","1.0"
"hemkommunen","1.0"
"ministerrådsnivå","1.0"
"jättedåligt","1.0"
"välfärdsmarknaden","1.0"
"olikheter","5.0"
"avsett","4.0"
"göteborgsområdet","1.0"
"aftonbladet","1.0"
"socialförsäkringarna","1.0"
"brandbekämpning","3.0"
"könsdiskriminering","1.0"
"nisch","1.0"
"exportmarknaderna","3.0"
"näringsdebatt","1.0"
"kunskapslyftet","4.0"
"byggmarknaden","1.0"
"värmen","1.0"
"överens?","2.0"
"frikända","1.0"
"läckt","1.0"
"abstrakt","1.0"
"exportinriktad","3.0"
"christian","18.0"
"effektiviserat","1.0"
"fred","10.0"
"beredningsprocess","1.0"
"7 500","1.0"
"skolkostnader","1.0"
"inriktningen:","1.0"
"investeringspolitik","3.0"
"slopade","2.0"
"flaggat","3.0"
"människoliv","2.0"
"flyttats","1.0"
"flaggar","3.0"
"förvandlade","2.0"
"cancervården","1.0"
"ståt","1.0"
"tvångsavvisningar","3.0"
"studiefinansiering","1.0"
"bielers","1.0"
"mjölkbönderna","7.0"
"kungsörn","1.0"
"ingått","7.0"
"bekännelse","1.0"
"chocken","1.0"
"vagnarna","1.0"
"skogarna","1.0"
"nohrén","1.0"
"lovande","2.0"
"står","252.0"
"ca 8 500","1.0"
"övergödning","10.0"
"medvetenhet","1.0"
"tidpunkt","4.0"
"fri-","2.0"
"skattefrågorna","1.0"
"regelbundet","10.0"
"försvarsmakten?","1.0"
"trängts","1.0"
"utsträckt","1.0"
"heltidsarbetar","1.0"
"icc","1.0"
"försvarsplanering","1.0"
"korthet","1.0"
"kollektivtrafikområdet","1.0"
"tilldelas","3.0"
"<em>det","1.0"
"turné","2.0"
"mälarbanan","1.0"
"secadirektivet","1.0"
"medelklass","1.0"
"tilldelar","1.0"
"regelbunden","3.0"
"norska","10.0"
"målsättningar","11.0"
"misstag","10.0"
"dekret:","1.0"
"lokalsamhället","5.0"
"försvarspolitik","3.0"
"ida","11.0"
"verksamhetsmässigt","1.0"
"sofia","33.0"
"grundsyn","1.0"
"företagarnas","3.0"
"teknisk","4.0"
"fungerade","18.0"
"siffran","11.0"
"energisystemen","1.0"
"anpassning","4.0"
"skatteklyftan","2.0"
"delavgöra","1.0"
"regeringsförklaringar","1.0"
"efterfrågades","1.0"
"försvarstänkande","1.0"
"energisystemet","13.0"
"genomslaget","1.0"
"småföretagarna","1.0"
"80-talet","5.0"
"åtminstone","46.0"
"undersökning?","1.0"
"effektfrågan","1.0"
"försvarsmaktens","25.0"
"föredra","6.0"
"händelser","7.0"
"samordnade","1.0"
"händelsen","1.0"
"våld?","1.0"
"stressigt","2.0"
"fria","24.0"
"forskningsanslag","3.0"
"fordonsindustrin","15.0"
"guld","2.0"
"elproduktion","3.0"
"frid","1.0"
"arbetsbelastningen","1.0"
"konstighet","1.0"
"våld;","1.0"
"frälsningsarmén","1.0"
"väderhändelse","1.0"
"omständighet","1.0"
"livsmedelsförsörjning?","2.0"
"tilltänkta","2.0"
"däribland","5.0"
"gmo-produkter","3.0"
"idrottare?","1.0"
"tillgångar","5.0"
"eftersom","232.0"
"rebellgrupperna","1.0"
"800 000","1.0"
"uppdagats","1.0"
"återstår","9.0"
"siffra?","1.0"
"stressiga","1.0"
"halvera","8.0"
"havanna","1.0"
"kalkyl","2.0"
"cyniskt","4.0"
"tidningsrubriken","1.0"
"volvobilar","1.0"
"portföljbolag","1.0"
"oförändrat","3.0"
"stimuleras","1.0"
"underhållsinsatserna","1.0"
"stimulerar","1.0"
"lärlingssystemet","1.0"
"repris","1.0"
"strikta","2.0"
"upphetsad","1.0"
"tidningsrubriker","1.0"
"stimulerat","1.0"
"nian","1.0"
"fingrarna","1.0"
"oförändrad","3.0"
"eu-ministern","1.0"
"skapades","3.0"
"målsättningen","15.0"
"önskvärt","11.0"
"lagad","1.0"
"bengt","1.0"
"dåligt?","1.0"
"idé","8.0"
"undermålig","1.0"
"trivs","1.0"
"spadtagen","1.0"
"ogiltigförklaringen","1.0"
"annie","1.0"
"befästa","1.0"
"motivering","1.0"
"straffsats","1.0"
"attraktiva","3.0"
"många?","1.0"
"samordningsuppdrag","1.0"
"åldrande","3.0"
"avbrotten","1.0"
"aitikgruvan","1.0"
"tvingande","2.0"
"alexandria","1.0"
"attraktivt","7.0"
"förtryckta","1.0"
"ingång","16.0"
"sluttande","2.0"
"öppnande","1.0"
"paradigmskifte","4.0"
"klimatförhandlingarna","1.0"
"lagar","19.0"
"stenhårt","2.0"
"400 000","13.0"
"tydlig","119.0"
"huruvida","22.0"
"hotbildsbedömningen","1.0"
"foten","3.0"
"korkar","1.0"
"utbudet","3.0"
"entreprenörskapsutredning","1.0"
"nionde","2.0"
"arbetsförhållanden","2.0"
"sysselsättningsramverk","1.0"
"högvakter","1.0"
"fattiga","5.0"
"sjuksköterskorna","1.0"
"interreligiösa","3.0"
"cyniska","2.0"
"runt","84.0"
"partifärg","2.0"
"destinationer","1.0"
"huvudansvar","1.0"
"tillgången","21.0"
"expressens","2.0"
"synvinklar","1.0"
"slåss","7.0"
"energiförsörjning","1.0"
"rut-","2.0"
"målnivå","3.0"
"europeiskt","1.0"
"återbetala","1.0"
"budgetöverskott","1.0"
"bromsen","1.0"
"rederinäringen","1.0"
"förvaltas","2.0"
"förvaltar","2.0"
"enhetlighet","5.0"
"viltförvaltning","1.0"
"from","6.0"
"europeiska","28.0"
"aptit","1.0"
"övervältras","1.0"
"likvärdigheten","7.0"
"lager","1.0"
"klappade","1.0"
"vräkningar","1.0"
"investeringsplan","2.0"
"frekvensen","1.0"
"lagen","59.0"
"lagstiftning","72.0"
"kl.12.00","1.0"
"diskrimineringslagen","2.0"
"överbelastade","1.0"
"meningslös","2.0"
"in-","1.0"
"efterverkningar","1.0"
"strunta","6.0"
"ilo","3.0"
"annanstans","13.0"
"propositioner;","1.0"
"överens;","1.0"
"börsbolagen","4.0"
"debattartiklar","2.0"
"regeringsformen","6.0"
"bestod","2.0"
"in?","2.0"
"auktoriserade","1.0"
"frekvenser","2.0"
"regeringsföreträdare","4.0"
"skogsbruket","3.0"
"imf","1.0"
"iakttagelse","2.0"
"uttrycker:","1.0"
"tankegångarna","1.0"
