"party","M"
"civilsamhälle","1.0"
"tonats","2.0"
"airport","11.0"
"baserade","7.0"
"kraft","16.0"
"lokalproducerade","1.0"
"antagen","1.0"
"negligera","1.0"
"grunduppdrag","1.0"
"referera","2.0"
"cigaretter","3.0"
"åkerierna","2.0"
"påbörjats","1.0"
"olof","4.0"
"socialstyrelsen","3.0"
"storstadsregion","1.0"
"läktaren","1.0"
"skatten;","1.0"
"förtätningspotentialen","1.0"
"miljöministern","20.0"
"vägbygge","1.0"
"skatten?","3.0"
"privatekonomiska","1.0"
"specialdestinerade","1.0"
"massor","4.0"
"inrättas","3.0"
"bostadsministerns","1.0"
"feltänkt","1.0"
"minimera","4.0"
"beskattningen","5.0"
"lönearbete","2.0"
"betongen","1.0"
"stör","1.0"
"närapå","2.0"
"spillvärme","1.0"
"deltidsbrandman","1.0"
"läge?","2.0"
"uppmärksamhet","6.0"
"mandat","5.0"
"beredningsarbete","1.0"
"stöd","123.0"
"225 000","1.0"
"förutsägbar","1.0"
"tjänsteproduktion","1.0"
"bekymrad","29.0"
"ifrågasätts","1.0"
"referens","1.0"
"klimatskäl","1.0"
"överdirektör","1.0"
"reglerkraft","1.0"
"meningen","9.0"
"post","4.0"
"understryka","8.0"
"samhällsvetenskap","2.0"
"pumpa","1.0"
"säsongsvariationer","1.0"
"gagna","4.0"
"ifrågasätta","9.0"
"påföra","1.0"
"överenskommas","1.0"
"yrkesroll","1.0"
"avseendet","4.0"
"mådde","1.0"
"extrajobb","4.0"
"näthat","1.0"
"ohälsotalet","2.0"
"gotlänning","1.0"
"itu","3.0"
"massiv","6.0"
"miljard","14.0"
"arbetslösheten","59.0"
"tveksamma","3.0"
"utbildad","2.0"
"ohälsotalen","3.0"
"skattebetalare","6.0"
"drabba","12.0"
"tjänstemannaansvar","1.0"
"skyddsskäl","2.0"
"einstein","2.0"
"lärlings-","1.0"
"utbildar","4.0"
"indirekta","2.0"
"uttolkaren","1.0"
"läggs","14.0"
"bildsätta","1.0"
"slutligen:","1.0"
"stretade","1.0"
"komvuxutbildning","1.0"
"flygbränsle","1.0"
"byggherrar","1.0"
"påverka","35.0"
"stärka","43.0"
"medborgarna","9.0"
"stärkt","5.0"
"lägga","117.0"
"belånade","1.0"
"femårsverksamhet","1.0"
"upphandlingar?","1.0"
"berättelse","1.0"
"stärks","3.0"
"inkörsport","1.0"
"poul","1.0"
"överföring","2.0"
"passagerarflygplan","1.0"
"ritats","1.0"
"polisprofessionalitet","1.0"
"snurra","1.0"
"nycklarna","2.0"
"underliggande","2.0"
"aktivitet","2.0"
"styra","22.0"
"utbilda?","1.0"
"styrt","2.0"
"styrs","1.0"
"intressenter","3.0"
"resor","5.0"
"icke-korrumperat","1.0"
"sjukskrivande","2.0"
"krama","2.0"
"person-","2.0"
"punkten","9.0"
"själva?","1.0"
"omställningssystem","3.0"
"beräknade","4.0"
"överföras","1.0"
"punkter","9.0"
"själva:","1.0"
"orättvist","2.0"
"överleva","4.0"
"bekymren","2.0"
"15 miljonerna","1.0"
"avsätta","1.0"
"ödets","2.0"
"stunden","2.0"
"s-mp-regeringen","2.0"
"finansinspektionens","1.0"
"advokaten","2.0"
"själv:","1.0"
"lusten","2.0"
"projektering","3.0"
"utrikesbakgrund","1.0"
"hygge","1.0"
"överflödiga","1.0"
"lågutbildade","1.0"
"saktfärdig","1.0"
"rejäla","5.0"
"bidragspolitik","1.0"
"kinberg","4.0"
"center?","1.0"
"försämringar","12.0"
"överlämnar","1.0"
"överflödigt","1.0"
"säkerhetsnivån","2.0"
"meddelat","2.0"
"folkhälsopolitiska","1.0"
"meddelar","4.0"
"silver","1.0"
"skippar","1.0"
"rejält","6.0"
"överlämnas","1.0"
"överlämnat","1.0"
"reformeringen","1.0"
"rädda","10.0"
"dugligaste","1.0"
"fundamentalt","1.0"
"undersköterska","1.0"
"city","4.0"
"hemma","16.0"
"skyddande","1.0"
"restriktiv","2.0"
"budgetposterna","1.0"
"prestationerna","1.0"
"idéerna","2.0"
"satsningar","51.0"
"räkningen","1.0"
"reste","2.0"
"stilla","11.0"
"rests","1.0"
"landanslutningar","1.0"
"betonas","1.0"
"gruppklassificeringar","1.0"
"betonat","1.0"
"betonar","2.0"
"tillskapa","3.0"
"kassakistan","2.0"
"enstaka","4.0"
"bekymrar","10.0"
"realitet","2.0"
"sonderingarna","1.0"
"tyngre","44.0"
"bidragsparti","1.0"
"devalveringspolitik","1.0"
"tillsättas","4.0"
"investeringsstöd","1.0"
"80-årsåldern","1.0"
"akademisk","3.0"
"jönköping","4.0"
"precision","2.0"
"allrahelst","2.0"
"khaldun","1.0"
"famna","1.0"
"dödade","2.0"
"vägsträckor","2.0"
"skattebefriade","3.0"
"semla","1.0"
"såklart","19.0"
"samgåendet","3.0"
"engagerade?","1.0"
"160 000","4.0"
"handelspolitiken","3.0"
"påhittiga","1.0"
"försämringen","1.0"
"glesbygdsskatt","1.0"
"bedrägerispärrar","1.0"
"logistikkostnader","2.0"
"framtidstro","3.0"
"friskolereformen","1.0"
"funderade","2.0"
"provocerande","2.0"
"applåderar","3.0"
"lägre","76.0"
"yrkesområde","1.0"
"tecknat","1.0"
"försäkra","11.0"
"exportör","1.0"
"skatteregelverket","1.0"
"moderniserat","1.0"
"skatter?","3.0"
"moderniseras","1.0"
"prioriterar?","1.0"
"arbetskraftsinvandring","3.0"
"kombinera","2.0"
"drömmar","1.0"
"famla","1.0"
"halvering","5.0"
"högsta","33.0"
"behandlade","2.0"
"kommuninvånarna","1.0"
"åtagit","1.0"
"ja-","1.0"
"specificerat","1.0"
"självt","9.0"
"befrias","1.0"
"befriat","1.0"
"bommarna","1.0"
"saabs","1.0"
"avbryter","1.0"
"alternativ","29.0"
"omsorg?","2.0"
"räkningar","1.0"
"akademiskt","1.0"
"själva","79.0"
"krav?","1.0"
"satsningen","11.0"
"efterkrigstiden","1.0"
"marknadsmässigt","1.0"
"bekymret","3.0"
"morötterna","1.0"
"övar","1.0"
"grundackord","1.0"
"sjöbefälsföreningen","1.0"
"övas","1.0"
"underhålla","2.0"
"arbetsmarknadspolitik","16.0"
"lastbilstransporter","4.0"
"etableringssystem","1.0"
"yrkeskunnig","1.0"
"hörsel","1.0"
"saktfärdighet","1.0"
"anledningen","32.0"
"jag","4003.0"
"sprätt","4.0"
"försvarsministern","64.0"
"hänseendet","2.0"
"initiativet","7.0"
"jan","6.0"
"analyserats","1.0"
"ökningar","1.0"
"inkomstförluster","1.0"
"nivå","33.0"
"svåra","18.0"
"initiativen","1.0"
"jas","2.0"
"kraft?","1.0"
"investeringsstödet","1.0"
"minskning","7.0"
"minnesgåvor","2.0"
"miljönytta","2.0"
"beivra","2.0"
"finanspolitiska","17.0"
"svårt","111.0"
"växtförädling","3.0"
"styck","1.0"
"tidsutdräkten","2.0"
"energisamarbetet","1.0"
"minus?","1.0"
"ointresserade","1.0"
"alliansfritt","1.0"
"hjärtligt","1.0"
"arlanda:","1.0"
"vingårdar</em>","1.0"
"annonserades","1.0"
"påfrestande","1.0"
"avisera","3.0"
"branden","10.0"
"markör","1.0"
"ånger","1.0"
"kunskapsbaserad","1.0"
"elisabeth","4.0"
"göteborgsangelägenheter","1.0"
"utbildningsdepartementet","5.0"
"kvantitet","1.0"
"välja","40.0"
"insatser?","1.0"
"arlandas","1.0"
"förslag","317.0"
"semesterresa","1.0"
"funderare","1.0"
"regeringspolitik","1.0"
"tidsperioderna","1.0"
"gehör.- - -","1.0"
"massa-","1.0"
"dagbladet","5.0"
"skärpta","2.0"
"hushåll","3.0"
"skolresultaten","2.0"
"skärpte","2.0"
"topperspektiv","1.0"
"verklighetsbeskrivning","2.0"
"dilemma","1.0"
"myndighetschefer","1.0"
"bostadsmarknad","1.0"
"häradet","1.0"
"oacceptabelt","5.0"
"konjunkturdämpande","1.0"
"2011-2014</em>","1.0"
"rikspolisstyrelsens","1.0"
"skåne","21.0"
"vindkraft","1.0"
"konkurrenssituationen","2.0"
"8 000","2.0"
"fördröjer","1.0"
"påtryckningar","5.0"
"välfärdsfråga","1.0"
"20-30","2.0"
"över","514.0"
"brottsligheten?","1.0"
"syns","9.0"
"pensionsålder","5.0"
"ökningen","4.0"
"tillsammans","65.0"
"totalen","2.0"
"resas","1.0"
"anledningar","1.0"
"rörelseapparaten","1.0"
"olycka","1.0"
"synd","9.0"
"motivet","3.0"
"motiven","1.0"
"femtiofemplus","1.0"
"domstolstrots","1.0"
"partiet","8.0"
"gissning","1.0"
"fjärdedelen","2.0"
"resan","3.0"
"provning","2.0"
"snusningen","2.0"
"rovdjursfrågan","1.0"
"partier","35.0"
"fredags","4.0"
"transparensen","1.0"
"arbetarrörelsens","1.0"
"trävaru","2.0"
"befinna","3.0"
"utlovar","1.0"
"utlovat","1.0"
"utlovas","2.0"
"inventerade","1.0"
"få?","2.0"
"20-25","2.0"
"växterna","1.0"
"handelsgödsel","2.0"
"framhäva","2.0"
"signal:","2.0"
"tv-abonnemang","1.0"
"taxichaufförer","1.0"
"lycklig","3.0"
"konkurrensutsatt","4.0"
"ideologiserade","1.0"
"konkurrentländer.","1.0"
"rimlighet","1.0"
"plantor","1.0"
"samfunden","7.0"
"luftfartyg","1.0"
"reinfeldt","3.0"
"inkallat","1.0"
"rapporterades","1.0"
"ordspråket","1.0"
"vänder","20.0"
"flexibilitet","12.0"
"får","612.0"
"reflexer","1.0"
"aborter","2.0"
"fås","3.0"
"verkansbasera","1.0"
"arbetsgivaravgifter","16.0"
"företagarsektorn","1.0"
"polisarbete","1.0"
"arbetsgivaravgiften","18.0"
"hyrt","1.0"
"omsvängning?","1.0"
"prioriteras","4.0"
"meriter","3.0"
"utlandet","6.0"
"individuella","2.0"
"institutionskultur","1.0"
"hysa","2.0"
"kärnvapenmissilstrategi","1.0"
"skadeverkningar</em>","1.0"
"prioriterar","10.0"
"kvällstid","1.0"
"hyra","11.0"
"vattendrag","2.0"
"motverka","7.0"
"undvek","1.0"
"häktningsfrågor","1.0"
"sjukskrivs","1.0"
"icke-vara","1.0"
"prioriterad","3.0"
"ansvarskännande","1.0"
"reser","11.0"
"individuellt","1.0"
"ropar","1.0"
"administrationen","1.0"
"otydligare","1.0"
"öststatsländerna","1.0"
"värpte","1.0"
"- - -","2.0"
"scenarier","3.0"
"prioriterade","3.0"
"uppehålls-","1.0"
"jobbdebatt","1.0"
"gårdsförsäljning","58.0"
"jämställdhetsarbetet","1.0"
"inledningsvis","12.0"
"behagade","1.0"
"flygfrågor","1.0"
"bakbundna","1.0"
"judiska","1.0"
"pådyvla","1.0"
"förarprovsförrättare","1.0"
"stress","3.0"
"sydkoreaavtalet","1.0"
"regeringspartierna","6.0"
"sparande","1.0"
"hoc-inriktat","1.0"
"städning","3.0"
"terrorismen","1.0"
"hederliga","2.0"
"riksdagsledamöterna","1.0"
"synvinkel","1.0"
"polisminister","1.0"
"vifta","2.0"
"upptäcka","1.0"
"efteråt","5.0"
"hederligt","1.0"
"resurser?","1.0"
"interimistiskt","1.0"
"strategiskt","7.0"
"kommaren","1.0"
"olycklig","5.0"
"anklagade","1.0"
"svårighet","1.0"
"administration?","1.0"
"samverkande","1.0"
"tanter","2.0"
"strategiska","1.0"
"besparas","1.0"
"tilläggsplatta","1.0"
"syfta","2.0"
"räcka","4.0"
"språket","5.0"
"ohederligt","5.0"
"grammatik","1.0"
"räckt","2.0"
"vägtransporter","1.0"
"-insats","1.0"
"antagit","1.0"
"syfte","22.0"
"vidsträckt","1.0"
"tillgänglighet","13.0"
"</em>inte","1.0"
"krångligare","1.0"
"lagens","1.0"
"utrymmen","1.0"
"privatägd","2.0"
"omvårdnad","1.0"
"kommersiellt","1.0"
"respekt","38.0"
"prioritera?","1.0"
"utesluta","1.0"
"tråkig","2.0"
"likaså","4.0"
"påstods","1.0"
"(.)","1.0"
"24-timmarsgränsen","1.0"
"bidragsminskning","2.0"
"debatterades","2.0"
"vägavgift","2.0"
"jobbmisslyckande","1.0"
"själen","3.0"
"hundralapp","2.0"
"3:12-regelverk","1.0"
"ku-anmäld","1.0"
"skorra","1.0"
"infrastrukturområdet","1.0"
"uppstart","2.0"
"21 000","1.0"
"eneroth","2.0"
"framtidsminister","2.0"
"ann-charlotte","1.0"
"ramverk","6.0"
"ohälsosam","2.0"
"dunkelt","1.0"
"än","410.0"
"storstadsområdena","3.0"
"bedövad","1.0"
"bildades","4.0"
"cirkulera","1.0"
"är","7002.0"
"offer","4.0"
"utbytesåret","1.0"
"interpellationsfrågor","1.0"
"malmström","1.0"
"finansministerns","53.0"
"stockholmsregionen","20.0"
"nuläget","3.0"
"barnperspektivet","2.0"
"stränga","1.0"
"brukas","1.0"
"linjer","1.0"
"linjen","6.0"
"koldioxidskatt","2.0"
"miljön","21.0"
"handelsförhandlingar","1.0"
"överprövningsinstans","1.0"
"år","424.0"
"indragna","1.0"
"sysselsättningen.","1.0"
"drivs","11.0"
"leddes","1.0"
"åt","102.0"
"synpunkter","22.0"
"brukar","36.0"
"driva","53.0"
"direkta","9.0"
"begränsning","8.0"
"berättar","12.0"
"skärper","2.0"
"välfungerande","8.0"
"berättas","2.0"
"handräckningen","1.0"
"förhoppningen","1.0"
"vägslitage","4.0"
"berättat","6.0"
"avvisande","1.0"
"turtäthet","1.0"
"principerna","4.0"
"finansministern?","2.0"
"eu-genomsnittet","1.0"
"expertgrupp","2.0"
"turism","6.0"
"kablar","1.0"
"bortre","34.0"
"grön","2.0"
"vinklad","1.0"
"civil","2.0"
"helst","43.0"
"framtid","17.0"
"miljö?","1.0"
"efterlyste","4.0"
"finansministern:","15.0"
"finansministern;","2.0"
"förstärkning","5.0"
"servicesektorn","1.0"
"baylan:","1.0"
"obalansen","2.0"
"traumatiserade","1.0"
"djupare","5.0"
"sysselsättningens","1.0"
"words","1.0"
"miljö-","7.0"
"nedtrappning","1.0"
"bortse","6.0"
"fjolåret","1.0"
"vad?","1.0"
"stupstock","1.0"
"vad;","1.0"
"turistföretag","1.0"
"miljökvalitetsmål","3.0"
"jul","2.0"
"församling","2.0"
"flexibiliteten","4.0"
"flaskor","2.0"
"skatteförslagen","2.0"
"siktar","1.0"
"fastnat","3.0"
"2 500","1.0"
"parti","36.0"
"torbjörn","2.0"
"fastnar","3.0"
"mp-regeringen","3.0"
"fortbildningen","1.0"
"fastställts","1.0"
"överenskommelse","37.0"
"socialministern","1.0"
"huvudteser","1.0"
"förvärvsarbeta","1.0"
"förvärvsarbete","1.0"
"erfarenheter","9.0"
"yrkesvux","1.0"
"dagordningen?","1.0"
"beteendeförändringar","1.0"
"jämställdhetsperspektiv","3.0"
"redareförening","1.0"
"ekonomisk-politiska","1.0"
"behovet","23.0"
"erfarenheten","5.0"
"finans-","1.0"
"skärpas","3.0"
"behoven","3.0"
"jobbmål","2.0"
"huvudmännen","2.0"
"kretsen","1.0"
"kriterierna","4.0"
"lönenivåer","1.0"
"miljölagstiftningen","1.0"
"flygpolitik","1.0"
"sysselsättningsökning","2.0"
"medarbetarna","2.0"
"avdragens","1.0"
"sysselsättningspotential","1.0"
"trevlig","4.0"
"historik","4.0"
"använd","1.0"
"historia","16.0"
"bortom","4.0"
"falsk","2.0"
"kvarstår:","4.0"
"använt","11.0"
"namnteckning","1.0"
"direkt?","1.0"
"stängningen","1.0"
"blekinge","2.0"
"vaga","1.0"
"sviktar?","1.0"
"misslyckade","1.0"
"kronor","118.0"
"patienterna","3.0"
"övergångsregler","1.0"
"räknades","4.0"
"formulering","4.0"
"80-tal","1.0"
"försöksgruppen","2.0"
"lafferkurvan","6.0"
"ihop?","1.0"
"it-kompetensen","2.0"
"bosätter","4.0"
"plusjobb","5.0"
"åstadkom","1.0"
"redovisning","4.0"
"tullverket","9.0"
"rekapitulera","1.0"
"läxhjälp","1.0"
"siktet","1.0"
"kaka","1.0"
"lillebror","1.0"
"sikten","1.0"
"utlyser","1.0"
"ansträngningar","3.0"
"kronan","2.0"
"för","4410.0"
"överläggningar","2.0"
"regeringsskiftet","2.0"
"rening","1.0"
"budgetram","1.0"
"förvissade","1.0"
"reservationslöst","1.0"
"boende","5.0"
"enkelspåriga","1.0"
"ålderskategorier","2.0"
"yrkeserfarenheter","1.0"
"monokel","1.0"
"från?","2.0"
"döda","5.0"
"anmälda","2.0"
"blunda","1.0"
"valt","27.0"
"järnvägsinfrastruktur","1.0"
"transportbehoven","1.0"
"tidningsartikel","1.0"
"brottsbekämpning","8.0"
"nödlösning?","1.0"
"mottagningsprogram","1.0"
"obekant","1.0"
"kolsänkor","1.0"
"vakt","1.0"
"bundna","1.0"
"terroristbrott","2.0"
"kall","1.0"
"frihandelsavtalet","1.0"
"började","21.0"
"vänstern","7.0"
"struntar","2.0"
"levde","2.0"
"opiatliknande","1.0"
"kommenterade","2.0"
"elände","1.0"
"falla","6.0"
"expressen","1.0"
"äganderätten?","1.0"
"förebygger","1.0"
"öststater","1.0"
"roligaste","1.0"
"split","1.0"
"hindra","5.0"
"bidragsregler","1.0"
"diffust","1.0"
"verktygen","2.0"
"kapat","1.0"
"vann","12.0"
"delutbetalning","1.0"
"kontrollgrupp","3.0"
"snabbtåg","1.0"
"tufft?","1.0"
"östersund-stockholm","1.0"
"samarbetsregeringen","3.0"
"pensionssystemet","3.0"
"verksamheternas","1.0"
"vana","4.0"
"lever","26.0"
"ersatt","2.0"
"klimatfrågan","1.0"
"sexårig","1.0"
"sysselsättningen ","1.0"
"förhoppningar","1.0"
"samrådde","1.0"
"höstvete","1.0"
"onödig","3.0"
"perifera","1.0"
"var:","6.0"
"tisdags","1.0"
"samarbetsregering?","1.0"
"miljökrav","1.0"
"backa","6.0"
"argumenterade","2.0"
"anmäler","3.0"
"försäljning","7.0"
"återta","1.0"
"klimatansvar","1.0"
"fall:","1.0"
"polisanmäls","1.0"
"avfärdar","2.0"
"kan","1693.0"
"avfärdat","1.0"
"fall-","1.0"
"nedsatta","6.0"
"sammanpratad","1.0"
"ingenjörsjobb","1.0"
"economist","1.0"
"18,8","1.0"
"kapp","3.0"
"fäblessen","1.0"
"svår","11.0"
"fråga","492.0"
"allianssidan","1.0"
"statsmannamässigt","2.0"
"dalarna:","1.0"
"tillhandahålla","4.0"
"förhållandena","1.0"
"nyliga","1.0"
"fouriertransform","9.0"
"verksamheterna","11.0"
"genmanipulerade","3.0"
"e-post","1.0"
"landsbygdsföretagen","1.0"
"56 000","1.0"
"roliga","1.0"
"kast","1.0"
"intecknat","3.0"
"dömt","2.0"
"kompetensutveckling","3.0"
"jättelätt","1.0"
"döms","3.0"
"rykte","1.0"
"hörde","30.0"
"jämviktsarbetslöshet","1.0"
"varm","4.0"
"oroväckande","7.0"
"vari","2.0"
"hinder","12.0"
"döma","2.0"
"varg","23.0"
"varv","1.0"
"dömd","4.0"
"styrelse","3.0"
"vart","18.0"
"vars","12.0"
"avgivet","1.0"
"färdplan","1.0"
"bostadsförmedling","3.0"
"särregler","4.0"
"märklighet","1.0"
"löntagargrupper","2.0"
"chefsnivåer","1.0"
"kriminalisera","6.0"
"spricka","1.0"
"exportkrediter","3.0"
"verkligen","111.0"
"vare","69.0"
"snuset","8.0"
"öb","1.0"
"vara","785.0"
"roligt","8.0"
"droghanteringen","1.0"
"nedskärningarna","1.0"
"konkurrensen?","1.0"
"wallrup","3.0"
"skära","3.0"
"öl","7.0"
"egenföretagarna","1.0"
"beaktande","2.0"
"informationsförsörjningen","1.0"
"passade","1.0"
"riktlinjer","2.0"
"transportslagen","2.0"
"bådar","1.0"
"föräldraförsäkringen","1.0"
"härleda","1.0"
"enskilt","11.0"
"långsiktig","7.0"
"tydliggjort","1.0"
"regeringsfrågor","1.0"
"upplåtelseform","1.0"
"enskild","9.0"
"pengar?","3.0"
"justitieminister","8.0"
"överlappande","1.0"
"kortsiktiga","3.0"
"framstå","3.0"
"arbetstoppar","1.0"
"ädelroth","2.0"
"ekonomierna","1.0"
"pengars","1.0"
"tillväxtutveckling","1.0"
"lantbruket","5.0"
"vinproducent","1.0"
"påföljder","4.0"
"otillfredsställda","1.0"
"pensionärskollektivets","1.0"
"björck","25.0"
"påföljden","11.0"
"stoppet","7.0"
"yttre","2.0"
"3 procents","1.0"
"yttra","5.0"
"höstackar","1.0"
"bevismaterial","1.0"
"livsmedel","7.0"
"bygglagen","7.0"
"borttagning","1.0"
"65-årsdagen","1.0"
"utanförskapscyklerna","1.0"
"riksdag","24.0"
"normala","3.0"
"arbetsplan","1.0"
"storskalig","2.0"
"frekvens","1.0"
"frekvent","1.0"
"bedrivits","1.0"
"variant","2.0"
"polismyndigheterna","1.0"
"regeringsåren","2.0"
"jämföras","6.0"
"klargörande","9.0"
"avgivit","2.0"
"planerna","3.0"
"utvärdering","28.0"
"förenklingar","3.0"
"onda","2.0"
"snusar","1.0"
"förpliktelse","1.0"
"avskaffa","8.0"
"passagerartåg","1.0"
"österfärnebo","2.0"
"primärproduktion","1.0"
"representerar","10.0"
"strypsnara","1.0"
"sverigefrämjande","1.0"
"altruism","1.0"
"yteffektiva","1.0"
"skäms","1.0"
"uppmuntra","9.0"
"normalt","14.0"
"resursanslagen","1.0"
"intervjuade","1.0"
"universitets","3.0"
"förtroende","14.0"
"integritetsintrång","1.0"
"parat","1.0"
"överlämnades","1.0"
"stoppat","2.0"
"stoppas","8.0"
"examensområde","1.0"
"dopning","1.0"
"onödan","8.0"
"gås","1.0"
"går","349.0"
"eländiga","1.0"
"analfabetism","1.0"
"dörr","2.0"
"narkotikabrott","4.0"
"utgiftsbehov","1.0"
"intilliggande","1.0"
"problemet","89.0"
"beständiga","1.0"
"misslyckats","3.0"
"anföra","3.0"
"problemen","18.0"
"hektar","6.0"
"19 937","1.0"
"förvränga","1.0"
"ungdomsarbetsgivaravgiftshöjning","1.0"
"åsamka","1.0"
"bärande","4.0"
"anfört","1.0"
"övervaka","3.0"
"bangladesh","3.0"
"kvarstående","4.0"
"motsätta","1.0"
"universitet?","1.0"
"stoppad","2.0"
"ericson","4.0"
"klokt","11.0"
"sundsvall","17.0"
"norrmän","1.0"
"utdömts","2.0"
"förgröning","1.0"
"dragits","3.0"
"feedback","1.0"
"kloka","10.0"
"ägarform","1.0"
"inledningen","1.0"
"faktorer","14.0"
"budgettext","1.0"
"planeras","4.0"
"höghastighetståg","1.0"
"planerat","7.0"
"dött","1.0"
"utpräglad","2.0"
"utnämningen","2.0"
"planerar","8.0"
"relativt:","1.0"
"klåfingriga","2.0"
"valkrets","2.0"
"stupat","1.0"
"budgetalternativ","3.0"
"sjukfrånvaro","1.0"
"förtrogen","1.0"
"utgör","19.0"
"kommunikationen","1.0"
"valtaktiskt","1.0"
"tveksam","3.0"
"järn-","1.0"
"jämförde","2.0"
"vidhåller:","1.0"
"skolskjutsar","1.0"
"funkat","1.0"
"exempel:","3.0"
"funkar","9.0"
"planerad","1.0"
"vaskats","1.0"
"skolplikt","3.0"
"informationen","6.0"
"kommunicerande","1.0"
"tvångsvisa","2.0"
"rosdahl","2.0"
"västeuropeiska","2.0"
"skolåren","1.0"
"identifiering","2.0"
"kommerskollegium","1.0"
"tjugo","1.0"
"hämmar","3.0"
"nollstrecket","1.0"
"människa","9.0"
"hämmas","2.0"
"skolåret","1.0"
"hämmat","1.0"
"uppgår","5.0"
"förvaltningsrätten","1.0"
"behålla","33.0"
"grundfundament","1.0"
"täby","5.0"
"förfogande","2.0"
"7 725","1.0"
"bostadsministern:","2.0"
"kompletterande","4.0"
"leda","56.0"
"ålderspresident","23.0"
"kom","110.0"
"baserad","1.0"
"farlig","1.0"
"kol","1.0"
"bostadsministern?","1.0"
"kon","1.0"
"klimatomställning","1.0"
"förinta","1.0"
"muskelsvaghet","1.0"
"departementets","2.0"
"baserat","5.0"
"samanhållning","1.0"
"landsting","49.0"
"nominellt","1.0"
"skiktgränsen","2.0"
"talangfulla","3.0"
"syrien","3.0"
"nyckelbegrepp","1.0"
"baserar","2.0"
"baseras","4.0"
"klä","1.0"
"jobbmotorn","1.0"
"lönekostnaden","3.0"
"involvering","1.0"
"bestämmelser","4.0"
"lönekostnader","2.0"
"penetreras","2.0"
"flodvågskatastrofen","1.0"
"ärliga","3.0"
"brände","1.0"
"ärligt","7.0"
"uppmaning","1.0"
"slutföra","2.0"
"kultur","4.0"
"kortsiktigt","2.0"
"85 procent","1.0"
"förhandlingsperson","31.0"
"anföll","1.0"
"upphandlingsstrategin","1.0"
"sammankopplas","1.0"
"påbörjade","6.0"
"sväva","1.0"
"slutfört","1.0"
"trägen","1.0"
"narkotikabekämpningen","1.0"
"principiella","5.0"
"servicesektor","2.0"
"paris","3.0"
"förtydligade","1.0"
"studier","14.0"
"uppdelningar","2.0"
"principiellt","3.0"
"bullerförordningen","3.0"
"bidragit","7.0"
"studien","1.0"
"ersättning","5.0"
"uppklaringen","1.0"
"kommentar","5.0"
"knä","1.0"
"snett","3.0"
"lönerna","10.0"
"medlemsavgift","2.0"
"vårdtagare","1.0"
"omdebatterad","1.0"
"röstades","3.0"
"nyfikna","1.0"
"genomsnittsåldern","1.0"
"kuratorer","1.0"
"vargstammen?","1.0"
"halverades","1.0"
"försvarsutskottet","2.0"
"önsketänkande","1.0"
"leds","2.0"
"upprustningen","1.0"
"jobben?","2.0"
"förknippat","1.0"
"säljer","6.0"
"valdebatt","1.0"
"vårda","6.0"
"klargöra","3.0"
"varje","111.0"
"företagarorganisationerna","1.0"
"betydelse","41.0"
"pilla","1.0"
"kompetensförsörjningen","1.0"
"friskvårdsavdrag","2.0"
"auktorisation","1.0"
"kth","3.0"
"fjärrvärmeverk","1.0"
"740 000","2.0"
"gabriel","1.0"
"frihandelsområde","1.0"
"solig","1.0"
"dalarna","19.0"
"stirra","1.0"
"trofé","1.0"
"säkerheten","5.0"
"2002/03","2.0"
"identitet","4.0"
"tyngdpunkten","1.0"
"låginkomsttagare","3.0"
"förtrogna","1.0"
"inspelet","1.0"
"bereds","4.0"
"uk-flagg","1.0"
"anhöriga","4.0"
"bestämda","2.0"
"regelrådet","1.0"
"ridskolor","1.0"
"varit","339.0"
"elever","41.0"
"coacha","1.0"
"bestämde","2.0"
"kul","4.0"
"vård-","5.0"
"uppträdande","1.0"
"normalbild","4.0"
"beredd","63.0"
"bereda","5.0"
"uppkommer","2.0"
"anställer","15.0"
"päron","1.0"
"kjellin","2.0"
"stationerna","1.0"
"arbetskraft","24.0"
"frihet","4.0"
"omgångar","1.0"
"säkerhet","18.0"
"utanförskap","35.0"
"status?","1.0"
"återbetalningsskyldiga","1.0"
"leif","18.0"
"resursslöseri","1.0"
"preparat","2.0"
"produkt","8.0"
"överföringarna","3.0"
"huvudmän","3.0"
"växlar","2.0"
"medförhandling","1.0"
"säljas","8.0"
"våras","4.0"
"bondeoffer","1.0"
"handlingskraft","5.0"
"sträckningen","1.0"
"skogsbränslesortimentet","1.0"
"osanning","1.0"
"tänk","7.0"
"uppbyggt","2.0"
"frångått","1.0"
"anser","91.0"
"anställde","1.0"
"export","12.0"
"biltrafiken","1.0"
"anses","6.0"
"anställda","52.0"
"extratjänsterna","2.0"
"stefan","40.0"
"huvudmålgruppen","1.0"
"driftsformen","1.0"
"byråkratisk","1.0"
"framåt","44.0"
"ambition?","1.0"
"påtalar","1.0"
"påtalas","1.0"
"påtalat","2.0"
"landsorganisationen","1.0"
"driftsformer","2.0"
"kartlägga","1.0"
"eu-domstolen","8.0"
"solen","1.0"
"esbatis","1.0"
"skapat","14.0"
"väckarklocka","1.0"
"provanställningar:","1.0"
"skapar","87.0"
"broarna","2.0"
"skapas","26.0"
"löntagare","20.0"
"européer","1.0"
"mönster:","1.0"
"utvärderat","4.0"
"utvärderas","3.0"
"utvärderar","2.0"
"förvinner","1.0"
"belånad","1.0"
"häromåret","1.0"
"notoriske","1.0"
"anställas","2.0"
"understödd","1.0"
"entreprenörskapsklimatet","2.0"
