"party","FP"
"embargot","1.0"
"infrastrukturperspektivet","1.0"
"ens","16.0"
"svenskundervisning","3.0"
"ansvarfull","1.0"
"slippery","1.0"
"linde","7.0"
"dagliga","3.0"
"lindh","1.0"
"kringskurits","2.0"
"skeptiskt","1.0"
"styr","8.0"
"lekande","1.0"
"tvingats","1.0"
"kvadratkilometer","1.0"
"välfärdsföretagen","1.0"
"valen","1.0"
"programmet","2.0"
"levande","1.0"
"sexualbrott","1.0"
"fåordig","1.0"
"skeptiska","1.0"
"145-4-3","1.0"
"värdering","1.0"
"400","2.0"
"drabbats","1.0"
"upphandlare","1.0"
"israeler","1.0"
"kompetensråd","1.0"
"valet","19.0"
"parternas","1.0"
"byggdes","1.0"
"funktionsnedsättning","1.0"
"rikskonferens","1.0"
"folkgruppen","2.0"
"tillåtna","1.0"
"sjukvårds-","1.0"
"folkgrupper","1.0"
"säger:","17.0"
"vänt","1.0"
"yrkesverksamma","1.0"
"persson","2.0"
"era","4.0"
"uppföljning","7.0"
"mängder","4.0"
"lägenheter","2.0"
"ansvarar","4.0"
"gatan","1.0"
"eu-politiken","1.0"
"näringsliv","1.0"
"förbjöd","1.0"
"förskräckelse","1.0"
"studentbostäder","1.0"
"ert","2.0"
"acceptabelt","2.0"
"känt","5.0"
"usa-ledda","1.0"
"bekanta","1.0"
"vandra","2.0"
"ökenutbredning","1.0"
"känd","1.0"
"leverera","2.0"
"orterna","1.0"
"återuppta","1.0"
"debatterna","2.0"
"lärarlönerna","1.0"
"bonus?","1.0"
"grupp","2.0"
"tvungna","1.0"
"eu?","2.0"
"pekat","3.0"
"pekas","1.0"
"enveckasförsvar","1.0"
"bostad","13.0"
"klustret","1.0"
"pekar","14.0"
"trafikdata","3.0"
"ett","554.0"
"avgöra","3.0"
"ets","1.0"
"stående","1.0"
"raketer","1.0"
"sjuksköterska","2.0"
"statssekreterare","1.0"
"miljöskatter","1.0"
"linje","10.0"
"infalla","1.0"
"riskkapitalägda","2.0"
"sidor","1.0"
"förmodligen","3.0"
"pensionssystem","2.0"
"måhända","1.0"
"uppgifterna","7.0"
"rättsstaten","2.0"
"genomlysning","1.0"
"aktiv","2.0"
"metallstaket","1.0"
"grund","22.0"
"underrättelsesamarbete","1.0"
"18 400","1.0"
"värt","1.0"
"blåljus","1.0"
"forma","1.0"
"valde","6.0"
"nordefco","1.0"
"avstyrka","1.0"
"inspirera","1.0"
"tilläggsbudget","1.0"
"islam","2.0"
"delansvarigt","1.0"
"skyndar","1.0"
"qarlsson","2.0"
"korrekta","1.0"
"ansvaret","16.0"
"dödsstraff","3.0"
"svenskflaggade","1.0"
"bostadsmarknaden","6.0"
"israel?","1.0"
"kärl","1.0"
"strategi","3.0"
"majoritetsbefolkningen","1.0"
"forna","1.0"
"synagoga","1.0"
"jättelite","1.0"
"polisens","2.0"
"arbetssökande","2.0"
"fallgropar","1.0"
"bevakning","1.0"
"produktiviteten","1.0"
"ledamöter","3.0"
"arbetsmarknadsinsatser","1.0"
"lagstiftar","2.0"
"transportslag","4.0"
"fredsprocessen","2.0"
"fastighetsförvaltare","2.0"
"effektiv","3.0"
"kvarstår","4.0"
"al-asad","1.0"
"nere","2.0"
"hermods","1.0"
"utbildningar","3.0"
"jobblinje","2.0"
"civila","2.0"
"röd","1.0"
"bodelningsprincip","1.0"
"resonemanget","2.0"
"vårdutbildning","1.0"
"övervakningskameror","1.0"
"examen","1.0"
"subsidiaritet","1.0"
"rör","12.0"
"utflödet","1.0"
"industriellt","3.0"
"motorvägen","1.0"
"ockupationen","2.0"
"hemliga","1.0"
"väst","1.0"
"industriella","2.0"
"talarna","1.0"
"islamiska","15.0"
"ordväxlingen","2.0"
"byggt","3.0"
"byggs","7.0"
"förskolan","4.0"
"yrken","1.0"
"långsiktigt?","1.0"
"utmaningar","10.0"
"spridd","1.0"
"sprida","3.0"
"tillåtet","3.0"
"världsrekord","1.0"
"tillåten","1.0"
"bygga","56.0"
"arbeta","17.0"
"skärpa","2.0"
"vattenverksamhetsutredningen","1.0"
"arbete","42.0"
"skärpt","2.0"
"hanterat","3.0"
"branschinflytande","1.0"
"ansvarsfördelning","1.0"
"väntetider","2.0"
"betala","7.0"
"händer","18.0"
"arbetsmarknad","7.0"
"palestinska","26.0"
"kontakter","2.0"
"tydligare","15.0"
"turkiet","2.0"
"daesh","2.0"
"underställas","1.0"
"tuffare","2.0"
"avdelningen","1.0"
"igen","10.0"
"tt-telegram","1.0"
"betalt","5.0"
"minoritetsregering","1.0"
"överensstämmelse","2.0"
"grad","4.0"
"hävdade","1.0"
"lagrådet","1.0"
"insats","6.0"
"dreber","1.0"
"skogsbränder","1.0"
"insatt","2.0"
"hugo","3.0"
"florida","1.0"
"utnyttjande","1.0"
"administration","1.0"
"upprepade","2.0"
"timmar?","1.0"
"personalen","2.0"
"regelkrångel","2.0"
"halshuggit","1.0"
"fristående","3.0"
"brottsbekämpande","1.0"
"skolplaner","1.0"
"uttryckte","5.0"
"bankdirektör","1.0"
"hugg","1.0"
"länsstyrelsen","7.0"
"skolplanen","1.0"
"antagningsomgång","1.0"
"understödja","1.0"
"limpa","1.0"
"samtal","3.0"
"gymnasieelever","2.0"
"medelstora","2.0"
"växa","5.0"
"kontrakten","1.0"
"kontraktet","1.0"
"utvidgningsprocessen","1.0"
"undrar","11.0"
"undrat","1.0"
"längsta","2.0"
"bankbonus","1.0"
"grundkontrakt","1.0"
"occupy","1.0"
"presentera","2.0"
"yrkesskickliga","2.0"
"visby","1.0"
"indikatorer","1.0"
"utmaningen","1.0"
"central","7.0"
"intervjun","1.0"
"bedömning","9.0"
"otålig","1.0"
"visar","19.0"
"osannolikt","1.0"
"länsstyrelser","2.0"
"visat","5.0"
"green","3.0"
"vestlunds","2.0"
"försöker","13.0"
"glesbygden","2.0"
"ekosystem","1.0"
"betrakta","2.0"
"israel","15.0"
"yrkat","1.0"
"presidentkandidat","1.0"
"överge","1.0"
"välfärdskaka","1.0"
"hafsverk","1.0"
"infördes","1.0"
"debatterat","1.0"
"intervju?","1.0"
"kyrka","1.0"
"förtidspensioneringar","1.0"
"bostäderna","2.0"
"integritetskränkande","1.0"
"museernas","1.0"
"ungdomsarbetslöshetspolitiken","1.0"
"därför","108.0"
"samla","2.0"
"rigida","1.0"
"plan","10.0"
"piskar","1.0"
"planering","2.0"
"bekymmersamt","2.0"
"resten","1.0"
"samma","45.0"
"skyddssoldater","1.0"
"bojan","1.0"
"irakkriget","1.0"
"skapats","1.0"
"institutet","1.0"
"inrätta","4.0"
"debatterar","2.0"
"elak","1.0"
"klivit","1.0"
"positiv","3.0"
"produktionskostnaden","1.0"
"hamnade","6.0"
"elda","1.0"
"dessutom","19.0"
"\*","79.0"
"samsyn","2.0"
"friskoleutredningen:","1.0"
"mäktar","1.0"
"rondeller","1.0"
"förbandsverksamheten","1.0"
"taget","15.0"
"berlin","1.0"
"trädde","1.0"
"levererats","1.0"
"åtgärden","1.0"
"formella","2.0"
"tryckas","1.0"
"barnomsorgsplats","1.0"
"icke-svar","1.0"
"påtala","3.0"
"ignorerar","1.0"
"trafiksäkerheten","1.0"
"åtgärder","58.0"
"krossas","2.0"
"formellt","4.0"
"samling","1.0"
"ineffektiv","1.0"
"utrikesdepartementet?","1.0"
"klimat-","5.0"
"2013/14:195","1.0"
"återupptas","1.0"
"vanskligt","1.0"
"bombningar","1.0"
"otaliga","1.0"
"oklarheter","1.0"
"övergå","1.0"
"inkomstskatt","1.0"
"genomslag","2.0"
"räcker","19.0"
"polischefen","1.0"
"åtgärdats","1.0"
"österrike","3.0"
"fyrbodalregionen","1.0"
"lejonparten","1.0"
"fel","23.0"
"förfärande","1.0"
"fem","12.0"
"effekten","7.0"
"effekter","11.0"
"radioinslag","1.0"
"livskraftig","3.0"
"arbetsmarknadspolitiken","3.0"
"notera","5.0"
"utsätts","2.0"
"snacka","1.0"
"bioteknik","6.0"
"så?","1.0"
"funderar","6.0"
"säg","2.0"
"elev","2.0"
"omfatta","1.0"
"statistik?","1.0"
"uppstår","2.0"
"inlägget","2.0"
"kliver","1.0"
"dödades","2.0"
"araber","1.0"
"sida?","1.0"
"barnfamiljer","1.0"
"slutgiltigt","1.0"
"konventionerna","1.0"
"halland","1.0"
"inriktningsbeslut","1.0"
"såg","12.0"
"situationen","14.0"
"kalla","9.0"
"situationer","1.0"
"ca 80","1.0"
"utarbetat","1.0"
"deltar","4.0"
"flyktingmottagandet","2.0"
"gator","3.0"
"göteborg","11.0"
"arbetsmarknaden","25.0"
"ämne","1.0"
"hur?","1.0"
"hänvisade","2.0"
"snarlik","1.0"
"rakt","5.0"
"tillkännagivande","10.0"
"jämför","4.0"
"begler","1.0"
"ändrats","2.0"
"bär","1.0"
"kongress","1.0"
"sidan","5.0"
"alingsåshem","1.0"
"vladimir","1.0"
"integritetskränkningarna","1.0"
"kommunledningar","1.0"
"13 000","1.0"
"nedskärningar","1.0"
"framtidens","4.0"
"växte","1.0"
"kanske","73.0"
"boriana","3.0"
"försvinnande","1.0"
"pension","9.0"
"gymnasiets","1.0"
"hamas","10.0"
"grov","17.0"
"ad","1.0"
"försäkringskassan","3.0"
"otåliga","1.0"
"anschluss-fasoner","1.0"
"universitetsbehörig","1.0"
"ifrån","12.0"
"frustande","1.0"
"signatär","1.0"
"an","2.0"
"pluralistiska","1.0"
"former","3.0"
"parallellt","2.0"
"pluralistiskt","1.0"
"formen","1.0"
"av","674.0"
"trakasserad","1.0"
"ax","1.0"
"folk","10.0"
"kriminalvårdsenheter","1.0"
"hemkommun","2.0"
"skatteförslag","1.0"
"uppstått","1.0"
"platser","3.0"
"eventuell","3.0"
"dragit","1.0"
"enkäter","1.0"
"interpellationer","84.0"
"bo","7.0"
"adressera","1.0"
"interpellationen","33.0"
"giftorätten","1.0"
"götaland","1.0"
"by","1.0"
"consortes","1.0"
"proaktiva","1.0"
"platsen","1.0"
"eftervård","1.0"
"norrbotten","1.0"
"krutet","1.0"
"danmark","3.0"
"enormt","2.0"
"central-","1.0"
"naivt","3.0"
"behörighetsfrågan","1.0"
"ställningstagande","4.0"
"hävdats","1.0"
"rymmer","2.0"
"våga","1.0"
"fly","1.0"
"fortsättning","2.0"
"partner","3.0"
"utöver","8.0"
"kilometer","1.0"
"inhämtas","1.0"
"enorma","2.0"
"de","760.0"
"5,9","1.0"
"tvärtom?","1.0"
"dn","1.0"
"extern","1.0"
"f1","1.0"
"orientaliska","1.0"
"f2","1.0"
"f3","1.0"
"du","69.0"
"ungefär","15.0"
"förutsättning","4.0"
"angriper","1.0"
"kvartersnivå","1.0"
"snart","10.0"
"ej","1.0"
"el","1.0"
"en","1187.0"
"rejäl","1.0"
"centralt","3.0"
"påtalade","2.0"
"hitta","16.0"
"er","10.0"
"upprepa","5.0"
"et","1.0"
"eu","40.0"
"önskan","1.0"
"tvivel","3.0"
"politik.","1.0"
"papper","1.0"
"skattepolitik","1.0"
"tillvaro","2.0"
"försämrats","1.0"
"centrala","10.0"
"fordons-","1.0"
"växjö","3.0"
"foi","1.0"
"väpnat","2.0"
"jämställdhetspolitiken?","1.0"
"smörjmedel","1.0"
"fn","3.0"
"varningens","1.0"
"politikerna","2.0"
"bostadsalternativ","1.0"
"önskar","7.0"
"alliansstyre","1.0"
"läkaren","2.0"
"önskat","1.0"
"ovanifrån?","1.0"
"väpnad","1.0"
"uttrycker","3.0"
"valberedningsarbetet","1.0"
"avslå","1.0"
"försvarspolitiken?","1.0"
"ge","28.0"
"våld","2.0"
"vistas","3.0"
"kommunikation","5.0"
"högljutt","1.0"
"bilaga","1.0"
"go","1.0"
"straffbeskatta","1.0"
"förmåga","4.0"
"vinterns","1.0"
"läsa:","1.0"
"superdatabas","2.0"
"gator?","1.0"
"form","19.0"
"genom","45.0"
"500","2.0"
"behörig","3.0"
"ha","133.0"
"tryggas","1.0"
"fort","3.0"
"socialdemokraterna","34.0"
"då","174.0"
"<em>inte","1.0"
"bedrivs","5.0"
"ministrar","3.0"
"lägligt","1.0"
"gläder","6.0"
"bedriva","2.0"
"återger","1.0"
"it-bolag","1.0"
"enklaven","1.0"
"uppföljningen","1.0"
"häromveckan","1.0"
"köpt","1.0"
"mallorca","1.0"
"sysselsättning","7.0"
"fri","2.0"
"dramatiskt","1.0"
"regleringar","4.0"
"ungdomarna","2.0"
"sunnimuslimska","1.0"
"logiska","1.0"
"in","113.0"
"implementeras","1.0"
"implementerar","2.0"
"omsorgsbranschen","1.0"
"gavs","1.0"
"fru","80.0"
"köpa","1.0"
"hultqvist","7.0"
"inriktningen","2.0"
"is","5.0"
"efterfråga","1.0"
"it","1.0"
"ix","1.0"
"straffskatten","1.0"
"slutpunkt","1.0"
"läser","5.0"
"gynnsam","1.0"
"välfärdsföretagandet","2.0"
"skapade","2.0"
"ja","28.0"
"sjöfarten","9.0"
"inträffar","1.0"
"tillträder","1.0"
"få","137.0"
"likadan","1.0"
"avsky","1.0"
"trygg","1.0"
"jo","7.0"
"andelen","1.0"
"marginaler","1.0"
"klassrum","1.0"
"4 procent","1.0"
"tendens","1.0"
"ju","81.0"
"fritidshus","1.0"
"grader","1.0"
"sitta","5.0"
"inflation","1.0"
"effektiva","2.0"
"sover","1.0"
"skattechocken","1.0"
"endast","2.0"
"dubbelt","2.0"
"tittar","6.0"
"tittat","6.0"
"effektivt","11.0"
"kört","1.0"
"ambitionerna","2.0"
"trimma","1.0"
"flyga","3.0"
"gå","72.0"
"livscykelperspektiv","3.0"
"misslyckandet","1.0"
"levererade","3.0"
"it-systemet","1.0"
"synpunkt","3.0"
"jämföra","3.0"
"landsbygdsministerns","1.0"
"uppfattningen","9.0"
"vänsterpartiets","1.0"
"inrikespolitisk","1.0"
"ku","3.0"
"köra","5.0"
"löfte","1.0"
"högskolebehöriga","1.0"
"sjukvård","3.0"
"vattenfall","3.0"
"halvt","1.0"
"ansvarsfördelningen","1.0"
"integrationsministerposten","1.0"
"anmälningar","1.0"
"arjeplog","1.0"
"kostsamt","2.0"
"blekna","1.0"
"skolbibliotekarie","1.0"
"avses","2.0"
"oklarhet","3.0"
"glädja","1.0"
"lo","4.0"
"inledde","2.0"
"ändamålsenliga","3.0"
"avser","34.0"
"försvars-","2.0"
"sänker","2.0"
"forskarvärlden","1.0"
"vårt","22.0"
"förtroendevalda","1.0"
"förstå","15.0"
"välfärdsstaten","1.0"
"solidaritet","1.0"
"fritt","18.0"
"ungdomsarbetsgivaravgifterna","1.0"
"öppning","1.0"
"okoordinerad?","1.0"
"morgan","4.0"
"utgångspunkten","1.0"
"vård","5.0"
"samhällsorientering","2.0"
"minderåriga","1.0"
"kött","1.0"
"mr","2.0"
"framhålla","6.0"
"våra","35.0"
"sporre","2.0"
"gigantiskt","1.0"
"nationellt","7.0"
"plus","2.0"
"gaza","3.0"
"stadsmiljöerna","1.0"
"himmelska","1.0"
"parera","1.0"
"nationella","15.0"
"ni","89.0"
"skolledare","1.0"
"statsbudgeten","1.0"
"krävt","1.0"
"krävs","12.0"
"förbud","1.0"
"p4","1.0"
"uppdraget","11.0"
"avslås","2.0"
"nu","212.0"
"yrkescollege","5.0"
"reagerade","1.0"
"enligt","27.0"
"ny","29.0"
"förhindras?","1.0"
"svenskarnas","1.0"
"associeringsavtal","2.0"
"uppdragen","1.0"
"inlåst","1.0"
"dialog","14.0"
"stenografen","1.0"
"kräva","7.0"
"överklagar","1.0"
"läkarna","2.0"
"synagogor","3.0"
"of","1.0"
"övrigt","6.0"
"ideologi","1.0"
"arbetsförmedlingar","1.0"
"om","1006.0"
"mungipan","1.0"
"svar","156.0"
"saknar","5.0"
"saknas","6.0"
"starka","5.0"
"investerar","1.0"
"mellanöstern","9.0"
"bestämmer","1.0"
"frisk","1.0"
"politisk","11.0"
"ditt","3.0"
"övriga","12.0"
"dito","1.0"
"uppfattningar","3.0"
"dramatiska","1.0"
"reformdebatten","1.0"
"överenskommelser?","1.0"
"skadegörare","1.0"
"ändrade","4.0"
"förtidspension","3.0"
"fembarnsfar","1.0"
"starkt","10.0"
"tryck","4.0"
"samtalet","2.0"
"terrorist?","2.0"
"tillgängliga","1.0"
"samtalen","1.0"
"pm","2.0"
"rymmas","1.0"
"problematik","1.0"
"svag","1.0"
"talespersonen","1.0"
"förväntas","1.0"
"förväntat","1.0"
"vägar","3.0"
"sjöfart</em>","1.0"
"börja","15.0"
"byggandet?","1.0"
"vägas","1.0"
"genomdrev","1.0"
"förste","3.0"
"övervåld","2.0"
"förväntar","3.0"
"börje","5.0"
"konsekvensanalys","2.0"
"enkelt","13.0"
"må","2.0"
"s-","1.0"
"särskilda","13.0"
"gensvar","1.0"
"betecknas","1.0"
"chávez","2.0"
"bör","20.0"
"konstig","1.0"
"arbetsförmedlingen","32.0"
"företagare","6.0"
"rimligt?","1.0"
"förespråkare","1.0"
"ministerposter","1.0"
"försvaret","4.0"
"exakt","7.0"
"påfrestningar","1.0"
"potentiellt","1.0"
"statsmakten","1.0"
"fallande","1.0"
"nå","3.0"
"fackföreningsrörelsen","2.0"
"statsmakter","1.0"
"gratis","1.0"
"miljoner","26.0"
"rumänska","4.0"
"sa","24.0"
"byggbranschen","3.0"
"energipriserna","1.0"
"se","95.0"
"si","1.0"
"beskyllas","1.0"
"beställarna","1.0"
"växa?","1.0"
"invändningar","1.0"
"ände","1.0"
"stadsmiljö","1.0"
"rösta","2.0"
"hålla","14.0"
"lilla","2.0"
"utanför?","1.0"
"ta","115.0"
"ända","5.0"
"exporten","1.0"
"maseda","1.0"
"första","45.0"
"inkomstkrav","1.0"
"samhällsdebatten","1.0"
"på","1051.0"
"hålls","1.0"
"ansvarig","1.0"
"snabbutreda","1.0"
"kritiken","1.0"
"vidgas","1.0"
"flyktingmottagning","1.0"
"godtycket","1.0"
"avgifter","1.0"
"somras","4.0"
"svek","2.0"
"överens","41.0"
"värsta","5.0"
"norra","1.0"
"tv","1.0"
"sjukskrivningar","8.0"
"cirka","1.0"
"provocera","1.0"
"verkade","1.0"
"sista","11.0"
"kollektivt","1.0"
"eu-medlemskap","1.0"
"överkört","1.0"
"organisationer","6.0"
"skillnad","11.0"
"misär","2.0"
"organisationen","6.0"
"regleringen","1.0"
"dådet","2.0"
"gemenskapen","1.0"
"kollektiva","1.0"
"ur","19.0"
"ut","106.0"
"underskattat","1.0"
"hamna","6.0"
"organisera","1.0"
"hugga","1.0"
"timme","2.0"
"brottslighet","18.0"
"bostaden","5.0"
"vd","1.0"
"snabb","3.0"
"spetsiga","1.0"
"odemokratiska","3.0"
"vargjakten","1.0"
"vi","986.0"
"värnpliktsoptionen","1.0"
"äldre:","1.0"
"bortses","1.0"
"tjugotal","2.0"
"förhåller","2.0"
"avtal","5.0"
"hushållen","1.0"
"enkel:","1.0"
"vindar","1.0"
"börda","1.0"
"förutsåg","1.0"
"försvarsförberedelse","1.0"
"så","353.0"
"kakan","2.0"
"sjukvården","5.0"
"problematisk","1.0"
"tillkortakommanden","1.0"
"traditionella","5.0"
"gav","8.0"
"svansen","1.0"
"tävlar","1.0"
"ändå","52.0"
"valrörelsen","7.0"
"utrikespolitiken","1.0"
"invändningen","1.0"
"biotekniken","6.0"
"anmärkningsvärt","4.0"
"mönstring","1.0"
"lovade","1.0"
"xi","1.0"
"försvårar","2.0"
"heterogena","1.0"
"försvåras","1.0"
"konstitutionsutskottet","4.0"
"uppföljningsansvaret","1.0"
"visionära","1.0"
"startat","4.0"
"hela","62.0"
"kalifat","2.0"
"lastbilar","2.0"
"växtmaterial","1.0"
"centralkommitté","1.0"
"april","1.0"
"tvingade","3.0"
"ockupation","1.0"
"stoppultimatum","1.0"
"kommunerna","43.0"
"tillfällen","2.0"
"nyval?","1.0"
"utreds","1.0"
"genomlysa","1.0"
"kontrollfunktion","1.0"
"tillfället","2.0"
"morgon","4.0"
"depositioner","1.0"
"över:","1.0"
"utreda","9.0"
"budgetpropositionen","4.0"
"idén","4.0"
"jättekonstiga","1.0"
"över?","1.0"
"ännu","33.0"
"drabbade","3.0"
"företagandet","1.0"
"äktenskap","4.0"
"besöka","4.0"
"80-talets","1.0"
"storstäderna","1.0"
"politiskt","6.0"
"relationerna","1.0"
"skolpolitiker","2.0"
"politiske","1.0"
"stänga","4.0"
"politiska","28.0"
"besökt","2.0"
"ges","3.0"
"ger","35.0"
"dråpslag","1.0"
"plåga","1.0"
"stängs","1.0"
"konjunkturinstitutet","8.0"
"yxa?","1.0"
"kunnat","14.0"
"angelägen","5.0"
"ihop","14.0"
"framöver?","1.0"
"behövs","27.0"
"sverige:","1.0"
"göteborgs-posten","1.0"
"helt","74.0"
"angeläget","6.0"
"massiva","3.0"
"förtydliga","3.0"
"startade","1.0"
"sverige?","2.0"
"speciellt","5.0"
"behöva","8.0"
"uppgav","1.0"
"salen","1.0"
"vägen","13.0"
"sveriges","47.0"
"förhandlingsman","5.0"
"synagogan","1.0"
"utryckt","1.0"
"lindestam","1.0"
"väger","1.0"
"tyst","1.0"
"efterlängtade","1.0"
"avhålla","1.0"
"frågeställningen:","1.0"
"tillfällig","1.0"
"speciella","1.0"
"beredningstiden","1.0"
"ypg-styrkorna","1.0"
"handlingsplan","1.0"
"mr-politik","1.0"
"sent","4.0"
"försvarar","2.0"
"konflikt","7.0"
"strålande","1.0"
"yrkespraktik","1.0"
"försvarat","1.0"
"försvaras","1.0"
"behörighetskrav","1.0"
"term?","1.0"
"avstå","1.0"
"sänkte","1.0"
"yezidier","2.0"
"tillståndsprövning","2.0"
"akademisera","1.0"
"2 000","1.0"
"huvudargumentet","1.0"
"lönebildningen","1.0"
"herr","213.0"
"påbörja","3.0"
"lokala","9.0"
"miljöbalken","1.0"
"växer","2.0"
"konstitutionsutskottets","1.0"
"myndighetsstyrelse","1.0"
"trafik","1.0"
"flytt","1.0"
"sexto","1.0"
"trasslar","1.0"
"torteras","1.0"
"kravnivåerna","1.0"
"johanssons","2.0"
"partiprogram","1.0"
"möjlighet","45.0"
"kallblodig","1.0"
"pengarna","13.0"
"hemmet","1.0"
"publiceringar","1.0"
"utvecklingspotentialen","1.0"
"lokalt","11.0"
"budskap","3.0"
"demonstrera","2.0"
"uppger","1.0"
"välment","1.0"
"konsekventa","1.0"
"buds","1.0"
"behörighet","4.0"
"betjänas","1.0"
"tillerkänns","1.0"
"jobbat","3.0"
"fruktansvärt","1.0"
"kongressen","3.0"
"arbetsmarknadsutskottet","3.0"
"siffror","7.0"
"jobbar","18.0"
"dagen","8.0"
"regelförenklingar","2.0"
"västvänliga","1.0"
"kallar","9.0"
"kallas","3.0"
"strandskyddsregler","1.0"
"kallat","3.0"
"mr-delen","1.0"
"lägenhet","2.0"
"bekräftar","2.0"
"bekräftat","1.0"
"koppling","4.0"
"händelseutvecklingen","1.0"
"obligatoriskt","3.0"
"ingångsvärde","1.0"
"församlingen","3.0"
"träning","1.0"
"nedåt","1.0"
"yttersta","2.0"
"regionen","8.0"
"gmo","1.0"
"ersättningar","2.0"
"ansvar","38.0"
"villkor","3.0"
"finansborgarrådet","1.0"
"antyds","1.0"
"försvarets","1.0"
"uppsala","2.0"
"dessa","86.0"
"omprövar","1.0"
"helene","4.0"
"60 000","1.0"
"bifogad","1.0"
"sjöstedt","2.0"
"kommuntillsyner","1.0"
"ytterst?","1.0"
"rekryteringskontoren","1.0"
"sett","27.0"
"levanten","1.0"
"jobbade","3.0"
"arco","1.0"
"obligatorisk?","1.0"
"föreningen","1.0"
"mänsklig","1.0"
"dysterkvist","1.0"
"förväxla","1.0"
"överskott","1.0"
"varaktig","1.0"
"regioner","5.0"
"god","12.0"
"agerande","8.0"
"standard","2.0"
"grundade","2.0"
"jättestor","1.0"
"lade","11.0"
"jobben","11.0"
"justitieutskottet","2.0"
"vidta","13.0"
"sälja","1.0"
"ambition","3.0"
"dagar","2.0"
"gymnasiekompetens","1.0"
"palestinier","2.0"
"ekonomi","6.0"
"eu-uttalanden","1.0"
"jobbet","5.0"
"emot","31.0"
"nirvana","2.0"
"kombination","1.0"
"inflytande?","2.0"
"avvikande","2.0"
"statsråden","1.0"
"aktiva","9.0"
"välfärdsföretag","2.0"
"utrotar","1.0"
"rubriken","1.0"
"huvuduppdraget","1.0"
"fakta","3.0"
"kommunikationer","2.0"
"motstånd","5.0"
"förrgår","1.0"
"gemenskap","1.0"
"aktivt","2.0"
"geografiska","1.0"
"gyllensporre","1.0"
"levnadsstandard","1.0"
"riksdagens","14.0"
"regional","2.0"
"skolminister","1.0"
"bidrag","2.0"
"yrkesutbildningar","6.0"
"gmo-myndigheter","1.0"
"rysslands","2.0"
"statsrådet","234.0"
"valideringsmodell","1.0"
"åberg","2.0"
"likaväl","1.0"
"infrastrukturfråga","2.0"
"feltolkad","1.0"
"nedrustningsansträngningar","1.0"
"utspel","2.0"
"socialt","4.0"
"förnyelseprocess","1.0"
"regeringsförklaring","1.0"
"planprocesserna","1.0"
"omvärldsläge","1.0"
"visioner","1.0"
"inhämtningen","2.0"
"kartläggning","1.0"
"krävas","1.0"
"sociala","6.0"
"skattemedel","2.0"
"riksdagen?","1.0"
"församlingar","4.0"
"föreningar","1.0"
"erbil","2.0"
"bisarra","1.0"
"alltför","4.0"
"skolinspektionens","3.0"
"löftet","1.0"
"ologiskt","1.0"
"amineh","3.0"
"öster","1.0"
"kvarvarande","1.0"
"löften","1.0"
"greker","1.0"
"överlevnadsfråga","1.0"
"dagens","12.0"
"förtrycket","1.0"
"kunskapsuppsamlingen","1.0"
"förtrycker","2.0"
"lagt","11.0"
"samordnare","19.0"
"fastighetsägarnas","3.0"
"brutala","1.0"
"remissvar","1.0"
"ägnade","2.0"
"samordnaren","7.0"
"flygplatserna","4.0"
"gymnasium?","1.0"
"motsatsförhållandet","1.0"
"intressekonflikt","1.0"
"undslapp","1.0"
"tobak","1.0"
"stadsdirektörer","1.0"
"påverkade","2.0"
"utredning?","1.0"
"hänsyn","6.0"
"självfallet","3.0"
"demokratikämpar","1.0"
"pratar","13.0"
"riksdagsledamöter","1.0"
"webbplats","1.0"
"stängning","1.0"
"gud","2.0"
"rekvisiten","2.0"
"fungerar?","1.0"
"pratat","1.0"
"beredningen","1.0"
"produkterna","1.0"
"arbetsmarknadsutskottets","1.0"
"likställer","1.0"
"valrörelsen?","1.0"
"representanter","3.0"
"tillsätta","13.0"
"kommer","218.0"
"pb-soldaterna","1.0"
"lärarlöner","1.0"
"ledas","1.0"
"medlingsinstitutet","1.0"
"hunnit","2.0"
"tillsätts","1.0"
"faktiskt","26.0"
"fyller","1.0"
"utgår","6.0"
"stycket","1.0"
"faktiska","3.0"
"yxor","3.0"
"skolinspektionen?","1.0"
"stycken","4.0"
"sheikhan","1.0"
"anställa","11.0"
"jämställdhetssynpunkt","1.0"
"återrapporterar","1.0"
"kompenserar","2.0"
"vårdcentral","1.0"
"ihjäl","4.0"
"2008-2009","1.0"
"tillståndsprövningen","2.0"
"inspirerade","1.0"
"förtryck","3.0"
"värdefull","2.0"
"jobbar?","2.0"
"aktion","1.0"
"exkluderas","1.0"
"tid?","1.0"
"godkända","1.0"
"basis","1.0"
"kontinenter","1.0"
"lokalpolisområden","1.0"
"domstolarna","1.0"
"socialdemokrater","5.0"
"statsministern","13.0"
"förvaltningen","2.0"
"värderingar","4.0"
"ogenomtänkt","1.0"
"iväg","1.0"
"förhålla","4.0"
"urval","1.0"
"registret","1.0"
"besitter","1.0"
"beväpnar","1.0"
"kommunens","1.0"
"vänsterns","1.0"
"mehmet","13.0"
"fastighetsvärdar","1.0"
"migrationsrättsligt","1.0"
"oroade","2.0"
"oklart","5.0"
"leden","1.0"
"koll","3.0"
"extra","4.0"
"undervisa","5.0"
"leder","13.0"
"land","29.0"
"bostadsfrågan","1.0"
"lärarlegitimationsreformen","3.0"
"motståndskraft","3.0"
"burk","1.0"
"öppenhet","2.0"
"hämma","1.0"
