"party","KD"
"kaffet","2.0"
"korna","1.0"
"köerna","1.0"
"begärt","1.0"
"migrationsministern","2.0"
"fött","1.0"
"moderata","7.0"
"läroböckerna","1.0"
"100 000","1.0"
"sticticus","2.0"
"existens","1.0"
"oppositionella","4.0"
"frågan:","1.0"
"omsorg","1.0"
"räd","1.0"
"1970-talet","2.0"
"begära","1.0"
"satsar","1.0"
"satsas","1.0"
"skickade","1.0"
"grisbönderna","1.0"
"byggas","8.0"
"försvarsministern:","1.0"
"hands","1.0"
"osäkerhet","5.0"
"eu:s","6.0"
"tåget","2.0"
"höjning","1.0"
"slag","2.0"
"gymnasieskola","1.0"
"flygplatsaktören","1.0"
"medskick","2.0"
"nyanställningar","1.0"
"via","4.0"
"vid","32.0"
"råd","2.0"
"tyckte","5.0"
"diskutera","7.0"
"egentliga","1.0"
"jag:","2.0"
"envar","1.0"
"någonstans","3.0"
"användbart","1.0"
"viktigt?","1.0"
"israels","3.0"
"familjer","1.0"
"fortsättningsvis","2.0"
"innan","5.0"
"ämnen","1.0"
"visst","8.0"
"stor","21.0"
"enskilde","3.0"
"ämnet","2.0"
"försökte","1.0"
"finansiering","7.0"
"enskilda","3.0"
"debatten","18.0"
"36 000","1.0"
"klassen","1.0"
"häpnadsväckande","2.0"
"privata","8.0"
"större","8.0"
"jaha","1.0"
"hittat","3.0"
"civiliserade","1.0"
"snabbare","1.0"
"centrum","1.0"
"genomföra","4.0"
"beträffande","3.0"
"tenderar","1.0"
"utredningar","5.0"
"fn-konventioner","1.0"
"barnfamiljerna","1.0"
"weimer","1.0"
"familjen","1.0"
"investerare","1.0"
"dalälven","5.0"
"genomförs","2.0"
"smällar","1.0"
"genomförd","1.0"
"förlorade","1.0"
"jaga","1.0"
"stund","3.0"
"ned?","1.0"
"spelar","1.0"
"judar","1.0"
"kravställande","1.0"
"tillhör","2.0"
"marknadsandelar","1.0"
"jätteallvarligt","1.0"
"angelägna","1.0"
"rullstol","2.0"
"enväldigt","1.0"
"tvekan","1.0"
"någonting","16.0"
"framgång","1.0"
"sätter","5.0"
"swedfund","2.0"
"sättet","8.0"
"fortsätter","5.0"
"museer","9.0"
"påbörjas","1.0"
"mandatperioderna","1.0"
"rättvisande","1.0"
"tvungen","1.0"
"wallström","15.0"
"statsinspektör","1.0"
"sopades","1.0"
"museet","1.0"
"havs-","3.0"
"togs","1.0"
"tydligt:","1.0"
"duger","1.0"
"bemötas","1.0"
"företrädd","1.0"
"testa","1.0"
"borde","7.0"
"företräda","1.0"
"cementeringar","1.0"
"rörelse","1.0"
"minister","2.0"
"utbetalning","1.0"
"försvarsdepartementet","2.0"
"kaldéer","1.0"
"språktester","2.0"
"läromedelsförlagen","2.0"
"könsstympning","1.0"
"knutna","1.0"
"effekt","4.0"
"snabbast","1.0"
"väga","1.0"
"flytta","3.0"
"ämnar","1.0"
"sänkningen","1.0"
"kritiska","4.0"
"nyanställa","2.0"
"muslimska","1.0"
"rapporten","2.0"
"medförde","1.0"
"förövad","1.0"
"länderna","1.0"
"nådd","1.0"
"inblandade","1.0"
"detalj","1.0"
"egenskap","1.0"
"komma","26.0"
"familj","2.0"
"tillväxthämmande","1.0"
"öka","11.0"
"tagit","9.0"
"medan","1.0"
"ena","10.0"
"hjärtefråga","1.0"
"utbildningsministern","15.0"
"lägets","2.0"
"vissa","10.0"
"buller","3.0"
"bryter","5.0"
"embargot","2.0"
"hävdar","2.0"
"ens","6.0"
"handlingskraftiga","1.0"
"kunskap","4.0"
"linde","1.0"
"dagliga","2.0"
"utbildnings-","1.0"
"åtgärdas","2.0"
"tidning","2.0"
"åka","3.0"
"råkar","4.0"
"gick","4.0"
"kortapparat","1.0"
"fågelholkar","1.0"
"eskalerat","1.0"
"förseningar","2.0"
"hamnar","4.0"
"tolk","1.0"
"trafiken","6.0"
"tillsättningar","2.0"
"hamnat","1.0"
"tvingats","1.0"
"förändring?","1.0"
"kurs","1.0"
"nav","1.0"
"programmet","2.0"
"tillgång","2.0"
"statsledningen","1.0"
"läroprocesser","1.0"
"levande","4.0"
"dissonans","1.0"
"värdering","1.0"
"driver","2.0"
"45 miljoner","1.0"
"andel","1.0"
"400","1.0"
"idrottsrörelsen","1.0"
"klämmer","1.0"
"drabbats","2.0"
"hemfaller","1.0"
"upphandlare","1.0"
"israeler","1.0"
"valet","8.0"
"finnas","11.0"
"vestlund","4.0"
"konkreta","2.0"
"nej?","1.0"
"garant","1.0"
"dialogens","3.0"
"kulturarv","2.0"
"finansiera","1.0"
"beräkningar","2.0"
"säger:","1.0"
"påminde","1.0"
"avdragsrätt","2.0"
"persson","1.0"
"vacuum","1.0"
"era","1.0"
"mängder","3.0"
"förnekar","1.0"
"värdesätter","2.0"
"ansvarar","2.0"
"medel","7.0"
"förbjöd","1.0"
"näringsliv","1.0"
"rättviseförmedlingen","1.0"
"smidigt","1.0"
"aspekter","1.0"
"skatteintäkternas","1.0"
"ert","1.0"
"aspekten","1.0"
"acceptabelt","1.0"
"känt","1.0"
"räntan","1.0"
"förhandlingspersonen","1.0"
"koppar","1.0"
"regleringsbrevet","2.0"
"förberedd","1.0"
"lennart","1.0"
"naturligtvis","17.0"
"farligt","2.0"
"förbereda","1.0"
"leverera","1.0"
"jernhusen","9.0"
"hamnen","5.0"
"klimat","1.0"
"återuppta","2.0"
"ombord","1.0"
"oeniga","1.0"
"honom","11.0"
"arbetsmarknadsministerns","1.0"
"grupp","2.0"
"ned","29.0"
"tvungna","2.0"
"bedömningen","1.0"
"inläst","1.0"
"nej","6.0"
"finess","1.0"
"insikt","1.0"
"motsvarar","2.0"
"extraordinära","1.0"
"förödande","1.0"
"ett","266.0"
"åtgärd","1.0"
"avgett","1.0"
"finansministern","17.0"
"statserkännande","1.0"
"tilliten","1.0"
"eritrea","1.0"
"stadsmissionen","2.0"
"linje","1.0"
"<em></em><em>","1.0"
"förmodligen","3.0"
"svenska","30.0"
"nöjd","2.0"
"drivit","1.0"
"uppgifterna","1.0"
"samhället?","1.0"
"aktiv","2.0"
"grund","17.0"
"andas","1.0"
"slog","4.0"
"försvarsministerns","1.0"
"media","2.0"
"öppnat","2.0"
"öppnas","1.0"
"valde","3.0"
"räckte","1.0"
"452","1.0"
"eva","1.0"
"inverkan","1.0"
"avdragsrätten","4.0"
"läromedel","5.0"
"ansvaret","2.0"
"frysning","1.0"
"svenskt","3.0"
"stortvättsmarknaden","1.0"
"israel?","2.0"
"års","6.0"
"remiss","1.0"
"ni?","1.0"
"metoder","5.0"
"havet","1.0"
"strategi","8.0"
"metoden","3.0"
"forna","1.0"
"åsa","1.0"
"interpellationer</em><em></em>","1.0"
"martin","2.0"
"teckningar","1.0"
"beredskapskontroller","1.0"
"rika","3.0"
"introduktionstiden","1.0"
"ledamöter","1.0"
"multilaterala","1.0"
"förutsägbarheten","1.0"
"försoning","1.0"
"tillväxtregion","2.0"
"fredsprocessen","1.0"
"fullt","3.0"
"fullo","1.0"
"kvarstår","8.0"
"nio","2.0"
"jobbskatteavdragen","1.0"
"nere","11.0"
"kravlöst","2.0"
"kompetens","17.0"
"kompetent","1.0"
"utbildningar","1.0"
"1 januari","1.0"
"civila","10.0"
"öva","5.0"
"resonemanget","1.0"
"involverad","1.0"
"pensionärerna","1.0"
"ödesdigra","1.0"
"fartyg?","1.0"
"examen","1.0"
"subsidiaritet","1.0"
"noggrant","1.0"
"befintliga","2.0"
"sacharovpriset","2.0"
"rör","8.0"
"samlade","1.0"
"skapa","8.0"
"islamiska","4.0"
"byggt","2.0"
"trossamfunden","8.0"
"byggs","3.0"
"fästningarna","1.0"
"befordran","1.0"
"utmaningar","1.0"
"hemmasittare","1.0"
"flygplan","1.0"
"slåtter","1.0"
"mandatperioden","5.0"
"numera","1.0"
"bygga","13.0"
"delaktiga","1.0"
"arbeta","5.0"
"satsning","1.0"
"arbetsmarknadsministern?","1.0"
"småningom","1.0"
"skärpa","1.0"
"arbete","10.0"
"rensa","1.0"
"hanteras","3.0"
"svar?","1.0"
"samordna","1.0"
"försvarsbeslut","1.0"
"vanlig","2.0"
"hanterar","5.0"
"betala","8.0"
"vallöften","1.0"
"händer","10.0"
"arbetsmarknad","1.0"
"palestinska","3.0"
"kontakter","2.0"
"tydligare","2.0"
"kandidater","2.0"
"kommande","1.0"
"premisserna","1.0"
"svar:","1.0"
"kandidaten","1.0"
"musikkåren","11.0"
"förflyttas","1.0"
"tuffare","3.0"
"asylboendet","1.0"
"förekommit","1.0"
"igen","9.0"
"erfarenhet","5.0"
"biståndsminister","1.0"
"betalt","1.0"
"överensstämmelse","1.0"
"musikkårer","3.0"
"grad","2.0"
"sprids","1.0"
"viset","1.0"
"saken?","1.0"
"genomfartsled","1.0"
"insats","3.0"
"adventsljusen","1.0"
"infrastruktur","5.0"
"danskarna","2.0"
"omsider","1.0"
"studiemotivation","2.0"
"florida","1.0"
"hemsökt","1.0"
"forskats","1.0"
"interpellationerna","1.0"
"livsmedelsverket","1.0"
"upprepade","1.0"
"slut","2.0"
"småhånat","1.0"
"uppmärksammat","1.0"
"personalen","3.0"
"miljöer","1.0"
"växt","1.0"
"thailand","1.0"
"uttryckte","1.0"
"1600-talet","1.0"
"klarälven","1.0"
"fredens","1.0"
"metod","3.0"
"anmärka","1.0"
"svaja","2.0"
"understödja","3.0"
"investering","2.0"
"obehag","1.0"
"rimligt","7.0"
"infrastruktursatsningar","2.0"
"samtal","2.0"
"linköpings","1.0"
"lingvistiska","1.0"
"växa","2.0"
"försvarsmakt","2.0"
"eu-parlamentet","1.0"
"museum","1.0"
"jobba","9.0"
"skala","1.0"
"lärarna","1.0"
"fastslogs","1.0"
"undrar","11.0"
"uppmärksammad","1.0"
"längsta","1.0"
"täcka","2.0"
"legala","1.0"
"reagerat","1.0"
"myggarter","1.0"
"nog","3.0"
"rimliga","3.0"
"kongolesisk","1.0"
"reagerar","1.0"
"varningssignalerna","1.0"
"utmaningen","1.0"
"framöver","6.0"
"selektivt?","1.0"
"central","3.0"
"försvarsplaneringsperioden","1.0"
"jordbruk","1.0"
"bedömning","4.0"
"fungerande","2.0"
"släkt","1.0"
"interpellerat","1.0"
"bara:","1.0"
"visar","16.0"
"trycker","1.0"
"visat","12.0"
"bucht","3.0"
"förnekades","1.0"
"värderingsgrund","1.0"
"medierna","3.0"
"resultat","1.0"
"kunna","49.0"
"kvar","12.0"
"försöker","7.0"
"miliser","1.0"
"legitima","3.0"
"område","7.0"
"israel","12.0"
"betrakta","1.0"
"musikkårs","1.0"
"närtid?","1.0"
"tvingades","2.0"
"risk","4.0"
"underlag","1.0"
"1 500","2.0"
"infördes","2.0"
"snedvridit","1.0"
"personbilar","1.0"
"beskrivit","1.0"
"vänsterhåll","1.0"
"skolan?","3.0"
"museernas","1.0"
"filippinerna","1.0"
"stämbanden","1.0"
"skugga","1.0"
"kostnaderna","1.0"
"därför","40.0"
"far","1.0"
"riva","1.0"
"långt","7.0"
"tamdjuren","1.0"
"flödena","1.0"
"</em>","1.0"
"planering","2.0"
"lyft","2.0"
"anpassa","1.0"
"livet","4.0"
"dialekter","2.0"
"vänsterflygeln","1.0"
"bekymmersamt","1.0"
"samma","22.0"
"inleda","1.0"
"talarstolen","1.0"
"framåt?","1.0"
"skapats","1.0"
"lagligt","1.0"
"inrätta","1.0"
"förbättringspotential","1.0"
"gymnasieministern","4.0"
"hamnade","1.0"
"sägs","5.0"
"olagligt","1.0"
"dessutom","17.0"
"mynna","1.0"
"samsyn","4.0"
"\*","18.0"
"speciallärare","1.0"
"avdela","1.0"
"orealistiska","1.0"
"taget","6.0"
"säga","33.0"
"spanien","1.0"
"trädde","1.0"
"åtgärden","1.0"
"formella","1.0"
"tagga","1.0"
"påtala","1.0"
"borta","3.0"
"systematiskt","1.0"
"åtgärder","15.0"
"formellt","1.0"
"samling","1.0"
"sjukdomar?","1.0"
"gåvogivare","1.0"
"eleverna?","2.0"
"studieuppehåll","1.0"
"långa","6.0"
"klimat-","1.0"
"läste","1.0"
"lingvistiker","1.0"
"återupptas","1.0"
"<em>även","1.0"
"oklarheter","1.0"
"åtgärdsvalstudie","1.0"
"påminna","1.0"
"undervisningsmaterial","1.0"
"räcker","2.0"
"naturligt","3.0"
"misstanke","1.0"
"svara","2.0"
"hållning?","1.0"
"bättre","16.0"
"fel","13.0"
"fem","2.0"
"effekten","1.0"
"engagemang","4.0"
"ortsboende","1.0"
"effekter","8.0"
"svars","1.0"
"mänskliga","11.0"
"personalstyrkan","1.0"
"radioinslag","1.0"
"försenad","1.0"
"sverigebygget","1.0"
"sunt","1.0"
"inträde","2.0"
"sanning","1.0"
"swedavia","5.0"
"moderaterna","3.0"
"utsätts","1.0"
"sammanpressad","1.0"
"upphandling","2.0"
"sund","1.0"
"drog-","1.0"
"<em>skavlan</em>","1.0"
"styrningen","1.0"
"funderar","2.0"
"skaver","2.0"
"alltmer","3.0"
"elev","2.0"
"naturliga","1.0"
"marken","1.0"
"uppstår","1.0"
"utnämningarna","1.0"
"skolans","1.0"
"samverkan","2.0"
"omläggning","1.0"
"pacemaker","1.0"
"försörjer","1.0"
"forshaga","2.0"
"dödades","1.0"
"lärobok","1.0"
"sida?","1.0"
"tillåtas","1.0"
"andra","61.0"
"avsikt","4.0"
"samverkar","2.0"
"skatt","6.0"
"skrattar","1.0"
"yazidiska","1.0"
"lantbrukare?","2.0"
"såg","7.0"
"situationen","8.0"
"talade","6.0"
"utsätta","1.0"
"kalla","6.0"
"mygganslag","1.0"
"framtiden","4.0"
"situationer","1.0"
"deltar","3.0"
"risktagande","1.0"
"utvecklingssamarbete","1.0"
"kyrkan","1.0"
"efterfrågar","1.0"
"lantbrukaren","1.0"
"arbetsmarknaden","7.0"
"implementera","2.0"
"halsen","1.0"
"huvuddelen","1.0"
"hänvisade","1.0"
"köer","2.0"
"fastighetsbolaget","1.0"
"rakt","1.0"
"tillkännagivande","1.0"
"förekommer","2.0"
"påminns","1.0"
"50 000","1.0"
"nya","22.0"
"kongress","1.0"
"sidan","5.0"
"konkurrenskraftigt","1.0"
"momsbeläggning","2.0"
"bohus","1.0"
"dålig","5.0"
"nuvarande","3.0"
"ekologiska","1.0"
"insatsen","1.0"
"insatser","6.0"
"kanaler","1.0"
"framtidens","1.0"
"redskap","3.0"
"kontona","1.0"
"upprörd","1.0"
"kanske","51.0"
"sökområdet","1.0"
"lantbrukarna","1.0"
"primäransvar","1.0"
"migrationsministern?","1.0"
"bedrivande","1.0"
"hamas","14.0"
"människor","32.0"
"trakasseras","1.0"
"ifrån","7.0"
"tidigareläggning","1.0"
"massakern","1.0"
"utställningar","2.0"
"medborgarskap","2.0"
"följer","1.0"
"parallellt","1.0"
"ubåtsjakt","1.0"
"fokuserar","1.0"
"ukraina","1.0"
"av","288.0"
"fortsatt","6.0"
"folk","1.0"
"bekymmersam","1.0"
"bifångster","2.0"
"hemkommun","1.0"
"vattenmyndigheten","3.0"
"direkt","2.0"
"påståendet","1.0"
"sit-metoden","1.0"
"fisket","4.0"
"skatteförslag","1.0"
"framtiden?","1.0"
"fiskes","1.0"
"disponera","1.0"
"be","1.0"
"interpellationer","18.0"
"följas","2.0"
"bo","2.0"
"kvalitetsupphandlingar","1.0"
"nyamko","1.0"
"<em>sverige","1.0"
"england</em><em>,</em><em>","1.0"
"även","40.0"
"konsensus","1.0"
"interpellationen","10.0"
"götaland","1.0"
"bullerutsatta","1.0"
"gällde","1.0"
"ca","3.0"
"platsen","1.0"
"frivillig","1.0"
"justitieministern","6.0"
"urholkar","1.0"
"norrbotten","1.0"
"utrikesminister","6.0"
"parlamentariker","1.0"
"tv-programmet","3.0"
"nämnden","2.0"
"enormt","4.0"
"danmark","5.0"
"värderingsmässigt","1.0"
"nämndes","1.0"
"nämnder","1.0"
"rwanda","2.0"
"inhouseverksamheter","1.0"
"våga","2.0"
"hänt","2.0"
"förstår","8.0"
"förstås","11.0"
"fly","2.0"
"utbildningsutskottet","1.0"
"läkemedelsområdet","1.0"
"fortsättning","1.0"
"fordra","1.0"
"antog","1.0"
"utöver","3.0"
"kilometer","2.0"
"skylla","1.0"
"enorma","5.0"
"bedrev","1.0"
"de","290.0"
"miljon","3.0"
"nedskärningen","1.0"
"debattera","1.0"
"frispråkighet","1.0"
"dn","5.0"
"tillförlitligt","1.0"
"förtjänar","2.0"
"du","6.0"
"validera","4.0"
"ungefär","10.0"
"upplever","2.0"
"förutsättning","5.0"
"samlad","1.0"
"medicinsk","1.0"
"intressant","8.0"
"5-6","1.0"
"arbetsområde","1.0"
"snart","3.0"
"ministern?","1.0"
"arbetsgemenskap","1.0"
"plats?","2.0"
"förvåning;","1.0"
"demokratiföreträdare","1.0"
"samlat","1.0"
"en","521.0"
"rejäl","2.0"
"påtalade","2.0"
"upplevde","1.0"
"hitta","3.0"
"agerade","1.0"
"er","1.0"
"situationen.","1.0"
"eu","8.0"
"önskan","2.0"
"ändring","1.0"
"papper","1.0"
"förenkla","1.0"
"här:","1.0"
"här?","2.0"
"oemotsagt","1.0"
"förtydliganden","1.0"
"tullen","1.0"
"väljer","4.0"
"besked;","1.0"
"fn","3.0"
"framgångsrikt","1.0"
"politikerna","1.0"
"fot","1.0"
"3,60-3,70","1.0"
"önskar","3.0"
"drakarna","1.0"
"önskat","1.0"
"uttrycker","2.0"
"påvisar","2.0"
"glömmer","2.0"
"repetitionsövningar","2.0"
"skottgluggen","1.0"
"naturlig","2.0"
"förre","2.0"
"trafiksituationen","1.0"
"sittande","1.0"
"diamanter","1.0"
"ge","31.0"
"våld","9.0"
"förra","15.0"
"vistas","1.0"
"blygsamt","1.0"
"klokare","3.0"
"dröja","1.0"
"straffbeskatta","1.0"
"kolla","1.0"
"förmåga","3.0"
"tillträdde","2.0"
"hemland","1.0"
"kjell","4.0"
"form","2.0"
"befolkning","1.0"
"genom","24.0"
"management","1.0"
"ha","69.0"
"grus","1.0"
"avgivits","1.0"
"fort","3.0"
"framgångsrika","1.0"
"socialdemokraterna","24.0"
"förklara","1.0"
"viktigaste","5.0"
"häktad","5.0"
"undrade","2.0"
"då","79.0"
"deltog","2.0"
"ministrar","2.0"
"oerhört","11.0"
"eu-medborgares","1.0"
"gläder","3.0"
"först","13.0"
"föredöme","1.0"
"bedriva","2.0"
"uppföljningen","1.0"
"och","892.0"
"betar","1.0"
"förhindra","3.0"
"häromveckan","1.0"
"mobiler","1.0"
"värnplikten","1.0"
"hävd","1.0"
"komplement","1.0"
"skattebetalarnas","1.0"
"varför?","2.0"
"köps","1.0"
"fri","4.0"
"sysselsättning","2.0"
"utvisa","2.0"
"entré","3.0"
"in","43.0"
"sätt","44.0"
"hantera","12.0"
"gavs","3.0"
"fru","52.0"
"köpa","2.0"
"index","1.0"
"is","3.0"
"svaga","1.0"
"</em><em></em><em>svar","1.0"
"skapade","1.0"
"ja","12.0"
"bryssel","1.0"
"legitimitet","1.0"
"få","69.0"
"tillgå","1.0"
"regeringschefen","1.0"
"lämpade","1.0"
"projekteringen","1.0"
"trygg","1.0"
"jo","3.0"
"andelen","3.0"
"uppenbart","2.0"
"bromsa","1.0"
"ju","30.0"
"tillit","5.0"
"sitta","5.0"
"förut","7.0"
"värdefullt","1.0"
"endast","1.0"
"öppnade","2.0"
"dubbelt","1.0"
"uppenbara","1.0"
"tittar","4.0"
"effektivt","1.0"
"ambitionerna","1.0"
"visste","1.0"
"gå","30.0"
"värdefulla","1.0"
"oförmåga","1.0"
"återinförandet","1.0"
"vetenskaplig","3.0"
"imponerande","2.0"
"förhoppning","1.0"
"öron","1.0"
"nivå?","1.0"
"veta","6.0"
"mineraltillgångarna","1.0"
"löfte","1.0"
"köra","1.0"
"ogenomtänkta","1.0"
"expandera","1.0"
"prioritering?","1.0"
"halvt","2.0"
"sysselsatta","2.0"
"urvalet","1.0"
"hjärt-","1.0"
"glädja","1.0"
"oklarhet","1.0"
"betyda","1.0"
"avser","4.0"
"rättsprocess","1.0"
"sades","1.0"
"sänker","1.0"
"värnpliktig","1.0"
"vårt","17.0"
"gäller","74.0"
"fortgår","1.0"
"förstå","2.0"
"flugor","1.0"
"second","1.0"
"drev","3.0"
"ambassadören","2.0"
"behärska","1.0"
"morgan","1.0"
"statsvetenskap","1.0"
"utgångspunkten","1.0"
"kubanska","3.0"
"vård","5.0"
"halva","2.0"
"uppföljningar","1.0"
"avvägda","1.0"
"återigen:","2.0"
"åstadkomma","3.0"
"våra","17.0"
"fastlagda","1.0"
"samhällsekonomisk","1.0"
"motsatsen","1.0"
"nationellt","3.0"
"plus","2.0"
"termer","1.0"
"gaza","2.0"
"benämnas","1.0"
"inleder","2.0"
"beprövad","2.0"
"arbetsmarknaden?","1.0"
"vidtagit","1.0"
"ni","22.0"
"decentraliserat","1.0"
"skada","2.0"
"datum","1.0"
"krävs","6.0"
"sådan","7.0"
"positionen","1.0"
"uppdraget","5.0"
"nu","108.0"
"noggrannare","1.0"
"reagerade","2.0"
"enligt","33.0"
"bekämpade","1.0"
"fordonen","1.0"
"ny","9.0"
"skrev","4.0"
"uppdragen","1.0"
"dialog","9.0"
"antar","3.0"
"kräva","1.0"
"mygginvasion","1.0"
"antas","1.0"
"omanalyser","1.0"
"of","1.0"
"övrigt","6.0"
"antal","7.0"
"importen","1.0"
"om","342.0"
"dag:","1.0"
"kunde","6.0"
"svar","63.0"
"skavsta","1.0"
"böndernas","1.0"
"batterier","1.0"
"saknar","1.0"
"mellanöstern","2.0"
"investerar","1.0"
"saknas","2.0"
"starka","1.0"
"utbildning","10.0"
"örebro","2.0"
"politisk","1.0"
"ditt","2.0"
"kö","2.0"
"övriga","2.0"
"gränsen","1.0"
"jordbruksutskottet","1.0"
"bricka","1.0"
"ändrade","3.0"
"starkt","5.0"
"bromma","31.0"
"tryck","1.0"
"overksam","1.0"
"regementen","1.0"
"tillgängliga","1.0"
"problematik","1.0"
"våldet","4.0"
"marknaden","1.0"
"minst","14.0"
"vägar","3.0"
"pr","1.0"
"börja","15.0"
"nation","1.0"
"ordna","2.0"
"tillräckligt","8.0"
"dags","1.0"
"intrycket","1.0"
"beslutsunderlag","1.0"
"skyffla","1.0"
"förväntar","5.0"
"strategin","3.0"
"börje","4.0"
"hyllas","1.0"
"grannländer","1.0"
"enkelt","8.0"
"utvinna","1.0"
"detta?","1.0"
"må","1.0"
"potentiella","1.0"
"särskilda","1.0"
"marknader","2.0"
"ambassadens","1.0"
"folkgrupp","1.0"
"bör","10.0"
"om?","2.0"
"konstig","1.0"
"arbetsförmedlingen","21.0"
"använder","12.0"
"hastigt","1.0"
"ola","1.0"
"klargjort","1.0"
"företagare","1.0"
"översvämningsmygg","1.0"
"tillskapas","1.0"
"tanke","6.0"
"viktig","26.0"
"interpellanten","2.0"
"exakt","1.0"
"ingångna","1.0"
"katastrof","2.0"
"satsa","4.0"
"spirande","1.0"
"nå","2.0"
"bolaget","2.0"
"annika","1.0"
"ofattbara","1.0"
"rummet","1.0"
"gratis","5.0"
"bönderna?","1.0"
"valideras","1.0"
"minus","2.0"
"validerar","1.0"
"eloge","1.0"
"miljoner","15.0"
"uppsagda","1.0"
"behandlad","1.0"
"framfördes","1.0"
"oliktänkande","1.0"
"sa","19.0"
"kenya","7.0"
"vikten","8.0"
"byggbranschen","1.0"
"se","41.0"
"tydliggöras?","1.0"
"satte","4.0"
"blev","7.0"
"skattereduktionen","1.0"
"användas","2.0"
"historiskt","1.0"
"samarbetsavtal?","1.0"
"mahmud","1.0"
"helikoptrar","1.0"
"stadsmiljö","1.0"
"behåller","2.0"
"övningsverksamhet","3.0"
"</em><em>alla","1.0"
"rösta","1.0"
"hålla","9.0"
"överlåtbara","1.0"
"satts","1.0"
"lilla","2.0"
"noga","3.0"
"ta","58.0"
"representant","3.0"
"ända","2.0"
"första","14.0"
"ont","1.0"
"djurvälfärd","1.0"
"på","479.0"
"hålls","1.0"
"vidgar","1.0"
"ansvarig","1.0"
"behandlas","1.0"
"yazidier","1.0"
"höjningarna","1.0"
"samlingsnamn","1.0"
"svek","1.0"
"överens","12.0"
"växande","4.0"
"värsta","2.0"
"norra","4.0"
"därigenom","2.0"
"straffa","1.0"
"cirka","1.0"
"tillgängligheten","3.0"
"sektorns","2.0"
"sista","6.0"
"fullfölja","1.0"
"studieplatser","2.0"
"ud","5.0"
"organisationer","1.0"
"sjukhuset","6.0"
"skillnad","6.0"
"migrationsmyndigheterna","1.0"
"organisationen","2.0"
"självförsörjandegrad","1.0"
"flyktingströmmarna","1.0"
"simrishamn","1.0"
"arbetsintyg","1.0"
"ur","7.0"
"ut","39.0"
"hamna","1.0"
"myndighetstolkningar","1.0"
"minskar","4.0"
"timme","2.0"
"försvarsförmåga","2.0"
"regeringskollega","1.0"
"snabb","2.0"
"vi","336.0"
"världshistorien","1.0"
"utrikesministerns","1.0"
"smålägenheter","1.0"
"fysiska","2.0"
"region","5.0"
"nedre","5.0"
"otroligt","6.0"
"bornholmsresenärer","1.0"
"mediciner","1.0"
"avtal","5.0"
"bilateralt","1.0"
"snack","1.0"
"högt","4.0"
"befästes","1.0"
"konflikten","7.0"
"betyg","1.0"
"wien","1.0"
"villkor?","1.0"
"statsbärande","1.0"
"torsdagens","1.0"
"därav","1.0"
"konflikter","1.0"
"tycka","6.0"
"sjunka","1.0"
"rättigheter","13.0"
"så","137.0"
"sjukvården","1.0"
"fastighetsbolag","3.0"
"höga","4.0"
"blir","55.0"
"funnits","3.0"
"gav","4.0"
"ord","6.0"
"ändå","19.0"
"valrörelsen","1.0"
"själslig","1.0"
"tvinga","2.0"
"världskrig","1.0"
"meningsfull","1.0"
"utrikespolitiken","1.0"
"musikkårerna","1.0"
"förbi","1.0"
"tillåts","1.0"
"investera","2.0"
"migra</em><em></em><em>tionsfrågor","1.0"
"verklighet","1.0"
"oro","9.0"
"informell","1.0"
"förordning","3.0"
"lovade","2.0"
"bilaterala","1.0"
"färdas","1.0"
"försvårar","1.0"
"politiker","8.0"
"försvåras","1.0"
"politiken","2.0"
"startar","1.0"
"besvarar","1.0"
"tycks","3.0"
"bekämpningsmetod","1.0"
"hela","29.0"
"kalifat","1.0"
"lastbilar","3.0"
"officiellt","1.0"
"saudiavtalet","1.0"
"april","3.0"
"oss","15.0"
"angripit","1.0"
"problem","25.0"
"riksdagsledamoten","1.0"
"lärosituation.","1.0"
"tillfällen","4.0"
"kasta","2.0"
"dithän","1.0"
"vackra","3.0"
"skyldigheter","1.0"
"rättsprocessen","1.0"
"dominerande","2.0"
"bonden","2.0"
"repareras","1.0"
"förde","1.0"
"rättas","1.0"
"utreda","2.0"
"budgetpropositionen","1.0"
"välståndet","1.0"
"saudiarabien","2.0"
"noll","2.0"
"alliansregeringens","3.0"
"avsikten","1.0"
"oron","5.0"
"ännu","11.0"
"beviljas","1.0"
"tvåstatslösning","2.0"
"utan","46.0"
"drabbade","3.0"
"förhandlingsrummet","1.0"
"företagandet","2.0"
"storstäderna","1.0"
"sexual","1.0"
"besöka","1.0"
"politiskt","1.0"
"bostads-","1.0"
"bokstavligen","2.0"
"valideringsinsatser","1.0"
"skrivningarna","1.0"
"utgångspunkt","1.0"
"trafikfarlig","1.0"
"tidsplan","2.0"
"yttrandet","1.0"
"stänga","13.0"
"politiska","5.0"
"besökt","1.0"
"kontraproduktivt","1.0"
"söka","1.0"
"stängt","1.0"
"bostadspolitiken","1.0"
"ges","6.0"
"ger","20.0"
"lider","1.0"
"plåga","1.0"
"47 procent","1.0"
"förtjänst","1.0"
"konjunkturinstitutet","1.0"
"konsekvenserna","4.0"
"kunnat","4.0"
"trafikincident","1.0"
"angelägen","1.0"
"aktiebolag","1.0"
"diskrepans","1.0"
"deltagare","1.0"
"faktum","4.0"
"arbetsmetoder","2.0"
"engagerade","2.0"
"ihop","8.0"
"behövs","14.0"
"grannar","2.0"
"helt","36.0"
"fiskare","3.0"
