"party","SD"
"eu14","1.0"
"lean-coacherna","1.0"
"mark","1.0"
"väl","13.0"
"tillståndet","1.0"
"kostnaden","2.0"
"sällan","2.0"
"åsyftas","1.0"
"defensiva","2.0"
"ordning","1.0"
"föreslås","1.0"
"föreslår","2.0"
"kostnader","12.0"
"relation","1.0"
"dessvärre","1.0"
"mot","11.0"
"otydliga?","1.0"
"vad","23.0"
"tuffa","1.0"
"jordarna","1.0"
"tamboskap","1.0"
"politik","8.0"
"97","1.0"
"val","1.0"
"vår","9.0"
"verksamhet","5.0"
"försvara","2.0"
"var","28.0"
"beror","1.0"
"omröstningen","1.0"
"önskvärt","1.0"
"utskott","1.0"
"skriva","1.0"
"bindande","1.0"
"förgröningsstödet","5.0"
"denna","7.0"
"finna","1.0"
"staten","1.0"
"fokus","9.0"
"näringspolitiken","1.0"
"företagen","2.0"
"gammalt","1.0"
"oavsett","6.0"
"vattenflöde","1.0"
"förmån","1.0"
"blivit","2.0"
"risken","2.0"
"landets","1.0"
"motivering","1.0"
"attraktiva","1.0"
"centerpartiet","1.0"
"djupt","1.0"
"diesel","1.0"
"möjligheterna","2.0"
"rapporterade","1.0"
"bryr","1.0"
"följande:","2.0"
"föra","2.0"
"skällde","1.0"
"fall","11.0"
"landskap","1.0"
"lägsta","1.0"
"3 000","1.0"
"gruppen","1.0"
"tydlig","3.0"
"europa","3.0"
"orsaka","2.0"
"huruvida","1.0"
"utöka","3.0"
"foten","1.0"
"lämplig","1.0"
"fajt","2.0"
"ingenting","2.0"
"användningen","1.0"
"beskatta","1.0"
"aldrig","2.0"
"oscarsson","1.0"
"lyssnat","1.0"
"insatserna","1.0"
"snabbt","3.0"
"säkerhetspolitiska","2.0"
"lyssnar","3.0"
"inträdet","1.0"
"tilltro","1.0"
"kommer?","1.0"
"12,9","1.0"
"runt","7.0"
"prioriteringar","3.0"
"tillgången","1.0"
"genomförda","1.0"
"slåss","1.0"
"plötsligt","1.0"
"finansdepartementet","1.0"
"närmast","1.0"
"uttalanden","2.0"
"struktur","1.0"
"samarbeten","1.0"
"heller","3.0"
"återbetala","1.0"
"ryggrad","1.0"
"djurintensitet","1.0"
"tanken?","1.0"
"alldeles","1.0"
"förvaltar","1.0"
"europeiska","1.0"
"åtagande","1.0"
"vem","3.0"
"fört","1.0"
"bytts","1.0"
"förr","1.0"
"säkerligen","1.0"
"vet","7.0"
"årsskiftet","1.0"
"stoppa","1.0"
"järnvägen","1.0"
"markägarna","1.0"
"systemet?","1.0"
"anledning","1.0"
"annanstans","1.0"
"dieselskatterna","1.0"
"sakkunniga","2.0"
"småskalig","1.0"
"närmare","3.0"
"lättförståeligt","1.0"
"folkomröstningen","2.0"
"kalkfilterdiken","1.0"
"växtodlingsplanen","1.0"
"skogsbruket","1.0"
"allvarligt","1.0"
"funktionell","1.0"
"landsbygdsministern","35.0"
"överträdelse","2.0"
"ägare","1.0"
"fått","5.0"
"spannmålsodling","1.0"
"bästa","3.0"
"föroreningar","1.0"
"innebörden","1.0"
"folkets","1.0"
"hållbarhet","1.0"
"grundfrågan","1.0"
"parameter","1.0"
"kärnkraften","3.0"
"åkermark","1.0"
"riktningen","1.0"
"mjölkland","1.0"
"flyktingläger?","1.0"
"migrationsministern","1.0"
"fosfor","1.0"
"dammar","1.0"
"karaktären","1.0"
"nedmonterat","1.0"
"friluftslivet","5.0"
"jakten","1.0"
"källor","1.0"
"enprocentsmålet","2.0"
"anders","1.0"
"helhetsansvar","1.0"
"frågan:","1.0"
"strukturkalkning","2.0"
"miljöförbättring?","1.0"
"vallinsådd","1.0"
"bjuda","1.0"
"jordbrukspolitiken","1.0"
"publicerade","1.0"
"jordart","1.0"
"gemensamma","1.0"
"notan","1.0"
"läget","4.0"
"eu:s","4.0"
"uppvärmningsbränslen","1.0"
"medskick","2.0"
"via","4.0"
"råd","2.0"
"vid","7.0"
"saila","2.0"
"dygn","1.0"
"konstaterar","1.0"
"konstaterat","1.0"
"näringarnas","2.0"
"tyckte","1.0"
"diskutera","5.0"
"bemöter","1.0"
"svarade","1.0"
"försvarsministern?","1.0"
"sorts","2.0"
"debattörerna","1.0"
"tvärvillkorsavdrag","1.0"
"vis","1.0"
"någonstans","2.0"
"bearbetningar","1.0"
"gräva","1.0"
"passa","2.0"
"genomfört","5.0"
"vittnat","1.0"
"innan","3.0"
"kraft","1.0"
"stor","15.0"
"landsbygdsdepartement","1.0"
"tillväxt","2.0"
"enskilde","2.0"
"vattenmyndigheternas","2.0"
"formuleringen","1.0"
"hantering","1.0"
"enskilda","12.0"
"decentraliseringen","1.0"
"samtidigt","12.0"
"påtvingas","1.0"
"debatten","3.0"
"forsell","1.0"
"akta","1.0"
"fisketurism","1.0"
"påbörjats","1.0"
"större","11.0"
"protestera","1.0"
"tenderar","1.0"
"teori","1.0"
"miljöministern","13.0"
"utredningar","4.0"
"flyktingar","3.0"
"såväl","4.0"
"återförsälja","1.0"
"genomförs","3.0"
"friheten","1.0"
"bjöd","1.0"
"massor","1.0"
"otrygghet","1.0"
"verkligheten","11.0"
"miniminivå","1.0"
"ställdes","1.0"
"jaga","1.0"
"södermanland","1.0"
"spelar","1.0"
"akut","1.0"
"20-miljardersklassen","1.0"
"föråldrad","1.0"
"störst","2.0"
"kärnkraftsreaktor","1.0"
"slår","3.0"
"fast","4.0"
"hemsida","1.0"
"jordbearbetning","1.0"
"någonting","10.0"
"stöd","4.0"
"fokusering","1.0"
"sättet","1.0"
"hemsk","1.0"
"fortsätter","1.0"
"lagrat","1.0"
"bekymrad","1.0"
"rätt","5.0"
"påbörjat","1.0"
"tvungen","2.0"
"lirka","1.0"
"förbittringen","1.0"
"havs-","2.0"
"togs","1.0"
"förneka","1.0"
"understryka","2.0"
"duger","2.0"
"värden","3.0"
"råskällt","1.0"
"procentuellt","1.0"
"yngwe","1.0"
"livsmedelsproduktionen","1.0"
"avstannar","1.0"
"borde","8.0"
"sportutövande","1.0"
"660 000","1.0"
"ämnad","1.0"
"läget?","1.0"
"biståndsbudgeten?","1.0"
"13 procent","1.0"
"miljard","3.0"
"effekt","2.0"
"tveksamma","1.0"
"bekostnad","1.0"
"vattendelegationerna","3.0"
"miljöförbättrande","5.0"
"flytta","1.0"
"kritiska","1.0"
"behov","5.0"
"rapporter","2.0"
"rapporten","1.0"
"länderna","1.0"
"vattennivå","1.0"
"kväveläckaget","1.0"
"strömkraftverk","1.0"
"konsekvens","1.0"
"konsekvent","1.0"
"väder","1.0"
"inblandade","1.0"
"värmland","13.0"
"energislag","2.0"
"komma","6.0"
"påverka","5.0"
"landsbygdsbygdens","1.0"
"stärka","5.0"
"eftersatt","1.0"
"företag","3.0"
"öka","5.0"
"riksdagen","2.0"
"lägga","11.0"
"gårdar","2.0"
"avbräck","1.0"
"aktörer","1.0"
"tagit","1.0"
"vargens","1.0"
"medan","2.0"
"ena","2.0"
"vissa","9.0"
"4 000","2.0"
"bryter","1.0"
"egen","2.0"
"målmedvetet","1.0"
"behjärtansvärt","1.0"
"ens","4.0"
"djurskyddet","1.0"
"kunskap","1.0"
"universitet","1.0"
"tolka","1.0"
"intressenter","1.0"
"fundering","2.0"
"beklagligt","3.0"
"reglerar","1.0"
"interpellation","7.0"
"ganska","11.0"
"åka","2.0"
"gick","2.0"
"punkten","1.0"
"när","43.0"
"punkter","1.0"
"avgör","1.0"
"miljöregler","1.0"
"analogi","1.0"
"investeringskostnader","1.0"
"samhället","2.0"
"försvinna","1.0"
"storstaden","1.0"
"bedömningar","1.0"
"konkurrenskraft","9.0"
"hamnar","1.0"
"förstärker","1.0"
"styr","4.0"
"advokater","1.0"
"farliga","1.0"
"rik","1.0"
"regionens","1.0"
"når","1.0"
"blogginlägg","1.0"
"beläggas","1.0"
"samverkansrådet","1.0"
"utfallet","1.0"
"produktionen","3.0"
"handla","1.0"
"nedrusta","1.0"
"nyprövning","2.0"
"tillgång","1.0"
"levande","1.0"
"höger","1.0"
"tvärvillkorsområdet","1.0"
"försämringar","1.0"
"empatisk","1.0"
"märkligt","4.0"
"floskler","1.0"
"system","3.0"
"andel","2.0"
"lönsamt","1.0"
"gödsling","1.0"
"lyssnade","3.0"
"ställde","4.0"
"mjölkfakta","1.0"
"finnas","7.0"
"pelare","1.0"
"konkreta","2.0"
"tunga","1.0"
"tillståndsförfarande","1.0"
"vecka","2.0"
"optimism","1.0"
"livsmedelsproduktion","1.0"
"finansiera","4.0"
"stället","6.0"
"bekosta","4.0"
"regler","2.0"
"hemma","2.0"
"ställer","2.0"
"lärande","3.0"
"ytterst","2.0"
"regeringar","1.0"
"ingångsvärden","3.0"
"era","1.0"
"närområde","1.0"
"löpande","1.0"
"uppföljning","1.0"
"uppgift","1.0"
"mängder","2.0"
"medel","2.0"
"näringsliv","1.0"
"väldigt","15.0"
"aspekter","1.0"
"satsningar","1.0"
"aspekten","1.0"
"stilla","1.0"
"miljökvalitetsmålen","1.0"
"ursprungsförslaget","1.0"
"acceptabelt","1.0"
"trettiotal","1.0"
"bortblåst","1.0"
"hundratusentals","1.0"
"justera","1.0"
"älgar","3.0"
"betonar","2.0"
"avbryta","1.0"
"omsätter","1.0"
"naturligtvis","3.0"
"intervjustudie","2.0"
"enstaka","2.0"
"miljönyttan","3.0"
"eskilandersson","1.0"
"kust","1.0"
"kompensationsbidraget","1.0"
"bönderna","4.0"
"åkermarken","1.0"
"investeringsstöd","1.0"
"slutsats","1.0"
"debatterna","1.0"
"justitie-","1.0"
"honom","1.0"
"ändra","1.0"
"ned","8.0"
"mergeformat","10.0"
"frivilligt","1.0"
"näringsutskottet","2.0"
"ointresse","1.0"
"nej","2.0"
"rekommendationer","1.0"
"åtgärdsprogrammet:","1.0"
"såklart","2.0"
"berättelserna","1.0"
"norden","2.0"
"nyttigheter","1.0"
"förödande","1.0"
"socialdemokratiska","1.0"
"hinner","5.0"
"pekar","1.0"
"friskaste","1.0"
"all","1.0"
"trafikutskottet","1.0"
"ett","89.0"
"kvävefixerande","1.0"
"åtgärd","1.0"
"tesdriven","1.0"
"funktionella","1.0"
"påstår","1.0"
"brottas","1.0"
"framtidstro","1.0"
"linje","4.0"
"år?","2.0"
"klaras","1.0"
"sidor","2.0"
"klarar","2.0"
"svenska","34.0"
"nöjd","1.0"
"finner","3.0"
"försäkra","1.0"
"aktiv","1.0"
"grund","8.0"
"skatter:","1.0"
"migrationsverket","14.0"
"koncentrationen","2.0"
"ösa","1.0"
"tydliggöra","2.0"
"försvarsministerns","1.0"
"skatter?","1.0"
"allihop","1.0"
"50 miljoner","1.0"
"valde","3.0"
"förhållande","2.0"
"järnvägslösning","1.0"
"meters","3.0"
"högsta","4.0"
"miljöåtgärder","2.0"
"ana","1.0"
"dumt","1.0"
"ansvaret","1.0"
"svenskt","7.0"
"utbildningsutskott","1.0"
"funktionellt","1.0"
"förbjudits","1.0"
"självt","1.0"
"investerade","1.0"
"års","1.0"
"klimatpåverkan","1.0"
"förvunnit","1.0"
"metoder","1.0"
"gränserna","1.0"
"strategi","1.0"
"alternativ","1.0"
"prioritera","3.0"
"storleken","1.0"
"själva","7.0"
"egna","3.0"
"tacka","7.0"
"mindre","2.0"
"bekymret","1.0"
"quicklund","3.0"
"multilaterala","1.0"
"beslutet","1.0"
"summor","1.0"
"utvecklas","2.0"
"upphandlingarna","1.0"
"annorlunda:","1.0"
"besluten","3.0"
"länsstyrelserna","2.0"
"vattenägare","1.0"
"försvarsallianser","1.0"
"anledningen","1.0"
"jag","183.0"
"fullt","8.0"
"egentligen","10.0"
"försvarsministern","2.0"
"nivå","3.0"
"svåra","2.0"
"merparten","1.0"
"minskning","1.0"
"färre","1.0"
"undangömd","1.0"
"utanför","2.0"
"miljönytta","2.0"
"frågan","25.0"
"svårt","5.0"
"skattsedeln","3.0"
"befintliga","1.0"
"rör","1.0"
"integrationspolitiken","1.0"
"samlade","1.0"
"ursäkt","1.0"
"påhittad","1.0"
"besöksnäringen","1.0"
"odla","1.0"
"återkommer","2.0"
"skapa","5.0"
"viltet","1.0"
"översynsuppdrag","1.0"
"påförda","1.0"
"råda","1.0"
"sprida","1.0"
"regionala","5.0"
"rekrytera","1.0"
"elenergi","2.0"
"migga","1.0"
"mandatperioden","2.0"
"handen","2.0"
"bohusläns","1.0"
"regionalt","1.0"
"satsning","1.0"
"nästa","3.0"
"konstgödsel","3.0"
"arbete","7.0"
"hanteras","2.0"
"förslag","19.0"
"hanterar","1.0"
"anförande","1.0"
"betala","4.0"
"fulla","2.0"
"händer","2.0"
"kommande","3.0"
"prövningarna","1.0"
"igen","2.0"
"erfarenhet","1.0"
"senare","2.0"
"igång","2.0"
"dränering","1.0"
"avvaktande","1.0"
"förståelsen","1.0"
"grad","3.0"
"försvinner","2.0"
"härröra","1.0"
"insats","1.0"
"infrastruktur","3.0"
"sverigedemokraternas","2.0"
"oacceptabelt","1.0"
"realiteten","1.0"
"ekonomiskt","1.0"
"upprepade","1.0"
"förväg?","1.0"
"skåne","1.0"
"slut","2.0"
"ingenstans","1.0"
"allmänt","1.0"
"energislagen","1.0"
"regelverk","2.0"
"över","25.0"
"ekonomiska","6.0"
"länsstyrelsen","7.0"
"kantzoner","1.0"
"att","525.0"
"tillsammans","3.0"
"prioriteringarna","1.0"
"rimligt","6.0"
"frisläppning","1.0"
"synd","1.0"
"statistik","1.0"
"vargarna","1.0"
"växa","1.0"
"snabbrekryteringar","1.0"
"åtta","4.0"
"jobba","1.0"
"sprickan","1.0"
"kärnbränsle","1.0"
"besked","1.0"
"undrar","3.0"
"20-40","2.0"
"partier","1.0"
"(sd)","1.0"
"höstsäden","1.0"
"nog","4.0"
"rimliga","2.0"
"fredrik","2.0"
"alla","12.0"
"flest","1.0"
"framöver","5.0"
"möjligen","1.0"
"jordbruk","3.0"
"systemet","1.0"
"bedömning","1.0"
"fråga:","1.0"
"fungerande","2.0"
"helger","1.0"
"lånar","1.0"
"avdrag","7.0"
"allt","12.0"
"alls","2.0"
"visar","4.0"
"trycket","2.0"
"länsstyrelser","1.0"
"visat","1.0"
"biståndsministern","11.0"
"stämband","1.0"
"hundar","2.0"
"enklare","1.0"
"resultat","2.0"
"remissinstanser","1.0"
"kunna","11.0"
"kvar","6.0"
"momentum","1.0"
"sammanlagda","1.0"
"försöker","1.0"
"område","2.0"
"sommarföda","1.0"
"ekosystem","1.0"
"konkurrensutsatt","2.0"
"risk","2.0"
"lönsamma","1.0"
"fyrkantigt","1.0"
"strålsäkerhetsmyndigheten","1.0"
"citerade","1.0"
"flera","13.0"
"kring","3.0"
"infördes","1.0"
"beskrivit","2.0"
"<em>en</em>","2.0"
"tvärvillkor","1.0"
"får","33.0"
"utlovade","1.0"
"kostnaderna","3.0"
"därför","8.0"
"intressen","2.0"
"långt","4.0"
"mångfalden","1.0"
"efterfrågas","1.0"
"investeringskostnad","1.0"
"christensson","2.0"
"örat","1.0"
"tamdjuren","1.0"
"igen:","1.0"
"lyft","5.0"
"förvaltningsområde","1.0"
"indikationer","1.0"
"elcertifikatssystemet","1.0"
"tiotal","1.0"
"individuella","1.0"
"lagliga","1.0"
"nöt","1.0"
"prioriterar","3.0"
"bekymmersamt","1.0"
"anlägga","1.0"
"samma","15.0"
"vattendrag","1.0"
"tvärtom","3.0"
"göteborgsledamöter","1.0"
"vattenvård","1.0"
"ersätter","1.0"
"uddevalla","1.0"
"prioriterad","1.0"
"länsgräns","1.0"
"miljarder?","1.0"
"jimmy","2.0"
"rätta","4.0"
"stockholm","4.0"
"vill","45.0"
"undantag","1.0"
"läckage","1.0"
"sägs","1.0"
"parter","1.0"
"dessutom","7.0"
"förloraren","1.0"
"\*","10.0"
"utsedd","1.0"
"rikspolischef","1.0"
"överklaganden","1.0"
"militärt","1.0"
"lokal","1.0"
"taget","2.0"
"säga","6.0"
"förgröningen","2.0"
"produktionsmålen","1.0"
"nato","3.0"
"fastighetsägare","2.0"
"bort","4.0"
"debatt","3.0"
"igenom","2.0"
"direktiv","1.0"
"nedrustning","1.0"
"välkomnar","2.0"
"ankomstlandet","1.0"
"systematiskt","1.0"
"åtgärder","14.0"
"riksdagsledamöterna","1.0"
"intervjusvar","1.0"
"ineffektiv","1.0"
"långa","1.0"
"klimat-","1.0"
"någonstans;","1.0"
"produktionskapaciteten","1.0"
"oklarheter","1.0"
"solidaritetsförklaringar","1.0"
"system?","2.0"
"påminna","1.0"
"strategiskt","1.0"
"trängselskatt","2.0"
"9,4","1.0"
"forssell","1.0"
"räcker","2.0"
"naturligt","2.0"
"olycklig","1.0"
"svara","1.0"
"bättre","5.0"
"asylrätten","1.0"
"fel","11.0"
"fem","6.0"
"angripa","1.0"
"effekten","1.0"
"säkert","4.0"
"dagsläget","1.0"
"licensjakten","2.0"
"effekter","1.0"
"skyndsamt","1.0"
"hundgården","1.0"
"vind","1.0"
"producenten","1.0"
"vågar","2.0"
"försämras","1.0"
"gång","4.0"
"profil","1.0"
"moderaterna","8.0"
"svart","1.0"
"mjölkböndernas","1.0"
"klart:","1.0"
"toyotas","1.0"
"styrningen","2.0"
"licensjakt","1.0"
"marker","1.0"
"förena","2.0"
"naturliga","2.0"
"träda","1.0"
"marken","2.0"
"största","1.0"
"vattenverk","1.0"
"görs","4.0"
"miljarderna?","1.0"
"gårdsstödet","3.0"
"början","4.0"
"klivet","1.0"
"straff","1.0"
"icke","1.0"
"andra","28.0"
"växtnäringsämnen","1.0"
"konkurrensvillkor","1.0"
"fördjupa","1.0"
"avsikt","1.0"
"skatt","2.0"
"vardagen","1.0"
"forskning","1.0"
"såg","1.0"
"situationen","3.0"
"respekt","1.0"
"talade","1.0"
"kalla","2.0"
"sak","3.0"
"deltar","1.0"
"förvaltning","1.0"
"kvarnar","1.0"
"efterfrågan","1.0"
"likaså","1.0"
"sambanden","1.0"
"lantbrukaren","3.0"
"göteborg","4.0"
"kommun-","1.0"
"statsrådets","1.0"
"hänvisade","1.0"
"göra","15.0"
"rakt","2.0"
"krav","5.0"
"gett","1.0"
"slutligen","1.0"
"ordentligt","3.0"
"hästar","1.0"
"50 000","2.0"
"365 000","1.0"
"nya","14.0"
"chansa","1.0"
"maximalt","1.0"
"dålig","2.0"
"nuvarande","1.0"
"ekologiska","2.0"
"uppges","1.0"
"produktiv","2.0"
"turist-","1.0"
"hundgård","1.0"
"lockat","1.0"
"än","20.0"
"lyssna","1.0"
"mjölk","3.0"
"ekonomisk","1.0"
"insatser","3.0"
"enhet","1.0"
"vattenkvalitet","1.0"
"är","321.0"
"skattetryck","1.0"
"mellersta","3.0"
"åtgärdsprogram.","1.0"
"åtgärder?","2.0"
"kanske","13.0"
"framstod","1.0"
"öppna","6.0"
"lantbrukarna","10.0"
"skräp","1.0"
"vargen","3.0"
"människor","12.0"
"vattenmyndigheter","2.0"
"gård","1.0"
"arbetsmaskiner","1.0"
"kunskapsläget","3.0"
"gödselskatt","3.0"
"försäkringskassan","1.0"
"bevisbördan","1.0"
"källa","1.0"
"oväntat","2.0"
"snabbanställningar","1.0"
"tekniska","1.0"
"miljön","1.0"
"ifrån","1.0"
"styrmedel","1.0"
"personal","1.0"
"eventuella","1.0"
"år","23.0"
"biltillverkningsfabriker","1.0"
"drivs","1.0"
"brukar","1.0"
"åt","4.0"
"synpunkter","1.0"
"driva","6.0"
"ekologiskt","3.0"
"fokuserar","2.0"
"berättar","1.0"
"hållbara","1.0"
"fokuseras","1.0"
"således","2.0"
"ukraina","1.0"
"av","137.0"
"fortsatt","2.0"
"omfattande","5.0"
"eu-rätten","1.0"
"jakthundar","1.0"
"folk","4.0"
"utsatta","1.0"
"förbättra","2.0"
"bevarandestatus","2.0"
"vattenmyndigheten","3.0"
"direkt","4.0"
"platser","3.0"
"berättigad","1.0"
"delen","10.0"
"principerna","1.0"
"raps","1.0"
"interpellationer","12.0"
"turism","5.0"
"ministern","9.0"
"jordanska","1.0"
"underbyggda","1.0"
"bo","1.0"
"påståenden","1.0"
"avlopp","1.0"
"även","22.0"
"sämre","2.0"
"'small","2.0"
"interpellationen","5.0"
"konkurrentländer","1.0"
"götaland","2.0"
"helst","4.0"
"gällde","2.0"
"djurtäthet","1.0"
"överkoncentrationen","1.0"
"hyser","1.0"
"ca","4.0"
"innovation","1.0"
"ser","17.0"
"kristina","1.0"
"höjer","4.0"
"urholkas","1.0"
"viss","2.0"
"medför","2.0"
"attraktionskraft","1.0"
"nämndes","1.0"
"grannars","1.0"
"gått","3.0"
"bortse","1.0"
"detta","51.0"
"förstår","4.0"
"hänt","1.0"
"hoppas","9.0"
"fly","2.0"
"avräkningen","1.0"
"bakgrund","1.0"
"jobb","9.0"
"löser","2.0"
"visa","1.0"
"strandskyddslagstiftningen?","1.0"
"utöver","2.0"
"nationell","1.0"
"framfört","1.0"
"5,5","1.0"
"de","153.0"
"framföra","1.0"
"getter","1.0"
"vattenprovtagning","2.0"
"lönsamhet","1.0"
"miljöpartiet","2.0"
"uppnå","2.0"
"ben","1.0"
"världen","3.0"
"skogen","1.0"
"ansvarsområden","1.0"
"åtgärderna","3.0"
"parti","2.0"
"föryngringar","4.0"
"kraven","3.0"
"lands-","1.0"
"du","7.0"
"ungefär","12.0"
"upplever","2.0"
"förutsättning","1.0"
"30 000","1.0"
"intressant","2.0"
"migranter","1.0"
"fjärdedel","1.0"
"5-7","1.0"
"befinner","3.0"
"vems","1.0"
"nämnvärd","1.0"
"bekant","1.0"
"överskugga","1.0"
"ej","1.0"
"personer","3.0"
"en","204.0"
"centralt","1.0"
"hitta","1.0"
"tvärvillkorsavdrag?","1.0"
"upprepa","1.0"
"expropriera","1.0"
"eu","4.0"
"önskan","1.0"
"ändring","1.0"
"papper","1.0"
"tillvaro","1.0"
"genast","1.0"
"intervjuats","1.0"
"energin","1.0"
"vargar","6.0"
"centrala","1.0"
"fog","1.0"
"instämde","1.0"
"väljer","5.0"
"vattenkraftverken","3.0"
"felaktigt","3.0"
"generella","1.0"
"fn","1.0"
"delar","10.0"
"intervjuer","1.0"
"vilken","7.0"
"kontrollkostnad","1.0"
"sig","44.0"
"frågetecken","1.0"
"villebråd","1.0"
"flockar","1.0"
"glömmer","3.0"
"intervjuerna","2.0"
"sammanfattningsvis","1.0"
"medarbetarna","3.0"
"dina","1.0"
"degenererat","1.0"
"upprusta","1.0"
"oftast","1.0"
"sin","19.0"
"jägare","4.0"
"felaktiga","1.0"
"domen","1.0"
"ge","5.0"
"våld","1.0"
"förra","3.0"
"historia","1.0"
"läge","4.0"
"nordiska","4.0"
"alltid","2.0"
"förmåga","1.0"
"hundra","2.0"
"generellt","2.0"
"utredaren","1.0"
"långbänk","1.0"
"form","5.0"
"genom","8.0"
"vilket","15.0"
"krig","2.0"
"skyldiga","1.0"
"kronor","10.0"
"ha","25.0"
"stympning","1.0"
"statens","1.0"
"socialdemokraterna","2.0"
"sju","1.0"
"då","22.0"
"utredare","1.0"
"bedrivs","2.0"
"vidare?","1.0"
"ska","70.0"
"åtgärdsförslag","2.0"
"ministrar","1.0"
"utvidgas","1.0"
"oerhört","1.0"
"skyddet","2.0"
"vinst","1.0"
"ske","2.0"
"först","9.0"
"pm:et","1.0"
"bedriva","1.0"
"uppföljningen","1.0"
"och","303.0"
"sysselsättning","1.0"
"stycke","1.0"
"försvarsallians","4.0"
"dramatiskt","2.0"
"infrastrukturen?","1.0"
"för","190.0"
"in","9.0"
"sätt","6.0"
"utökningar","1.0"
"hantera","3.0"
"fru","16.0"
"ryggen","1.0"
"boende","1.0"
"läser","1.0"
"gynnsam","2.0"
"straffskatter","1.0"
"målsättning","1.0"
"ja","1.0"
"presenterade","1.0"
"bryssel","1.0"
"felen","1.0"
"legitimitet","1.0"
"få","20.0"
"framsteg","1.0"
"trygg","1.0"
"valt","5.0"
"hållbar","5.0"
"återkom","1.0"
"spannmålsgård","1.0"
"jo","2.0"
"generationsväxling","1.0"
"ju","3.0"
"rapporterna","1.0"
"förut","2.0"
"verklighet?","1.0"
"produktionsmål","4.0"
"endast","1.0"
"öppnade","1.0"
"älgjakten","3.0"
"tittar","2.0"
"uppdrag","2.0"
"tittat","1.0"
"december","2.0"
"mjölkproduktion","2.0"
"tradition","1.0"
"vargmat","2.0"
"bli","12.0"
"gå","5.0"
"kostar","2.0"
"finland","4.0"
"vakt","1.0"
"jämföra","2.0"
"rysslandsbojkott","1.0"
"landsbygdsministerns","2.0"
"sida","3.0"
"undgått","1.0"
"vattenkraftsstationer","1.0"
"veta","2.0"
"paketet","1.0"
"fånggrödor","1.0"
"hänvisa","1.0"
"köra","1.0"
"småskaliga","3.0"
"började","2.0"
"göteborgsregionen","1.0"
"vattenfall","2.0"
"plats","5.0"
"drabbar","3.0"
"drabbas","2.0"
"1,4","1.0"
"sedan","14.0"
"1,7","1.0"
"prestera","1.0"
"sjö","2.0"
"tillämpningen","3.0"
"värmlänning","1.0"
"instabilitet","1.0"
"avser","4.0"
"försvars-","2.0"
"talmans","1.0"
"gäller","23.0"
"vårt","8.0"
"läns","1.0"
"diskvalificerade","1.0"
"granskande","1.0"
"utsädet","1.0"
"flyktingläger","1.0"
"förstå","2.0"
"alliansfrihet","1.0"
"förväntade","1.0"
"solidaritet","1.0"
"medarbetare","5.0"
"som","291.0"
"återgår","1.0"
"ärter","2.0"
"kraftverk","1.0"
"kostnader?","1.0"
"hindra","1.0"
"dela","1.0"
"anpassas","1.0"
"ombud","1.0"
"dem?","1.0"
"konkurrenskraftsutredningen","1.0"
"kött","1.0"
"skrivit:","1.0"
"båtflyktingar","1.0"
"meter","5.0"
"våra","8.0"
"miggor","1.0"
"gigantiskt","1.0"
"lever","7.0"
"nationellt","1.0"
"slå","1.0"
"passerar","1.0"
"relevant","1.0"
"förvaltningsområdet","2.0"
"åren?","1.0"
"ni","8.0"
"elva","2.0"
"49 000","1.0"
"sommaren","1.0"
"växtodling","1.0"
"västlänken","2.0"
"diskuterat","1.0"
"lokalen","1.0"
"krävt","2.0"
"krävs","6.0"
"sådan","3.0"
"eu-land","1.0"
"räknar","1.0"
"blad","1.0"
"bor","4.0"
"uppdraget","1.0"
"diskuterar","5.0"
"produktionstänkande","1.0"
"nu","19.0"
"diskuteras","1.0"
"backa","2.0"
"enligt","8.0"
"handlingssätt","1.0"
"små","3.0"
"ny","3.0"
"uttryckligen","2.0"
"skrev","3.0"
"näringsläckage","1.0"
"avslag","1.0"
"förfarande?","1.0"
"missar","1.0"
"glesbygd","1.0"
"dialog","4.0"
"kräva","1.0"
"näringslivet","2.0"
"överklagas","1.0"
"antal","9.0"
"övrigt","2.0"
"djurägare","1.0"
"kan","74.0"
"återväxten","3.0"
"tamdjursägarna","1.0"
"om","152.0"
"gränser","4.0"
"svar","26.0"
"böndernas","1.0"
"saknar","1.0"
"starka","3.0"
"saknas","1.0"
"investerar","1.0"
"svår","1.0"
"utbildning","1.0"
"okontrollerat","1.0"
"fråga","26.0"
"örebro","2.0"
"illa","1.0"
"politisk","3.0"
"kraftbalans","1.0"
"10)","1.0"
"samförstånd","1.0"
"utgångspunkter","1.0"
"övriga","5.0"
"uppfattningar","1.0"
"uppfattning","1.0"
"100","7.0"
"undersökningar","1.0"
"återkomma","1.0"
"kreditinstitut","1.0"
"starkt","2.0"
"trivas","1.0"
"tjäna","1.0"
"direktivet","1.0"
"avräkningar","3.0"
"tryck","1.0"
"pm","1.0"
"problematik","1.0"
"vinnarna","1.0"
"förväntas","1.0"
"avväga","1.0"
"förväntat","1.0"
"vägar","2.0"
"minst","1.0"
"börja","3.0"
"intrycket","1.0"
"rovdjurspolitiken","2.0"
"kantrubrik","10.0"
"migrationsverkets","2.0"
"nog?","1.0"
"inklusive","2.0"
"ersättningsreaktorer","1.0"
"hörde","2.0"
"grästorps","1.0"
"bra","11.0"
"110","2.0"
"grannländer","2.0"
"enkelt","6.0"
"lära","1.0"
"detta?","3.0"
"vari","1.0"
